year,team,stat_type,metric,value
2016,chi,passing,cmp,2.0
2016,chi,passing,att,5.0
2016,chi,passing,pct,40.0
2016,chi,passing,yds,22.0
2016,chi,passing,y/a,4.4
2016,chi,passing,td,0.0
2016,chi,passing,int,0.0
2016,chi,passing,rtg,53.8
2016,chi,rushing,att,1.0
2016,chi,rushing,yds,0.0
2016,chi,rushing,avg,0.0
2016,chi,rushing,td,0.0
2017,mia,passing,cmp,29.0
2017,mia,passing,att,43.0
2017,mia,passing,pct,67.4
2017,mia,passing,yds,265.0
2017,mia,passing,y/a,6.2
2017,mia,passing,td,1.0
2017,mia,passing,int,1.0
2017,mia,passing,rtg,82.0
2017,mia,rushing,att,4.0
2017,mia,rushing,yds,8.0
2017,mia,rushing,avg,2.0
2017,mia,rushing,td,1.0
2018,mia,passing,cmp,2.0
2018,mia,passing,att,5.0
2018,mia,passing,pct,40.0
2018,mia,passing,yds,24.0
2018,mia,passing,y/a,3.5
2018,mia,passing,td,0.0
2018,mia,passing,int,0.0
2018,mia,passing,rtg,54.0
2018,mia,rushing,att,0.0
2018,mia,rushing,yds,0.0
2018,mia,rushing,avg,0.0
2018,mia,rushing,td,0.0
