institution_code,institution_name,planned_admissions,candidate_count,sex,affiliation,first_voluntary_toss_minimum_score
10001,Peking University,8,9,,,636
10002,Renmin University of China,3,3,,,621
10006,Beijing University of Aeronautics and Astronautics,7,2,,East China Airlines,514
10006,Beijing University of Aeronautics and Astronautics,7,6,,CAU,523
10030,Beijing Foreign Studies University,5,6,,,588
10032,Beijing Language University,6,9,,,573
10033,Communication University of China,6,7,,,586
10036,University of International Business and Economics,5,6,,,595
10040,School of International Studies,6,7,,,596
10041,China People's Public Security University,25,19,M,,525
10041,China People's Public Security University,25,11,Female,,548
10042,School of International Relations,10,6,M,,557
10042,School of International Relations,10,7,female,,568
10175,China Criminal Police University,3,0,,,
10200,Northeast Normal University,2,2,,,563
10246,Fudan University,13,16,,,625
10271,Shanghai International Studies University,4,4,,,599
10486,Wuhan University,4,4,,,606
10511,Huazhong Normal University,3,3,,,581
10520,Zhongnan University of Economics and Law,16,6,M,,520
10520,Zhongnan University of Economics and Law,16,2,female,,542
10574,South China Normal University,789,847,,,552
10635,Southwest University,3,3,,,556
10652,Southwest University of Political Science and Law,8,8,M,,553
10652,Southwest University of Political Science and Law,8,1,Female,,574
10718,Shaanxi Normal University,5,8,,,546
11105,Armed Police Force Academy of China,9,2,M,,520
11105,Armed Police Force Academy of China,9,1,Female,,542
16301,"University of Nottingham, Ningbo",3,4,,,555
16401,Hong Kong Baptist University - Beijing Normal University United International College,67,78,,,521
16407,Chinese University of Hong Kong (Shenzhen),13,14,,,597
81002,Chinese University of Hong Kong,7,8,,,621
81006,City University of Hong Kong,4,6,,,597
91002,National University of Defense Technology,2,1,M,,586
91002,National University of Defense Technology,2,1,Female,,622
99001,Air Force Aviation University,4,3,,,520
