state,category,count,flag
alabama,Total,1563,
alaska,Total,46,e
arizona,Total,5208,
arkansas,Total,288,
california,Total,89373,
colorado,Total,4522,
connecticut,Total,8010,
delaware,Total,2310,
district of columbia,Total,488,
florida,Total,5795,i
georgia,Total,4023,i
hawaii,Total,214,
idaho,Total,1238,
illinois,Total,13096,
indiana,Total,6479,
iowa,Total,2052,
kansas,Total,1942,
kentucky,Total,1279,
louisiana,Total,354,i
maine,Total,365,
maryland,Total,4770,
massachusetts,Total,17395,
michigan,Total,15925,
minnesota,Total,6614,
mississippi,Total,211,
missouri,Total,7174,i
alabama,Male,802,
alaska,Male,33,e
arizona,Male,4036,
arkansas,Male,252,
california,Male,76851,
colorado,Male,3869,
connecticut,Male,5789,
delaware,Male,1705,
district of columbia,Male,297,
florida,Male,3900,i
georgia,Male,3350,i
hawaii,Male,158,
idaho,Male,908,
illinois,Male,11961,
indiana,Male,5482,
iowa,Male,1498,
kansas,Male,1321,
kentucky,Male,917,
louisiana,Male,275,i
maine,Male,314,
maryland,Male,2665,
massachusetts,Male,14000,
michigan,Male,14409,
minnesota,Male,6057,
mississippi,Male,183,
missouri,Male,3570,i
alabama,Female,761,
alaska,Female,12,e
arizona,Female,1172,
arkansas,Female,36,
california,Female,12522,
colorado,Female,652,
connecticut,Female,2221,
delaware,Female,605,
district of columbia,Female,191,
florida,Female,1894,i
georgia,Female,673,i
hawaii,Female,57,
idaho,Female,331,
illinois,Female,1136,
indiana,Female,997,
iowa,Female,554,
kansas,Female,621,
kentucky,Female,362,
louisiana,Female,79,i
maine,Female,51,
maryland,Female,2105,
massachusetts,Female,3395,
michigan,Female,1517,
minnesota,Female,557,
mississippi,Female,28,
missouri,Female,3605,i
