club,season,competition,apps,goals,assists
,2005-06,competition_1,30,4,0
,2005-06,competition_2,0,0,0
,2005-06,competition_3,0,0,0
,2006-07,competition_1,13,1,0
,2006-07,competition_2,0,0,0
,2006-07,competition_3,0,0,0
rijeka,2006-07,competition_1,20,0,6
rijeka,2006-07,competition_2,0,0,0
rijeka,2006-07,competition_3,2,0,0
rijeka,2007-08,competition_1,18,1,3
rijeka,2007-08,competition_2,0,0,0
rijeka,2007-08,competition_3,0,0,0
red bull salzburg,2007-08,competition_1,6,0,1
red bull salzburg,2007-08,competition_2,0,0,0
red bull salzburg,2007-08,competition_3,0,0,0
red bull salzburg,2008-09,competition_1,4,0,1
red bull salzburg,2008-09,competition_2,1,0,0
red bull salzburg,2008-09,competition_3,0,0,0
sparta prague,2008-09,competition_1,14,1,0
sparta prague,2008-09,competition_2,0,0,0
sparta prague,2008-09,competition_3,0,0,0
sparta prague,2009-10,competition_1,26,0,2
sparta prague,2009-10,competition_2,1,0,0
sparta prague,2009-10,competition_3,9,0,2
sparta prague,2010-11,competition_1,27,3,2
sparta prague,2010-11,competition_2,1,0,0
sparta prague,2010-11,competition_3,13,0,8
sparta prague,2011-12,competition_1,28,0,7
sparta prague,2011-12,competition_2,6,1,0
sparta prague,2011-12,competition_3,4,1,0
sparta prague,2012-13,competition_1,19,0,2
sparta prague,2012-13,competition_2,5,0,0
sparta prague,2012-13,competition_3,9,0,0
chievo verona,2013-14,competition_1,3,0,0
chievo verona,2013-14,competition_2,3,0,0
chievo verona,2013-14,competition_3,0,0,0
siena,2013-14,competition_1,0,0,0
siena,2013-14,competition_2,0,0,0
siena,2013-14,competition_3,0,0,0
