year,team,stat_category,games_played,games_started,receptions,yards,longest,touchdowns,returns,fumbles,fumbles_lost
,,receiving,,,,,,,,,
,,punt_returns,,,,,,,,,
,,kickoff_returns,,,,,,,,,
2009,stl,receiving,14,2,43,326,1,66,,,
2009,stl,punt_returns,,,,58,31,360,,,
2009,stl,kickoff_returns,,,,,,,,,
2010,stl,receiving,16,6,85,689,3,50,,,
2010,stl,punt_returns,,,,84,40,452,,,
2010,stl,kickoff_returns,,,,,,,,,
2011,stl,receiving,1,1,5,45,0,0,,,
2011,stl,punt_returns,,,,0,1,0,0,,
2011,stl,kickoff_returns,,,,,,,,,
2012,stl,receiving,11,8,63,666,3,2,,,
2012,stl,punt_returns,,,,12,17,122,16,,
2012,stl,kickoff_returns,,,,,,,,,
2013,ne,receiving,12,6,54,633,2,0,,,
2013,ne,punt_returns,,,,0,1,13,0,,
2013,ne,kickoff_returns,,,,,,,,,
2014,ne,receiving,16,4,27,200,1,20,,,
2014,ne,punt_returns,,,,81,16,132,482,,
2014,ne,kickoff_returns,,,,,,,,,
2015,ne,receiving,14,7,65,648,3,8,,,
2015,ne,punt_returns,,,,29,23,276,172,,
2015,ne,kickoff_returns,,,,,,,,,
2016,ne,receiving,12,4,23,243,4,5,,,
2016,ne,punt_returns,,,,73,18,121,129,,
2016,ne,kickoff_returns,,,,,,,,,
2017,ne,receiving,15,8,61,659,2,1,,,
2017,ne,punt_returns,,,,16,27,231,16,,
2017,ne,kickoff_returns,,,,,,,,,
2018,mia,receiving,15,15,59,575,1,0,,,
2018,mia,punt_returns,,,,0,11,59,0,,
2018,mia,kickoff_returns,,,,,,,,,
