province,agricultural_region,language,metric_type,value
newfoundland and labrador,agricultural region 1,english,number,905.0
newfoundland and labrador,agricultural region 1,french,number,0.0
newfoundland and labrador,agricultural region 1,other,number,0.0
newfoundland and labrador,agricultural region 1,english,percent,100.0
newfoundland and labrador,agricultural region 1,french,percent,0.0
newfoundland and labrador,agricultural region 1,other,percent,0.0
newfoundland and labrador,agricultural region 2,english,number,1075.0
newfoundland and labrador,agricultural region 2,french,number,0.0
newfoundland and labrador,agricultural region 2,other,number,0.0
newfoundland and labrador,agricultural region 2,english,percent,100.0
newfoundland and labrador,agricultural region 2,french,percent,0.0
newfoundland and labrador,agricultural region 2,other,percent,0.0
newfoundland and labrador,agricultural region 3,english,number,580.0
newfoundland and labrador,agricultural region 3,french,number,0.0
newfoundland and labrador,agricultural region 3,other,number,0.0
newfoundland and labrador,agricultural region 3,english,percent,100.0
newfoundland and labrador,agricultural region 3,french,percent,0.0
newfoundland and labrador,agricultural region 3,other,percent,0.0
prince edward island,agricultural region 1,english,number,725.0
prince edward island,agricultural region 1,french,number,0.0
prince edward island,agricultural region 1,other,number,0.0
prince edward island,agricultural region 1,english,percent,100.0
prince edward island,agricultural region 1,french,percent,0.0
prince edward island,agricultural region 1,other,percent,0.0
prince edward island,agricultural region 2,english,number,1700.0
prince edward island,agricultural region 2,french,number,0.0
prince edward island,agricultural region 2,other,number,0.0
prince edward island,agricultural region 2,english,percent,100.0
prince edward island,agricultural region 2,french,percent,0.0
prince edward island,agricultural region 2,other,percent,0.0
prince edward island,agricultural region 3,english,number,1590.0
prince edward island,agricultural region 3,french,number,50.0
prince edward island,agricultural region 3,other,number,0.0
prince edward island,agricultural region 3,english,percent,96.7
prince edward island,agricultural region 3,french,percent,3.0
prince edward island,agricultural region 3,other,percent,0.0
nova scotia,agricultural region 1,english,number,1465.0
nova scotia,agricultural region 1,french,number,105.0
nova scotia,agricultural region 1,other,number,0.0
nova scotia,agricultural region 1,english,percent,93.6
nova scotia,agricultural region 1,french,percent,6.7
nova scotia,agricultural region 1,other,percent,0.0
nova scotia,agricultural region 2,english,number,3680.0
nova scotia,agricultural region 2,french,number,25.0
nova scotia,agricultural region 2,other,number,0.0
nova scotia,agricultural region 2,english,percent,99.3
nova scotia,agricultural region 2,french,percent,0.7
nova scotia,agricultural region 2,other,percent,0.0
nova scotia,agricultural region 3,english,number,1970.0
nova scotia,agricultural region 3,french,number,25.0
nova scotia,agricultural region 3,other,number,0.0
nova scotia,agricultural region 3,english,percent,98.7
nova scotia,agricultural region 3,french,percent,1.3
nova scotia,agricultural region 3,other,percent,0.0
nova scotia,agricultural region 4,english,number,825.0
nova scotia,agricultural region 4,french,number,0.0
nova scotia,agricultural region 4,other,number,0.0
nova scotia,agricultural region 4,english,percent,98.2
nova scotia,agricultural region 4,french,percent,0.0
nova scotia,agricultural region 4,other,percent,0.0
nova scotia,agricultural region 5,english,number,495.0
nova scotia,agricultural region 5,french,number,0.0
nova scotia,agricultural region 5,other,number,0.0
nova scotia,agricultural region 5,english,percent,98.0
nova scotia,agricultural region 5,french,percent,0.0
nova scotia,agricultural region 5,other,percent,0.0
new brunswick,agricultural region 1,english,number,2700.0
new brunswick,agricultural region 1,french,number,935.0
new brunswick,agricultural region 1,other,number,0.0
new brunswick,agricultural region 1,english,percent,74.3
new brunswick,agricultural region 1,french,percent,25.7
new brunswick,agricultural region 1,other,percent,0.0
new brunswick,agricultural region 2,english,number,2340.0
new brunswick,agricultural region 2,french,number,55.0
new brunswick,agricultural region 2,other,number,0.0
new brunswick,agricultural region 2,english,percent,97.5
new brunswick,agricultural region 2,french,percent,2.3
new brunswick,agricultural region 2,other,percent,0.0
new brunswick,agricultural region 3,english,number,785.0
new brunswick,agricultural region 3,french,number,335.0
new brunswick,agricultural region 3,other,number,0.0
new brunswick,agricultural region 3,english,percent,70.1
new brunswick,agricultural region 3,french,percent,29.9
new brunswick,agricultural region 3,other,percent,0.0
new brunswick,agricultural region 4,english,number,320.0
new brunswick,agricultural region 4,french,number,975.0
new brunswick,agricultural region 4,other,number,0.0
new brunswick,agricultural region 4,english,percent,24.6
new brunswick,agricultural region 4,french,percent,75.0
new brunswick,agricultural region 4,other,percent,0.0
