group_label,auxiliary_value,index,measurement
20.0,29.8,0.0,16.9
20.0,29.8,1.0,20.6
20.0,29.8,2.0,22.6
20.0,29.8,3.0,35.0
20.0,29.8,4.0,50.0
20.0,29.8,5.0,60.0
20.0,29.8,6.0,70.0
20.0,29.8,7.0,79.0
20.0,29.8,8.0,87.0
20.0,29.8,9.0,95.0
40.0,53.5,0.0,32.4
40.0,53.5,1.0,34.5
40.0,53.5,2.0,36.5
40.0,53.5,3.0,39.7
40.0,53.5,4.0,50.0
40.0,53.5,5.0,60.0
40.0,53.5,6.0,70.0
40.0,53.5,7.0,79.0
40.0,53.5,8.0,87.0
40.0,53.5,9.0,95.0
50.0,63.4,0.0,40.4
50.0,63.4,1.0,41.7
50.0,63.4,2.0,43.0
50.0,63.4,3.0,44.3
50.0,63.4,4.0,51.9
50.0,63.4,5.0,60.0
50.0,63.4,6.0,70.0
50.0,63.4,7.0,79.0
50.0,63.4,8.0,87.0
50.0,63.4,9.0,95.0
60.0,72.3,0.0,49.2
60.0,72.3,1.0,50.1
60.0,72.3,2.0,51.1
60.0,72.3,3.0,51.4
60.0,72.3,4.0,57.9
60.0,72.3,5.0,64.6
60.0,72.3,6.0,70.0
60.0,72.3,7.0,79.0
60.0,72.3,8.0,87.0
60.0,72.3,9.0,95.0
80.0,87.6,0.0,70.7
80.0,87.6,1.0,70.8
80.0,87.6,2.0,70.9
80.0,87.6,3.0,71.0
80.0,87.6,4.0,71.2
80.0,87.6,5.0,77.1
80.0,87.6,6.0,82.4
80.0,87.6,7.0,84.3
80.0,87.6,8.0,87.0
80.0,87.6,9.0,95.0
