business_structure,period,value_type,value
sole proprietorship,1,number,528.0
sole proprietorship,1,percent,59.4
sole proprietorship,2,number,388.0
sole proprietorship,2,percent,65.0
sole proprietorship,3,number,242.0
sole proprietorship,3,percent,61.4
sole proprietorship,4,number,1639.0
sole proprietorship,4,percent,62.8
partnership without written agreement,1,number,118.0
partnership without written agreement,1,percent,13.3
partnership without written agreement,2,number,70.0
partnership without written agreement,2,percent,11.7
partnership without written agreement,3,number,35.0
partnership without written agreement,3,percent,8.9
partnership without written agreement,4,number,335.0
partnership without written agreement,4,percent,12.8
partnership with a written agreement,1,number,12.0
partnership with a written agreement,1,percent,1.3
partnership with a written agreement,2,number,23.0
partnership with a written agreement,2,percent,3.9
partnership with a written agreement,3,number,4.0
partnership with a written agreement,3,percent,1.0
partnership with a written agreement,4,number,50.0
partnership with a written agreement,4,percent,1.9
family corporation,1,number,205.0
family corporation,1,percent,23.1
family corporation,2,number,89.0
family corporation,2,percent,14.9
family corporation,3,number,78.0
family corporation,3,percent,19.8
family corporation,4,number,481.0
family corporation,4,percent,18.4
non-family corporation,1,number,23.0
non-family corporation,1,percent,2.6
non-family corporation,2,number,22.0
non-family corporation,2,percent,3.7
non-family corporation,3,number,35.0
non-family corporation,3,percent,8.9
non-family corporation,4,number,97.0
non-family corporation,4,percent,3.7
other operating arrangements,1,number,3.0
other operating arrangements,1,percent,0.3
other operating arrangements,2,number,5.0
other operating arrangements,2,percent,0.8
other operating arrangements,3,number,0.0
other operating arrangements,3,percent,0.0
other operating arrangements,4,number,9.0
other operating arrangements,4,percent,0.3
