beverage,metric_type,year,value
water,percentage of population consuming the day before,2004,73.1
water,percentage of population consuming the day before,2015,88.1
water,percentage of population consuming the day before,2004,75.5
water,percentage of population consuming the day before,2015,90.5
water,percentage of population consuming the day before,2004,76.8
water,percentage of population consuming the day before,2015,88.8
water,percentage of population consuming the day before,2004,73.7
water,percentage of population consuming the day before,2015,86.5
"skim, 1% or 2% milk",percentage of population consuming the day before,2004,60.8
"skim, 1% or 2% milk",percentage of population consuming the day before,2015,52.9
"skim, 1% or 2% milk",percentage of population consuming the day before,2004,65.9
"skim, 1% or 2% milk",percentage of population consuming the day before,2015,59.5
"skim, 1% or 2% milk",percentage of population consuming the day before,2004,60.3
"skim, 1% or 2% milk",percentage of population consuming the day before,2015,58.2
"skim, 1% or 2% milk",percentage of population consuming the day before,2004,51.9
"skim, 1% or 2% milk",percentage of population consuming the day before,2015,44.1
whole milk and flavoured milk,percentage of population consuming the day before,2004,37.4
whole milk and flavoured milk,percentage of population consuming the day before,2015,35.9
whole milk and flavoured milk,percentage of population consuming the day before,2004,23.7
whole milk and flavoured milk,percentage of population consuming the day before,2015,22.4
whole milk and flavoured milk,percentage of population consuming the day before,2004,19.2
whole milk and flavoured milk,percentage of population consuming the day before,2015,16.7
whole milk and flavoured milk,percentage of population consuming the day before,2004,19.5
whole milk and flavoured milk,percentage of population consuming the day before,2015,17.8
fruit juice,percentage of population consuming the day before,2004,54.0
fruit juice,percentage of population consuming the day before,2015,46.1
fruit juice,percentage of population consuming the day before,2004,42.8
fruit juice,percentage of population consuming the day before,2015,38.7
fruit juice,percentage of population consuming the day before,2004,38.1
fruit juice,percentage of population consuming the day before,2015,37.7
fruit juice,percentage of population consuming the day before,2004,38.6
fruit juice,percentage of population consuming the day before,2015,24.8
regular soft drinks,percentage of population consuming the day before,2004,14.1
regular soft drinks,percentage of population consuming the day before,2015,6.3
regular soft drinks,percentage of population consuming the day before,2004,31.0
regular soft drinks,percentage of population consuming the day before,2015,17.7
regular soft drinks,percentage of population consuming the day before,2004,52.3
regular soft drinks,percentage of population consuming the day before,2015,29.8
regular soft drinks,percentage of population consuming the day before,2004,34.6
regular soft drinks,percentage of population consuming the day before,2015,20.8
fruit drinks,percentage of population consuming the day before,2004,36.8
fruit drinks,percentage of population consuming the day before,2015,14.4
fruit drinks,percentage of population consuming the day before,2004,43.8
fruit drinks,percentage of population consuming the day before,2015,19.9
fruit drinks,percentage of population consuming the day before,2004,32.1
fruit drinks,percentage of population consuming the day before,2015,14.1
fruit drinks,percentage of population consuming the day before,2004,32.9
fruit drinks,percentage of population consuming the day before,2015,12.9
sports drinks,percentage of population consuming the day before,2004,0.9
sports drinks,percentage of population consuming the day before,2015,
sports drinks,percentage of population consuming the day before,2004,2.6
sports drinks,percentage of population consuming the day before,2015,1.7
sports drinks,percentage of population consuming the day before,2004,2.8
sports drinks,percentage of population consuming the day before,2015,6.0
sports drinks,percentage of population consuming the day before,2004,2.1
sports drinks,percentage of population consuming the day before,2015,
diet soft drinks,percentage of population consuming the day before,2004,1.6
diet soft drinks,percentage of population consuming the day before,2015,
diet soft drinks,percentage of population consuming the day before,2004,5.1
diet soft drinks,percentage of population consuming the day before,2015,2.5
diet soft drinks,percentage of population consuming the day before,2004,3.1
diet soft drinks,percentage of population consuming the day before,2015,2.3
diet soft drinks,percentage of population consuming the day before,2004,7.8
diet soft drinks,percentage of population consuming the day before,2015,2.5
tea,percentage of population consuming the day before,2004,5.9
tea,percentage of population consuming the day before,2015,5.4
tea,percentage of population consuming the day before,2004,10.7
tea,percentage of population consuming the day before,2015,13.8
tea,percentage of population consuming the day before,2004,13.9
tea,percentage of population consuming the day before,2015,16.7
tea,percentage of population consuming the day before,2004,17.1
tea,percentage of population consuming the day before,2015,23.5
coffee,percentage of population consuming the day before,2004,
coffee,percentage of population consuming the day before,2015,
coffee,percentage of population consuming the day before,2004,1.7
coffee,percentage of population consuming the day before,2015,2.6
coffee,percentage of population consuming the day before,2004,9.0
coffee,percentage of population consuming the day before,2015,14.4
coffee,percentage of population consuming the day before,2004,13.0
coffee,percentage of population consuming the day before,2015,17.4
plant-based beverages,percentage of population consuming the day before,2004,2.1
plant-based beverages,percentage of population consuming the day before,2015,4.0
plant-based beverages,percentage of population consuming the day before,2004,1.5
plant-based beverages,percentage of population consuming the day before,2015,1.8
plant-based beverages,percentage of population consuming the day before,2004,
plant-based beverages,percentage of population consuming the day before,2015,
plant-based beverages,percentage of population consuming the day before,2004,1.1
plant-based beverages,percentage of population consuming the day before,2015,3.4
vegetable juice,percentage of population consuming the day before,2004,1.8
vegetable juice,percentage of population consuming the day before,2015,1.2
vegetable juice,percentage of population consuming the day before,2004,1.9
vegetable juice,percentage of population consuming the day before,2015,1.4
vegetable juice,percentage of population consuming the day before,2004,
vegetable juice,percentage of population consuming the day before,2015,
vegetable juice,percentage of population consuming the day before,2004,1.9
vegetable juice,percentage of population consuming the day before,2015,
beer and coolers,percentage of population consuming the day before,2004,
beer and coolers,percentage of population consuming the day before,2015,
beer and coolers,percentage of population consuming the day before,2004,
beer and coolers,percentage of population consuming the day before,2015,0.0
beer and coolers,percentage of population consuming the day before,2004,4.9
beer and coolers,percentage of population consuming the day before,2015,2.2
beer and coolers,percentage of population consuming the day before,2004,2.4
beer and coolers,percentage of population consuming the day before,2015,
water,quantity consumed in grams by consumers,2004,411.0
water,quantity consumed in grams by consumers,2015,508.0
water,quantity consumed in grams by consumers,2004,657.0
water,quantity consumed in grams by consumers,2015,735.0
water,quantity consumed in grams by consumers,2004,1016.0
water,quantity consumed in grams by consumers,2015,1131.0
water,quantity consumed in grams by consumers,2004,939.0
water,quantity consumed in grams by consumers,2015,1043.0
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2004,399.0
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2015,360.0
"skim, 1% or 2% milk",quantity consumed in grams by consumers,2004,438.0
