club,season,competition,season_phase,apps,goals
port vale,1992-93,division 2,1,41,15
port vale,1992-93,division 2,2,4,1
port vale,1992-93,division 2,3,2,1
port vale,1992-93,division 2,4,9,2
port vale,1992-93,division 2,5,56,18
port vale,1993-94,division 2,1,42,13
port vale,1993-94,division 2,2,2,0
port vale,1993-94,division 2,3,2,1
port vale,1993-94,division 2,4,4,2
port vale,1993-94,division 2,5,50,16
sheffield wednesday,1994-95,premier league,1,14,1
sheffield wednesday,1994-95,premier league,2,0,0
sheffield wednesday,1994-95,premier league,3,4,1
sheffield wednesday,1994-95,premier league,4,,
sheffield wednesday,1994-95,premier league,5,18,2
aston villa,1994-95,premier league,1,22,1
aston villa,1994-95,premier league,2,2,0
aston villa,1994-95,premier league,3,0,0
aston villa,1994-95,premier league,4,,
aston villa,1994-95,premier league,5,24,1
aston villa,1995-96,premier league,1,25,3
aston villa,1995-96,premier league,2,3,1
aston villa,1995-96,premier league,3,6,1
aston villa,1995-96,premier league,4,,
aston villa,1995-96,premier league,5,34,5
aston villa,1996-97,premier league,1,34,2
aston villa,1996-97,premier league,2,0,0
aston villa,1996-97,premier league,3,3,1
aston villa,1996-97,premier league,4,,
aston villa,1996-97,premier league,5,37,3
aston villa,1997-98,premier league,1,32,6
aston villa,1997-98,premier league,2,3,0
aston villa,1997-98,premier league,3,1,0
aston villa,1997-98,premier league,4,8,3
aston villa,1997-98,premier league,5,44,9
aston villa,1998-99,premier league,1,33,4
aston villa,1998-99,premier league,2,1,0
aston villa,1998-99,premier league,3,1,0
aston villa,1998-99,premier league,4,3,0
aston villa,1998-99,premier league,5,38,4
aston villa,1999-2000,premier league,1,29,5
aston villa,1999-2000,premier league,2,5,0
aston villa,1999-2000,premier league,3,8,5
aston villa,1999-2000,premier league,4,,
aston villa,1999-2000,premier league,5,42,10
aston villa,2000-01,premier league,1,29,4
aston villa,2000-01,premier league,2,1,0
aston villa,2000-01,premier league,3,1,0
aston villa,2000-01,premier league,4,4,1
aston villa,2000-01,premier league,5,35,5
aston villa,2001-02,premier league,1,16,3
aston villa,2001-02,premier league,2,1,1
aston villa,2001-02,premier league,3,1,0
aston villa,2001-02,premier league,4,,
aston villa,2001-02,premier league,5,18,4
aston villa,2002-03,premier league,1,13,0
aston villa,2002-03,premier league,2,1,0
aston villa,2002-03,premier league,3,2,1
aston villa,2002-03,premier league,4,3,1
aston villa,2002-03,premier league,5,19,2
derby county,2003-04,division 1,1,42,11
derby county,2003-04,division 1,2,1,0
derby county,2003-04,division 1,3,1,1
derby county,2003-04,division 1,4,,
derby county,2003-04,division 1,5,44,12
derby county,2004-05,championship,1,39,3
derby county,2004-05,championship,2,2,0
derby county,2004-05,championship,3,1,0
derby county,2004-05,championship,4,2,0
derby county,2004-05,championship,5,44,3
northampton town,2005-06,league two,1,33,7
northampton town,2005-06,league two,2,3,0
northampton town,2005-06,league two,3,1,0
northampton town,2005-06,league two,4,1,0
northampton town,2005-06,league two,5,38,7
northampton town,2006-07,league one,1,33,1
northampton town,2006-07,league one,2,3,0
northampton town,2006-07,league one,3,0,0
northampton town,2006-07,league one,4,,
northampton town,2006-07,league one,5,36,1
