year,team,stat_domain,stat_name,stat_value
2007,phi,passing,cmp,0.0
2008,phi,passing,cmp,17.0
2009,phi,passing,cmp,62.0
2010,phi,passing,cmp,115.0
2011,ari,passing,cmp,146.0
2012,ari,passing,cmp,109.0
2013,buf,passing,cmp,0.0
2007,phi,passing,att,0.0
2008,phi,passing,att,34.0
2009,phi,passing,att,96.0
2010,phi,passing,att,189.0
2011,ari,passing,att,253.0
2012,ari,passing,att,183.0
2013,buf,passing,att,0.0
2007,phi,passing,pct,0.0
2008,phi,passing,pct,50.0
2009,phi,passing,pct,64.6
2010,phi,passing,pct,60.8
2011,ari,passing,pct,57.7
2012,ari,passing,pct,59.6
2013,buf,passing,pct,0.0
2007,phi,passing,yds,0.0
2008,phi,passing,yds,144.0
2009,phi,passing,yds,741.0
2010,phi,passing,yds,1197.0
2011,ari,passing,yds,1955.0
2012,ari,passing,yds,1169.0
2013,buf,passing,yds,0.0
2007,phi,passing,y/a,0.0
2008,phi,passing,y/a,4.2
2009,phi,passing,y/a,7.7
2010,phi,passing,y/a,6.3
2011,ari,passing,y/a,7.7
2012,ari,passing,y/a,6.4
2013,buf,passing,y/a,0.0
2007,phi,passing,td,0.0
2008,phi,passing,td,0.0
2009,phi,passing,td,4.0
2010,phi,passing,td,7.0
2011,ari,passing,td,9.0
2012,ari,passing,td,8.0
2013,buf,passing,td,0.0
2007,phi,passing,int,0.0
2008,phi,passing,int,4.0
2009,phi,passing,int,3.0
2010,phi,passing,int,7.0
2011,ari,passing,int,8.0
2012,ari,passing,int,3.0
2013,buf,passing,int,0.0
2007,phi,passing,rtg,0.0
2008,phi,passing,rtg,21.8
2009,phi,passing,rtg,88.9
2010,phi,passing,rtg,76.1
2011,ari,passing,rtg,81.1
2012,ari,passing,rtg,86.1
2013,buf,passing,rtg,0.0
2007,phi,other,att,3.0
2008,phi,other,att,13.0
2009,phi,other,att,5.0
2010,phi,other,att,15.0
2011,ari,other,att,17.0
2012,ari,other,att,16.0
2013,buf,other,att,0.0
2007,phi,other,yds,2.0
2008,phi,other,yds,2.0
2009,phi,other,yds,1.0
2010,phi,other,yds,65.0
2011,ari,other,yds,65.0
2012,ari,other,yds,100.0
2013,buf,other,yds,0.0
2007,phi,other,avg,0.7
2008,phi,other,avg,0.2
2009,phi,other,avg,0.2
2010,phi,other,avg,4.3
2011,ari,other,avg,3.8
2012,ari,other,avg,6.3
2013,buf,other,avg,0.0
2007,phi,other,td,0.0
2008,phi,other,td,0.0
2009,phi,other,td,1.0
2010,phi,other,td,0.0
2011,ari,other,td,0.0
2012,ari,other,td,1.0
2013,buf,other,td,0.0
2007,phi,other,sack,2.0
2008,phi,other,sack,0.0
2009,phi,other,sack,3.0
2010,phi,other,sack,15.0
2011,ari,other,sack,30.0
2012,ari,other,sack,27.0
2013,buf,other,sack,0.0
2007,phi,other,ydsl,13.0
2008,phi,other,ydsl,0.0
2009,phi,other,ydsl,27.0
2010,phi,other,ydsl,99.0
2011,ari,other,ydsl,219.0
2012,ari,other,ydsl,159.0
2013,buf,other,ydsl,0.0
2007,phi,other,fum,1.0
2008,phi,other,fum,0.0
2009,phi,other,fum,2.0
2010,phi,other,fum,6.0
2011,ari,other,fum,8.0
2012,ari,other,fum,2.0
2013,buf,other,fum,0.0
2007,phi,other,fuml,1.0
2008,phi,other,fuml,0.0
2009,phi,other,fuml,1.0
2010,phi,other,fuml,3.0
2011,ari,other,fuml,3.0
2012,ari,other,fuml,2.0
2013,buf,other,fuml,0.0
