date_range,device_end,traffic_source_platform,access_method,traffic_type,metric,value
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Train,Paid Traffic,UV,799.0
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Train,Paid Traffic,PV,26.0
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Train,Paid Traffic,IPV,22.0
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Train,Paid Traffic,GMV,827.55
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Access,Self-access,UV,1.0
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Access,Self-access,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Access,Self-access,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Direct,Access,Self-access,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Alipay Mini Program,Daily Must Grab,Free traffic within Taobao,UV,18.0
2019-10-01 ~ 2019-10-31,Wireless End,Alipay Mini Program,Daily Must Grab,Free traffic within Taobao,PV,3.0
2019-10-01 ~ 2019-10-31,Wireless End,Alipay Mini Program,Daily Must Grab,Free traffic within Taobao,IPV,3.0
2019-10-01 ~ 2019-10-31,Wireless End,Alipay Mini Program,Daily Must Grab,Free traffic within Taobao,GMV,61.68
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao,Self-access,UV,715.0
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao,Self-access,PV,187.0
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao,Self-access,IPV,174.0
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao,Self-access,GMV,7036.09
2019-10-01 ~ 2019-10-31,Wireless End,Free,traffic within Taobao (others),Free traffic within Taobao,UV,705.0
2019-10-01 ~ 2019-10-31,Wireless End,Free,traffic within Taobao (others),Free traffic within Taobao,PV,76.0
2019-10-01 ~ 2019-10-31,Wireless End,Free,traffic within Taobao (others),Free traffic within Taobao,IPV,72.0
2019-10-01 ~ 2019-10-31,Wireless End,Free,traffic within Taobao (others),Free traffic within Taobao,GMV,2951.97
2019-10-01 ~ 2019-10-31,Wireless End,Taobao,Guest,Paid Traffic,UV,458.0
2019-10-01 ~ 2019-10-31,Wireless End,Taobao,Guest,Paid Traffic,PV,49.0
2019-10-01 ~ 2019-10-31,Wireless End,Taobao,Guest,Paid Traffic,IPV,49.0
2019-10-01 ~ 2019-10-31,Wireless End,Taobao,Guest,Paid Traffic,GMV,1603.46
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Find Similar,Free traffic within Taobao,UV,62.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Find Similar,Free traffic within Taobao,PV,9.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Find Similar,Free traffic within Taobao,IPV,8.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand,Taobao Find Similar,Free traffic within Taobao,GMV,393.05
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Message Center,Free traffic within Taobao,UV,9.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Message Center,Free traffic within Taobao,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Message Center,Free traffic within Taobao,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-tao,Message Center,Free traffic within Taobao,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao Evaluation,Free traffic within Taobao,UV,9.0
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao Evaluation,Free traffic within Taobao,PV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao Evaluation,Free traffic within Taobao,IPV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,My,Taobao Evaluation,Free traffic within Taobao,GMV,0.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-Hand,Q&A,Free traffic within Taobao,UV,17.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-Hand,Q&A,Free traffic within Taobao,PV,5.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-Hand,Q&A,Free traffic within Taobao,IPV,5.0
2019-10-01 ~ 2019-10-31,Wireless End,Hand-to-Hand,Q&A,Free traffic within Taobao,GMV,150.3
