year_range,conference,division,finish,phase,metric,value
,,,finish,regular_season,gp,
,,,finish,regular_season,w,
,,,finish,regular_season,l,
,,,finish,regular_season,t,
,,,finish,regular_season,ot,
,,,finish,playoffs,gf,
,,,finish,playoffs,ga,
,,,finish,playoffs,gp,
,,,finish,playoffs,w,
,,,finish,playoffs,l,
,,,finish,playoffs,gf,
,,,finish,playoffs,ga,
1967-68,-,west,1st,regular_season,gp,74
1967-68,-,west,1st,regular_season,w,31
1967-68,-,west,1st,regular_season,l,32
1967-68,-,west,1st,regular_season,t,11
1967-68,-,west,1st,regular_season,ot,
1967-68,-,west,1st,playoffs,gf,173
1967-68,-,west,1st,playoffs,ga,179
1967-68,-,west,1st,playoffs,gp,7
1967-68,-,west,1st,playoffs,w,3
1967-68,-,west,1st,playoffs,l,4
1967-68,-,west,1st,playoffs,gf,17
1967-68,-,west,1st,playoffs,ga,17
1968-69,-,west,3rd,regular_season,gp,76
1968-69,-,west,3rd,regular_season,w,20
1968-69,-,west,3rd,regular_season,l,35
1968-69,-,west,3rd,regular_season,t,21
1968-69,-,west,3rd,regular_season,ot,
1968-69,-,west,3rd,playoffs,gf,174
1968-69,-,west,3rd,playoffs,ga,225
1968-69,-,west,3rd,playoffs,gp,4
1968-69,-,west,3rd,playoffs,w,0
1968-69,-,west,3rd,playoffs,l,4
1968-69,-,west,3rd,playoffs,gf,3
1968-69,-,west,3rd,playoffs,ga,17
1969-70,-,west,5th,regular_season,gp,76
1969-70,-,west,5th,regular_season,w,17
1969-70,-,west,5th,regular_season,l,35
1969-70,-,west,5th,regular_season,t,24
1969-70,-,west,5th,regular_season,ot,
1969-70,-,west,5th,playoffs,gf,197
1969-70,-,west,5th,playoffs,ga,225
1969-70,-,west,5th,playoffs,gp,
1969-70,-,west,5th,playoffs,w,
1969-70,-,west,5th,playoffs,l,
1969-70,-,west,5th,playoffs,gf,
1969-70,-,west,5th,playoffs,ga,
1970-71,-,west,3rd,regular_season,gp,78
1970-71,-,west,3rd,regular_season,w,28
1970-71,-,west,3rd,regular_season,l,33
1970-71,-,west,3rd,regular_season,t,17
1970-71,-,west,3rd,regular_season,ot,
1970-71,-,west,3rd,playoffs,gf,207
1970-71,-,west,3rd,playoffs,ga,225
1970-71,-,west,3rd,playoffs,gp,4
1970-71,-,west,3rd,playoffs,w,0
1970-71,-,west,3rd,playoffs,l,4
1970-71,-,west,3rd,playoffs,gf,8
1970-71,-,west,3rd,playoffs,ga,20
1971-72,-,west,5th,regular_season,gp,78
1971-72,-,west,5th,regular_season,w,26
1971-72,-,west,5th,regular_season,l,38
1971-72,-,west,5th,regular_season,t,14
1971-72,-,west,5th,regular_season,ot,
1971-72,-,west,5th,playoffs,gf,200
1971-72,-,west,5th,playoffs,ga,236
1971-72,-,west,5th,playoffs,gp,
1971-72,-,west,5th,playoffs,w,
1971-72,-,west,5th,playoffs,l,
1971-72,-,west,5th,playoffs,gf,
1971-72,-,west,5th,playoffs,ga,
1972-73,-,west,2nd,regular_season,gp,78
1972-73,-,west,2nd,regular_season,w,37
1972-73,-,west,2nd,regular_season,l,30
1972-73,-,west,2nd,regular_season,t,11
1972-73,-,west,2nd,regular_season,ot,
1972-73,-,west,2nd,playoffs,gf,296
1972-73,-,west,2nd,playoffs,ga,256
1972-73,-,west,2nd,playoffs,gp,11
1972-73,-,west,2nd,playoffs,w,5
1972-73,-,west,2nd,playoffs,l,6
1972-73,-,west,2nd,playoffs,gf,27
1972-73,-,west,2nd,playoffs,ga,31
1973-74,-,west,1st,regular_season,gp,78
1973-74,-,west,1st,regular_season,w,50
1973-74,-,west,1st,regular_season,l,16
1973-74,-,west,1st,regular_season,t,12
1973-74,-,west,1st,regular_season,ot,
1973-74,-,west,1st,playoffs,gf,273
1973-74,-,west,1st,playoffs,ga,164
1973-74,-,west,1st,playoffs,gp,17
1973-74,-,west,1st,playoffs,w,12
1973-74,-,west,1st,playoffs,l,5
1973-74,-,west,1st,playoffs,gf,54
1973-74,-,west,1st,playoffs,ga,36
1974-75,campbell,patrick,1st,regular_season,gp,80
1974-75,campbell,patrick,1st,regular_season,w,51
1974-75,campbell,patrick,1st,regular_season,l,18
1974-75,campbell,patrick,1st,regular_season,t,11
1974-75,campbell,patrick,1st,regular_season,ot,
1974-75,campbell,patrick,1st,playoffs,gf,293
1974-75,campbell,patrick,1st,playoffs,ga,181
1974-75,campbell,patrick,1st,playoffs,gp,17
1974-75,campbell,patrick,1st,playoffs,w,12
1974-75,campbell,patrick,1st,playoffs,l,5
1974-75,campbell,patrick,1st,playoffs,gf,53
1974-75,campbell,patrick,1st,playoffs,ga,34
1975-76,campbell,patrick,1st,regular_season,gp,80
1975-76,campbell,patrick,1st,regular_season,w,51
1975-76,campbell,patrick,1st,regular_season,l,13
1975-76,campbell,patrick,1st,regular_season,t,16
1975-76,campbell,patrick,1st,regular_season,ot,
1975-76,campbell,patrick,1st,playoffs,gf,348
1975-76,campbell,patrick,1st,playoffs,ga,209
1975-76,campbell,patrick,1st,playoffs,gp,16
1975-76,campbell,patrick,1st,playoffs,w,8
1975-76,campbell,patrick,1st,playoffs,l,8
1975-76,campbell,patrick,1st,playoffs,gf,56
1975-76,campbell,patrick,1st,playoffs,ga,52
1976-77,campbell,patrick,1st,regular_season,gp,80
1976-77,campbell,patrick,1st,regular_season,w,48
1976-77,campbell,patrick,1st,regular_season,l,16
1976-77,campbell,patrick,1st,regular_season,t,16
1976-77,campbell,patrick,1st,regular_season,ot,
1976-77,campbell,patrick,1st,playoffs,gf,323
1976-77,campbell,patrick,1st,playoffs,ga,213
1976-77,campbell,patrick,1st,playoffs,gp,10
1976-77,campbell,patrick,1st,playoffs,w,4
1976-77,campbell,patrick,1st,playoffs,l,6
1976-77,campbell,patrick,1st,playoffs,gf,27
1976-77,campbell,patrick,1st,playoffs,ga,32
1977-78,campbell,patrick,2nd,regular_season,gp,80
1977-78,campbell,patrick,2nd,regular_season,w,45
1977-78,campbell,patrick,2nd,regular_season,l,20
1977-78,campbell,patrick,2nd,regular_season,t,15
1977-78,campbell,patrick,2nd,regular_season,ot,
1977-78,campbell,patrick,2nd,playoffs,gf,296
1977-78,campbell,patrick,2nd,playoffs,ga,200
1977-78,campbell,patrick,2nd,playoffs,gp,12
1977-78,campbell,patrick,2nd,playoffs,w,7
1977-78,campbell,patrick,2nd,playoffs,l,5
1977-78,campbell,patrick,2nd,playoffs,gf,37
1977-78,campbell,patrick,2nd,playoffs,ga,35
1978-79,campbell,patrick,2nd,regular_season,gp,80
1978-79,campbell,patrick,2nd,regular_season,w,40
1978-79,campbell,patrick,2nd,regular_season,l,25
1978-79,campbell,patrick,2nd,regular_season,t,15
1978-79,campbell,patrick,2nd,regular_season,ot,
1978-79,campbell,patrick,2nd,playoffs,gf,281
1978-79,campbell,patrick,2nd,playoffs,ga,248
