home_province,subject_category,admission_batch,major,average_score,highest_score,control_line,admission_line_difference
,Anhui,,Sci (1),,654.0,654.0,490.0
,,,Sci (1),,650.0,660.0,490.0
,,,Sci (1),,647.0,649.0,490.0
,,,Sci (1),,645.0,645.0,490.0
,,,Sci (1),,644.0,644.0,490.0
,,,Sci (1),,644.0,647.0,490.0
,,,Sci (1),,641.0,641.0,490.0
,,,Art(1),,647.0,649.0,540.0
,,,Art(1),,643.0,643.0,540.0
,,,Art(1),,635.0,636.0,540.0
,,,Art(1),,634.0,635.0,540.0
,,,Art(1),,634.0,635.0,540.0
,,,Art(1),,634.0,635.0,540.0
,,,Art(1),,634.0,634.0,540.0
,Beijing,,Sci (1),,708.0,717.0,550.0
,,,Sci (1),,704.0,712.0,550.0
,,,Sci (1),,701.0,708.0,550.0
,,,Sci (1),,699.0,705.0,550.0
,,,Sci (1),,698.0,704.0,550.0
,,,Sci (1),,694.0,697.0,550.0
,,,Sci (1),,694.0,701.0,550.0
,,,Sci (1),,694.0,694.0,550.0
,,,Sci (1),,694.0,720.0,550.0
,,,Sci (1),,694.0,705.0,550.0
,,,Sci (1),,693.0,702.0,550.0
,,,Sci (1),,693.0,705.0,550.0
,,,Sci (1),,688.0,699.0,550.0
,,,Sci (1),,686.0,688.0,550.0
,,,Sci (1),,684.0,693.0,550.0
,,,Sci (1),,684.0,694.0,550.0
,,,Sci (1),,684.0,689.0,550.0
,,,Sci (1),,684.0,698.0,550.0
,,,Sci (1),,676.0,678.0,550.0
,,,Sci (1),,676.0,676.0,550.0
,,,Sci (1),,675.0,683.0,550.0
,,,Sci (1),,666.0,666.0,550.0
,,,Sci (1),,708.0,717.0,550.0
,,,Sci (1),,704.0,712.0,550.0
,,,Sci (1),,701.0,708.0,550.0
,,,Sci (1),,699.0,705.0,550.0
,,,Sci (1),,698.0,704.0,550.0
,,,Sci (1),,694.0,697.0,550.0
,,,Sci (1),,694.0,701.0,550.0
,,,Sci (1),,694.0,694.0,550.0
,,,Sci (1),,694.0,720.0,550.0
,,,Sci (1),,694.0,705.0,550.0
,,,Art(1),,677.0,685.0,549.0
,,,Art(1),,669.0,681.0,549.0
,,,Art(1),,666.0,669.0,549.0
,,,Art(1),,666.0,678.0,549.0
,,,Art(1),,664.0,678.0,549.0
,,,Art(1),,659.0,669.0,549.0
,,,Art(1),,655.0,658.0,549.0
,,,Art(1),,654.0,657.0,549.0
,,,Art(1),,652.0,663.0,549.0
,,,Art(1),,651.0,651.0,549.0
,,,Art(1),,651.0,661.0,549.0
,,,Art(1),,650.0,669.0,549.0
,,,Art(1),,648.0,660.0,549.0
,,,Art(1),,645.0,655.0,549.0
,,,Art(1),,677.0,685.0,549.0
,,,Art(1),,669.0,681.0,549.0
,,,Art(1),,666.0,669.0,549.0
,,,Art(1),,666.0,678.0,549.0
,,,Art(1),,664.0,678.0,549.0
,,,Art(1),,659.0,669.0,549.0
,,,Art(1),,655.0,658.0,549.0
,,,Art(1),,654.0,657.0,549.0
,,,Art(1),,652.0,663.0,549.0
,,,Art(1),,651.0,651.0,549.0
,Fujian,,Sci (1),,674.0,675.0,501.0
,,,Sci (1),,668.0,688.0,501.0
,,,Sci (1),,665.0,671.0,501.0
,,,Sci (1),,663.0,663.0,501.0
,,,Sci (1),,659.0,669.0,501.0
,,,Sci (1),,655.0,656.0,501.0
,,,Sci (1),,655.0,666.0,501.0
,,,Sci (1),,647.0,662.0,501.0
,,,Sci (1),,642.0,652.0,501.0
,,,Sci (1),,642.0,662.0,501.0
,,,Sci (1),,640.0,640.0,501.0
,,,Art(1),,638.0,638.0,513.0
,,,Art(1),,637.0,637.0,513.0
,,,Art(1),,637.0,637.0,513.0
,,,Art(1),,635.0,635.0,513.0
,,,Art(1),,634.0,634.0,513.0
,,,Art(1),,633.0,634.0,513.0
,,,Art(1),,631.0,631.0,513.0
,,,Art(1),,627.0,628.0,513.0
,,,Art(1),,623.0,627.0,513.0
,,,Art(1),,606.0,630.0,513.0
,Gansu,,Sci (1),,665.0,665.0,489.0
,,,Sci (1),,656.0,657.0,489.0
,,,Sci (1),,654.0,654.0,489.0
,,,Sci (1),,646.0,646.0,489.0
,,,Sci (1),,645.0,645.0,489.0
,,,Sci (1),,642.0,645.0,489.0
,,,Art(1),,622.0,622.0,503.0
,,,Art(1),,622.0,622.0,503.0
,,,Art(1),,615.0,615.0,503.0
,,,Art(1),,615.0,617.0,503.0
,,,Art(1),,614.0,614.0,503.0
,,,Art(1),,613.0,615.0,503.0
,,,Art(1),,613.0,613.0,503.0
,,,Art(1),,610.0,610.0,503.0
,Guangdong,,Sci (1),,688.0,688.0,574.0
,,,Sci (1),,680.0,684.0,574.0
,,,Sci (1),,677.0,681.0,574.0
,,,Sci (1),,677.0,677.0,574.0
,,,Sci (1),,675.0,684.0,574.0
,,,Sci (1),,674.0,674.0,574.0
,,,Sci (1),,672.0,672.0,574.0
,,,Sci (1),,672.0,683.0,574.0
,,,Sci (1),,668.0,683.0,574.0
,,,Sci (1),,661.0,661.0,574.0
,,,Art(1),,681.0,681.0,594.0
,,,Art(1),,672.0,672.0,594.0
,,,Art(1),,671.0,672.0,594.0
,,,Art(1),,667.0,678.0,594.0
,,,Art(1),,659.0,671.0,594.0
,,,Art(1),,653.0,659.0,594.0
,,,Art(1),,652.0,653.0,594.0
,,,Art(1),,652.0,652.0,594.0
,,,Art(1),,651.0,651.0,594.0
,,,Art(1),,649.0,649.0,594.0
,,,Art(1),,648.0,648.0,594.0
,Guangxi,,Sci (1),,666.0,666.0,510.0
,,,Sci (1),,660.0,663.0,510.0
,,,Sci (1),,659.0,672.0,510.0
,,,Sci (1),,658.0,658.0,510.0
,,,Sci (1),,657.0,657.0,510.0
,,,Sci (1),,656.0,658.0,510.0
,,,Sci (1),,652.0,660.0,510.0
,,,Sci (1),,646.0,646.0,510.0
,,,Art(1),,644.0,644.0,541.0
,,,Art(1),,640.0,640.0,541.0
,,,Art(1),,634.0,634.0,541.0
,,,Art(1),,633.0,639.0,541.0
,,,Art(1),,630.0,639.0,541.0
,,,Art(1),,628.0,632.0,541.0
,,,Art(1),,628.0,632.0,541.0
,,,Art(1),,624.0,624.0,541.0
,,,Art(1),,620.0,620.0,541.0
,,,Art(1),,620.0,620.0,541.0
,Guizhou,,Sci (1),,675.0,675.0,449.0
,,,Sci(3),,666.0,666.0,
,,,Sci(3),,661.0,664.0,
,,,Sci(3),,656.0,656.0,
,,,Sci (1),,652.0,653.0,449.0
,,,Sci(3),,651.0,658.0,
,,,Sci (1),,649.0,649.0,449.0
,,,Sci (1),,647.0,651.0,449.0
,,,Sci (1),,643.0,648.0,449.0
,,,Sci (1),,641.0,651.0,449.0
,,,Sci (1),,634.0,636.0,449.0
,,,Sci(3),,631.0,634.0,
,,,Sci(3),,628.0,628.0,
,,,Sci(3),,608.0,608.0,
,,,Art(1),,673.0,678.0,522.0
,,,Art(1),,660.0,668.0,522.0
,,,Art(1),,657.0,670.0,522.0
,,,Art(1),,655.0,661.0,522.0
,,,Art(3),,653.0,653.0,
,,,Art(1),,649.0,650.0,522.0
,,,Art(1),,648.0,648.0,522.0
,,,Art(1),,647.0,651.0,522.0
,,,Art(1),,644.0,644.0,522.0
,Hainan,,Sci (1),,938.0,938.0,608.0
,,,Sci (1),,879.0,915.0,608.0
,,,Sci (1),,867.0,867.0,608.0
,,,Sci (1),,859.0,859.0,608.0
,,,Sci (1),,859.0,859.0,608.0
,,,Sci (1),,859.0,863.0,608.0
,,,Sci (1),,840.0,840.0,608.0
,,,Art(1),,912.0,930.0,667.0
,,,Art(1),,886.0,903.0,667.0
,,,Art(1),,875.0,875.0,667.0
,,,Art(1),,873.0,873.0,667.0
,,,Art(1),,871.0,871.0,667.0
,,,Art(1),,816.0,816.0,667.0
,,,Art(1),,747.0,747.0,667.0
,Hebei,,Sci (1),,691.0,691.0,538.0
,,,Sci (1),,686.0,692.0,538.0
,,,Sci (1),,683.0,684.0,538.0
,,,Sci (1),,683.0,683.0,538.0
,,,Sci (1),,679.0,679.0,538.0
,,,Sci (1),,676.0,682.0,538.0
,,,Sci (1),,670.0,670.0,538.0
,,,Art(1),,666.0,666.0,561.0
,,,Art(1),,661.0,663.0,561.0
,,,Art(1),,660.0,661.0,561.0
,,,Art(1),,659.0,660.0,561.0
,,,Art(1),,658.0,658.0,561.0
,,,Art(1),,657.0,657.0,561.0
,,,Art(1),,657.0,657.0,561.0
,,,Art(1),,656.0,656.0,561.0
,,,Art(1),,655.0,656.0,561.0
,,,Art(1),,654.0,656.0,561.0
,Heilongjiang,,Sci (1),,697.0,700.0,527.0
,,,Sci (1),,690.0,690.0,527.0
,,,Sci (1),,682.0,690.0,527.0
,,,Sci (1),,681.0,697.0,527.0
,,,Sci (1),,679.0,697.0,527.0
,,,Art(1),,640.0,640.0,504.0
,,,Art(1),,639.0,639.0,504.0
,,,Art(1),,634.0,634.0,504.0
,,,Art(1),,633.0,633.0,504.0
,,,Art(1),,633.0,633.0,504.0
,,,Art(1),,631.0,631.0,504.0
,,,Art(1),,629.0,629.0,504.0
,,,Art(1),,628.0,628.0,504.0
,Hubei,,Sci (1),,673.0,678.0,527.0
,,,Sci (1),,672.0,673.0,527.0
,,,Sci (1),,670.0,670.0,527.0
,,,Sci (1),,666.0,668.0,527.0
,,,Sci (1),,665.0,667.0,527.0
,,,Sci (1),,664.0,669.0,527.0
,,,Sci (1),,664.0,664.0,527.0
,,,Sci (1),,663.0,668.0,527.0
,,,Art(1),,650.0,651.0,531.0
,,,Art(1),,636.0,648.0,531.0
,,,Art(1),,635.0,641.0,531.0
,,,Art(1),,626.0,626.0,531.0
,,,Art(1),,623.0,626.0,531.0
,,,Art(1),,621.0,623.0,531.0
,,,Art(1),,620.0,622.0,531.0
,,,Art(1),,619.0,619.0,531.0
,,,Art(1),,619.0,619.0,531.0
,Hunan,,Sci (1),,655.0,674.0,495.0
,,,Sci (1),,654.0,654.0,495.0
,,,Sci (1),,653.0,653.0,495.0
,,,Sci (1),,640.0,654.0,495.0
,,,Sci (1),,640.0,650.0,495.0
,,,Sci (1),,638.0,638.0,495.0
,,,Sci (1),,638.0,642.0,495.0
,,,Sci (1),,637.0,643.0,495.0
