section,serial_number,material_type,grade,diameter,composition,unit,price
,1,Low carbon hot-rolled,HPB300,Φ6.5,,t,3290.0
,2,Low carbon hot-rolled,HPB300,Φ8,,t,3290.0
,3,Low carbon hot-rolled,HPB300,Φ10,,t,3290.0
,4,Low carbon hot-rolled,HPB300,Φ12,,t,3240.0
,5,Low carbon hot-rolled,HPB300,Φ14,,t,3240.0
,6,Low carbon,HPB300,Φ16,,t,3240.0
,7,Hot-rolled round,HPB300,Φ10,,t,3400.0
,8,Hot-rolled round,HPB300,Φ12,,t,3350.0
,9,Hot-rolled round,HPB300,Φ14,,t,3350.0
,10,Hot-rolled round,HPB300,Φ16,,t,3350.0
,11,Hot-rolled round,HPB300,Φ18,,t,3500.0
,12,Hot-rolled round,HPB300,Φ20,,t,3500.0
,13,Hot-rolled round,HPB300,Φ22,,t,3500.0
,14,Hot-rolled,HRB400E,Φ10,,t,3650.0
,15,Hot-rolled,HRB400E,Φ12,,t,3600.0
,16,Hot-rolled,HRB400E,Φ14,,t,3600.0
,17,Hot-rolled,HRB400E,Φ16,,t,3350.0
,18,Hot-rolled,HRB400E,Φ18,,t,3350.0
,19,Hot-rolled,HRB400E,Φ20,,t,3350.0
,20,Hot-rolled,HRB400E,Φ22,,t,3350.0
,21,Hot-rolled,HRB400E,Φ25,,t,3350.0
,22,Hot-rolled,HRB400E,Φ28,,t,3630.0
,23,Hot-rolled,HRB400E,Φ30,,t,3630.0
,24,Hot-rolled,HRB400E,Φ32,,t,3630.0
,25,Hot-rolled and above,HRB400E,Φ36,,t,3730.0
,26,Hot-rolled,HRB500E,Φ10,,t,3900.0
,27,Hot-rolled,HRB500E,Φ12,,t,3850.0
,28,Hot-rolled,HRB500E,Φ14,,t,3850.0
,29,Hot-rolled,HRB500E,Φ16,,t,3600.0
,30,Hot-rolled,HRB500E,Φ18,,t,3600.0
,31,Hot-rolled,HRB500E,Φ20,,t,3600.0
,32,Hot-rolled,HRB500E,Φ22,,t,3600.0
,33,Hot-rolled,HRB500E,Φ25,,t,3600.0
,34,Hot-rolled,HRB500E,Φ28,,t,3880.0
,35,Hot-rolled,HRB500E,Φ30,,t,3880.0
,36,Hot-rolled,HRB500E,Φ32,,t,3880.0
,37,Hot-rolled and above,HRB500E,Φ36,,t,3980.0
,38,Ribbed steel,HRB335E,Φ8,,t,3550.0
,39,-14,HRB335E,Φ10,,t,3550.0
,40,Ribbed steel,HRB400E,Φ8,,t,3800.0
,41,-14,HRB400E,Φ10,,t,3800.0
,44,Cold-rolled,,Φ5,,t,3350.0
,45,Cold-rolled,,Φ6,,t,3350.0
,46,Cold-rolled,,Φ7,,t,3350.0
,47,Cold-rolled,,Φ8,,t,3350.0
,48,Cold-rolled,,Φ9,,t,3450.0
,49,Cold-rolled,,Φ10,,t,3450.0
Sectional Materials,50,Hot-rolled I-beam I20a,,,,t,4500.0
Sectional Materials,51,Hot-rolled I-beam I25a,,,,t,4500.0
Sectional Materials,52,Hot-rolled I-beam I28a,,,,t,4500.0
Sectional Materials,53,Hot-rolled channel,Q235,,,t,4060.0
Sectional Materials,54,Hot-rolled channel,Q235,,,t,4060.0
Sectional Materials,55,Hot-rolled channel 10,Q235,,,t,4060.0
Sectional Materials,56,Hot-rolled channel 12,Q235,,,t,4060.0
Sectional Materials,57,Hot-rolled channel 16a,Q235,,,t,4060.0
Sectional Materials,58,Hot-rolled channel 20,Q235,,,t,4060.0
Sectional Materials,59,Hot-rolled channel 28a,Q235,,,t,4060.0
Sectional Materials,60,Hot-rolled unequal angle,Q235,63×40×4,,t,4000.0
Sectional Materials,61,Hot-rolled unequal angle,Q235,75×50×6,,t,4000.0
Sectional Materials,62,Hot-rolled unequal angle,Q235,80×50×6,,t,4000.0
Sectional Materials,63,Hot-rolled unequal angle,Q235,90×56×6,,t,4000.0
Sectional Materials,64,Hot-rolled unequal angle,Q235,100×60×10,,t,4000.0
Sectional Materials,65,Hot-rolled unequal angle,Q235,100×63×6,,t,4000.0
Sectional Materials,66,Hot-rolled unequal angle,Q235,100×63×8,,t,4000.0
Sectional Materials,67,Hot-rolled unequal angle,Q235,100×63×10,,t,4210.0
Sectional Materials,68,Hot-rolled unequal angle,Q235,100×75×10,,t,4210.0
Sectional Materials,69,Hot-rolled unequal angle,Q235,100×80×6,,t,4210.0
Sectional Materials,70,Hot-rolled unequal angle,Q235,100×80×7,,t,4210.0
Sectional Materials,71,Hot-rolled unequal angle,Q235,110×70×6,,t,4210.0
Sectional Materials,72,Hot-rolled unequal angle,Q235,110×70×8,,t,4410.0
Sectional Materials,73,Hot-rolled unequal angle,Q235,125×80×7,,t,4410.0
Sectional Materials,74,Hot-rolled unequal angle,Q235,125×80×8,,t,4410.0
Sectional Materials,75,Hot-rolled unequal angle,Q235,125×80×10,,t,4410.0
Sectional Materials,76,Hot-rolled unequal angle,Q235,140×90×10,,t,4410.0
Sectional Materials,77,Hot-rolled unequal angle,Q235,140×90×12,,t,4410.0
Sectional Materials,78,Hot-rolled unequal angle,Q235,160×100×10,,t,4410.0
Sectional Materials,79,Hot-rolled unequal angle,Q235,160×100×12,,t,4410.0
Sectional Materials,80,Hot-rolled unequal angle,Q235,180×110×10,,t,4410.0
Sectional Materials,81,Hot-rolled unequal angle,Q235,180×110×12,,t,4410.0
Sectional Materials,82,Hot-rolled unequal angle,Q235,200×125×12,,t,4410.0
Sectional Materials,83,Equal Angle 20,Q235,,,t,3900.0
Sectional Materials,84,Equal Angle 25,Q235,,,t,3900.0
Sectional Materials,85,Equal Angle 25,Q235,,,t,3900.0
Sectional Materials,86,Equal Angle 30,Q235,,,t,3900.0
Sectional Materials,87,Equal Angle 30,Q235,,,t,3900.0
Sectional Materials,88,Equal Angle 32,Q235,,,t,3900.0
Sectional Materials,89,Equal Angle 32,Q235,,,t,3900.0
Sectional Materials,90,Equal Angle 35,Q235,,,t,3900.0
