category,year,value
Health Consumption,2000,57.28
Non-material consumption,2000,340.06
Material Consumption,2000,982.17
Residents' savings,2000,459.92
Health Consumption,2005,142.24
Non-material consumption,2005,681.37
Material Consumption,2005,1609.74
Residents' savings,2005,641.34
Health Consumption,2010,282.46
Non-material consumption,2010,1402.31
Material Consumption,2010,2969.45
Residents' savings,2010,1548.21
Health Consumption,2013,421.73
Non-material consumption,2013,2110.95
Material Consumption,2013,4322.96
Residents' savings,2013,2689.36
Health Consumption,2014,529.77
Non-material consumption,2014,2226.86
Material Consumption,2014,4993.92
Residents' savings,2014,3168.77
Health Consumption,2015,574.84
Non-material consumption,2015,2596.19
Material Consumption,2015,5406.17
Residents' savings,2015,3521.47
Health Consumption,2016,681.63
Non-material consumption,2016,3116.24
Material Consumption,2016,6177.38
Residents' savings,2016,3450.63
Health Consumption,2017,714.7
Non-material consumption,2017,3386.4
Material Consumption,2017,6691.12
Residents' savings,2017,4065.14
