data_section,tax_level,tax_starting_point,tax_end_point,tax_rate,month_name,date,salesperson_name,sales_quantity,sales_unit_price
transaction,,1.0,0.0,3000.0,,0.03,2020-02-01 00:00:00,,
transaction,,2.0,3000.0,12000.0,,0.1,2020-03-01 00:00:00,,
transaction,,3.0,12000.0,25000.0,,0.2,2020-04-01 00:00:00,,
transaction,,4.0,25000.0,35000.0,,0.25,2020-05-01 00:00:00,,
transaction,,5.0,35000.0,55000.0,,0.3,2020-06-01 00:00:00,,
transaction,,6.0,55000.0,80000.0,,0.35,2020-07-01 00:00:00,,
transaction,,7.0,80000.0,,,0.45,2020-08-01 00:00:00,,
transaction,,,,,,,2020-09-01 00:00:00,,
transaction,,,,,,Tax Rate (%),2020-10-01 00:00:00,,
transaction,,,,5000.0,,0.1,2020-11-01 00:00:00,,
transaction,,,,,,0.1,2020-12-01 00:00:00,,
transaction,,,,,,0.2,2020-01-01 00:00:00,,
transaction,,,,,,0.25,2020-02-01 00:00:00,,
transaction,,,,,,0.3,2020-03-01 00:00:00,,
transaction,,,,,,0.3,2020-04-01 00:00:00,,
transaction,,,,,,0.1,2020-05-01 00:00:00,,
transaction,,,,,,0.03,2020-06-01 00:00:00,,
transaction,,,,,,0.1,2020-04-01 00:00:00,,
transaction,,,,,,0.2,2020-05-01 00:00:00,,
transaction,,,,,,0.2,2020-06-01 00:00:00,,
transaction,,,,,,0.35,2020-06-01 00:00:00,,
