material,unit,base_value,derived_mass_per_area
Aluminum Bronze Plate, kg/m2, 8.00, 5.99
Aluminum Bronze Plate, kg/m2, 0.01, 7.49
Aluminum Bronze Plate, kg/m2, 0.012, 8.99
Aluminum Bronze Plate, kg/m2, 1.49, 0.112
Aluminum Bronze Plate, kg/m2, 0.02, 0.14
Aluminum Bronze Plate, kg/m2, 2.99, 0.22
Aluminum Bronze Plate, kg/m2, 4.00, 0.35
Aluminum Bronze Plate, kg/m2, 5.00, 0.37
Aluminum Bronze Plate, kg/m2, 5.99, 0.45
Aluminum Bronze Plate, kg/m2, 7.00, 0.52
Aluminum Bronze Plate, kg/m2, 8.00, 0.59
Aluminum Bronze Plate, kg/m2, 8.99, 0.67
Aluminum Bronze Plate, kg/m2, 0.10, 0.75
Aluminum Bronze Plate, kg/m2, 0.12, 0.90
Aluminum Bronze Plate, kg/m2, 0.14, 1.12
Aluminum Bronze Plate, kg/m2, 0.17, 0.35
Aluminum Bronze Plate, kg/m2, 0.20, 1.5
Aluminum Bronze Plate, kg/m2, 0.22, 1.65
Aluminum Bronze Plate, kg/m2, 0.25, 1.87
Aluminum Bronze Plate, kg/m2, 0.29, 2.25
Aluminum Bronze Plate, kg/m2, 0.35, 2.62
Aluminum Bronze Plate, kg/m2, 0.40, 3
Aluminum Bronze Plate, kg/m2, 0.45, 3.37
Aluminum Bronze Plate, kg/m2, 0.5, 3.70
Aluminum Bronze Plate, kg/m2, 0.55, 4.12
Aluminum Bronze Plate, kg/m2, 0.59, 4.5
Aluminum Bronze Plate, kg/m2, 0.65, 4.87
Aluminum Bronze Plate, kg/m2, 0.70, 5.25
Aluminum Bronze Plate, kg/m2, 0.75, 5.62
Aluminum Bronze Plate, kg/m2, 0.80, 6
Aluminum Bronze Plate, kg/m2, 0.84, 6.37
Aluminum Bronze Plate, kg/m2, 0.90, 6.75
Aluminum Bronze Plate, kg/m2, 0.95, 7.12
Aluminum Bronze Plate, kg/m2, 1, 7.5
Aluminum Bronze Plate, kg/m2, 1.10, 8.25
Aluminum Bronze Plate, kg/m2, 1.2, 9
Aluminum Bronze Plate, kg/m2, 1.5, 11.25
Aluminum Bronze Plate, kg/m2, 1.8, 13.5
Aluminum Bronze Plate, kg/m2, 2, 15
Aluminum Bronze Plate, kg/m2, 2.5, 18.75
Aluminum Bronze Plate, kg/m2, 3, 22.5
Aluminum Bronze Plate, kg/m2, 3.5, 26.25
Aluminum Bronze Plate, kg/m2, 4, 30
Aluminum Bronze Plate, kg/m2, 4.5, 33.75
Aluminum Bronze Plate, kg/m2, 5, 37
Aluminum Bronze Plate, kg/m2, 5.5, 41.25
Aluminum Bronze Plate, kg/m2, 6, 45
Aluminum Bronze Plate, kg/m2, 6.5, 48.75
Aluminum Bronze Plate, kg/m2, 7, 52.5
Aluminum Bronze Plate, kg/m2, 7.5, 56.25
Aluminum Bronze Plate, kg/m2, 8, 60
Aluminum Bronze Plate, kg/m2, 9, 67.5
Aluminum Bronze Plate, kg/m2, 10, 75
Aluminum Bronze Plate, kg/m2, 11, 82.5
Aluminum Bronze Plate, kg/m2, 12, 90
