serial_number,entry_type,project_name,content_details,amount_involved,method,invoice_count,notes
1,Income,Income Item 1,Income Item,800,WeChat,,///
2,Income,Income Item 2,Income Item,801,WeChat,,///
3,Income,Income Item 3,Income Item,802,WeChat,,///
4,Income,Income Item 4,Income Item,803,WeChat,,///
5,Income,Income Item 5,Income Item,804,WeChat,,///
6,Income,Income Item 6,Income Item,805,WeChat,,///
7,Income,Income Item 7,Income Item,806,WeChat,,///
8,Income,Income Item 8,Income Item,807,WeChat,,///
9,Income,Income Item 9,Income Item,808,WeChat,,///
10,Income,Income Item 10,Income Item,809,WeChat,,///
11,Income,Income Item 11,Income Item,810,WeChat,,///
12,Income,Income Item 12,Income Item,811,WeChat,,///
1,Expenditure,Expenditure Item 1,Expenditure Item,600,Bank card,1.0,///
2,Expenditure,Expenditure Item 2,Expenditure Item,601,Bank card,2.0,///
3,Expenditure,Expenditure Item 3,Expenditure Item,602,Bank card,3.0,///
4,Expenditure,Expenditure Item 4,Expenditure Item,603,Bank card,4.0,///
5,Expenditure,Expenditure Item 5,Expenditure Item,604,Bank card,5.0,///
6,Expenditure,Expenditure Item 6,Expenditure Item,605,Bank card,6.0,///
7,Expenditure,Expenditure Item 7,Expenditure Item,606,Bank card,7.0,///
8,Expenditure,Expenditure Item 8,Expenditure Item,607,Bank card,8.0,///
9,Expenditure,Expenditure Item 9,Expenditure Item,608,Bank card,9.0,///
10,Expenditure,Expenditure Item 10,Expenditure Item,609,Bank card,10.0,///
11,Expenditure,Expenditure Item 11,Expenditure Item,610,Bank card,11.0,///
12,Expenditure,Expenditure Item 12,Expenditure Item,611,Bank card,12.0,///
