pile_section,pile_number,side,measurement_type,value
Left Side,K0+000,Left,Reading,21.0
Left Side,K0+000,Right,Reading,12.0
Left Side,K0+000,Left,Deflection,42.0
Left Side,K0+000,Right,Deflection,24.0
Right Section,K1+600,Left,Reading,15.0
Right Section,K1+600,Right,Reading,12.0
Right Section,K1+600,Left,Deflection,30.0
Right Section,K1+600,Right,Deflection,24.0
Left Side,K0+050,Left,Reading,35.0
Left Side,K0+050,Right,Reading,37.0
Left Side,K0+050,Left,Deflection,70.0
Left Side,K0+050,Right,Deflection,74.0
Right Section,K1+650,Left,Reading,14.0
Right Section,K1+650,Right,Reading,8.0
Right Section,K1+650,Left,Deflection,28.0
Right Section,K1+650,Right,Deflection,16.0
Left Side,K0+100,Left,Reading,16.0
Left Side,K0+100,Right,Reading,7.0
Left Side,K0+100,Left,Deflection,32.0
Left Side,K0+100,Right,Deflection,14.0
Right Section,K1+700,Left,Reading,16.0
Right Section,K1+700,Right,Reading,13.0
Right Section,K1+700,Left,Deflection,32.0
Right Section,K1+700,Right,Deflection,26.0
Left Side,K0+150,Left,Reading,12.0
Left Side,K0+150,Right,Reading,13.0
Left Side,K0+150,Left,Deflection,24.0
Left Side,K0+150,Right,Deflection,26.0
Right Section,K2+000,Left,Reading,11.0
Right Section,K2+000,Right,Reading,15.0
Right Section,K2+000,Left,Deflection,22.0
Right Section,K2+000,Right,Deflection,30.0
Left Side,K0+200,Left,Reading,20.0
Left Side,K0+200,Right,Reading,15.0
Left Side,K0+200,Left,Deflection,40.0
Left Side,K0+200,Right,Deflection,30.0
Right Section,K2+050,Left,Reading,2.0
Right Section,K2+050,Right,Reading,3.0
Right Section,K2+050,Left,Deflection,4.0
Right Section,K2+050,Right,Deflection,6.0
Left Side,K0+250,Left,Reading,18.0
Left Side,K0+250,Right,Reading,17.0
Left Side,K0+250,Left,Deflection,36.0
Left Side,K0+250,Right,Deflection,34.0
Right Section,K2+100,Left,Reading,3.0
Right Section,K2+100,Right,Reading,20.0
Right Section,K2+100,Left,Deflection,6.0
Right Section,K2+100,Right,Deflection,40.0
Left Side,K0+300,Left,Reading,29.0
Left Side,K0+300,Right,Reading,30.0
Left Side,K0+300,Left,Deflection,58.0
Left Side,K0+300,Right,Deflection,60.0
Right Section,K2+150,Left,Reading,29.0
Right Section,K2+150,Right,Reading,17.0
Right Section,K2+150,Left,Deflection,58.0
Right Section,K2+150,Right,Deflection,34.0
Left Side,K0+350,Left,Reading,22.0
Left Side,K0+350,Right,Reading,20.0
Left Side,K0+350,Left,Deflection,44.0
Left Side,K0+350,Right,Deflection,40.0
Right Section,K2+200,Left,Reading,19.0
Right Section,K2+200,Right,Reading,20.0
Right Section,K2+200,Left,Deflection,38.0
Right Section,K2+200,Right,Deflection,40.0
Left Side,K0+400,Left,Reading,21.0
Left Side,K0+400,Right,Reading,21.0
Left Side,K0+400,Left,Deflection,42.0
Left Side,K0+400,Right,Deflection,42.0
Right Section,K2+250,Left,Reading,21.0
Right Section,K2+250,Right,Reading,11.0
Right Section,K2+250,Left,Deflection,42.0
Right Section,K2+250,Right,Deflection,22.0
Left Side,K0+450,Left,Reading,21.0
Left Side,K0+450,Right,Reading,20.0
Left Side,K0+450,Left,Deflection,42.0
