improvement_type,step,value
Accuracy Improvement,1,6619
Accuracy Improvement,1,4414
Accuracy Improvement,2,1658
Accuracy Improvement,2,2637
Accuracy Improvement,3,2154
Accuracy Improvement,3,2140
Accuracy Improvement,4,804
Accuracy Improvement,4,753
Accuracy Improvement,5,3092
Accuracy Improvement,5,1443
Accuracy Improvement,6,597
Accuracy Improvement,6,1335
Accuracy Improvement,7,1475
Accuracy Improvement,7,606
Accuracy Improvement,8,71
Accuracy Improvement,8,29
Accuracy Improvement,9,6
Accuracy Improvement,9,14
Convenience Improvement,1,15081
Convenience Improvement,2,15562
Convenience Improvement,3,16054
Convenience Improvement,4,7963
Convenience Improvement,5,6384
Convenience Improvement,6,1012
Convenience Improvement,7,1028
Convenience Improvement,8,363
Convenience Improvement,9,31
Cost Reduction,1,12050
Cost Reduction,2,15743
Cost Reduction,3,11048
Cost Reduction,4,4407
Cost Reduction,5,3613
Cost Reduction,6,1906
Cost Reduction,7,769
Cost Reduction,8,182
Cost Reduction,9,136
Efficiency improvement,1,14801
Efficiency improvement,2,15549
Efficiency improvement,3,12418
Efficiency improvement,4,5424
Efficiency improvement,5,3550
Efficiency improvement,6,1210
Efficiency improvement,7,1676
Efficiency improvement,8,197
Efficiency improvement,9,156
Reliability Improvement,1,8318
Reliability Improvement,2,8033
Reliability Improvement,3,8198
Reliability Improvement,4,2464
Reliability Improvement,5,2750
Reliability Improvement,6,1227
Reliability Improvement,7,497
Reliability Improvement,8,107
Reliability Improvement,9,30
Safety Improvement,1,12785
Safety Improvement,2,10429
Safety Improvement,3,13331
Safety Improvement,4,4341
Safety Improvement,5,5478
Safety Improvement,6,699
Safety Improvement,7,608
Safety Improvement,8,188
Safety Improvement,9,28
Speed improvement,1,9398
Speed improvement,2,7642
Speed improvement,3,7150
Speed improvement,4,3570
Speed improvement,5,2879
Speed improvement,6,1264
Speed improvement,7,888
Speed improvement,8,164
Speed improvement,9,52
Stability Improvement,1,7513
Stability Improvement,2,14930
Stability Improvement,3,13006
Stability Improvement,4,5204
Stability Improvement,5,2537
Stability Improvement,6,2269
Stability Improvement,7,290
Stability Improvement,8,181
Stability Improvement,9,134
