region,gender,education_level,count
Beijing,Male,Never attended school,877
Beijing,Male,Preschool education,75
Beijing,Male,Primary School,18986
Beijing,Male,Junior high school,140057
Beijing,Male,High School,101785
Beijing,Male,College (Associate Degree),101386
Beijing,Male,Bachelor's degree,165242
Beijing,Male,Master's,49293
Beijing,Male,Doctorate,9708
Tianjin,Male,Never attended school,753
Tianjin,Male,Preschool education,41
Tianjin,Male,Primary School,21968
Tianjin,Male,Junior high school,111769
Tianjin,Male,High School,54775
Tianjin,Male,College (Associate Degree),46775
Tianjin,Male,Bachelor's degree,62591
Tianjin,Male,Master's,8388
Tianjin,Male,Doctorate,1158
Hebei,Male,Never attended school,5694
Hebei,Male,Preschool education,416
Hebei,Male,Primary School,237338
Hebei,Male,Junior high school,1097390
Hebei,Male,High School,321021
Hebei,Male,College (Associate Degree),194779
Hebei,Male,Bachelor's degree,124853
Hebei,Male,Master's,9209
Hebei,Male,Doctorate,902
Shanxi,Male,Never attended school,2939
Shanxi,Male,Preschool education,200
Shanxi,Male,Primary School,89228
Shanxi,Male,Junior high school,458744
Shanxi,Male,High School,179122
Shanxi,Male,College (Associate Degree),122804
Shanxi,Male,Bachelor's degree,81618
Shanxi,Male,Master's,5731
Shanxi,Male,Doctorate,711
Inner Mongolia,Male,Never attended school,5031
Inner Mongolia,Male,Preschool education,81
Inner Mongolia,Male,Primary School,94207
Inner Mongolia,Male,Junior high school,266237
Inner Mongolia,Male,High School,108063
Inner Mongolia,Male,College (Associate Degree),94957
Inner Mongolia,Male,Bachelor's degree,72417
Inner Mongolia,Male,Master's,4915
Inner Mongolia,Male,Doctorate,441
Liaoning,Male,Never attended school,1985
Liaoning,Male,Preschool education,126
Liaoning,Male,Primary School,123631
Liaoning,Male,Junior high school,521676
Liaoning,Male,High School,162266
Liaoning,Male,College (Associate Degree),129054
Liaoning,Male,Bachelor's degree,123666
Liaoning,Male,Master's,11381
Liaoning,Male,Doctorate,1404
Jilin,Male,Never attended school,2141
Jilin,Male,Preschool education,81
Jilin,Male,Primary School,96465
Jilin,Male,Junior high school,261765
Jilin,Male,High School,100057
Jilin,Male,College (Associate Degree),62179
Jilin,Male,Bachelor's degree,63812
Jilin,Male,Master's,5803
Jilin,Male,Doctorate,942
Heilongjiang,Male,Never attended school,2620
Heilongjiang,Male,Preschool education,196
Heilongjiang,Male,Primary School,110735
Heilongjiang,Male,Junior high school,371039
Heilongjiang,Male,High School,127033
Heilongjiang,Male,College (Associate Degree),81136
Heilongjiang,Male,Bachelor's degree,69305
Heilongjiang,Male,Master's,4969
Heilongjiang,Male,Doctorate,827
Shanghai,Male,Never attended school,2149
Shanghai,Male,Preschool education,131
Shanghai,Male,Primary School,40768
Shanghai,Male,Junior high school,228249
Shanghai,Male,High School,137913
Shanghai,Male,College (Associate Degree),119490
Shanghai,Male,Bachelor's degree,168374
Shanghai,Male,Master's,40700
Shanghai,Male,Doctorate,6073
Jiangsu,Male,Never attended school,10882
Jiangsu,Male,Preschool education,1001
Jiangsu,Male,Primary School,253137
Jiangsu,Male,Junior high school,998966
Jiangsu,Male,High School,498390
Jiangsu,Male,College (Associate Degree),336176
Jiangsu,Male,Bachelor's degree,267640
Jiangsu,Male,Master's,30516
Jiangsu,Male,Doctorate,4484
Zhejiang,Male,Never attended school,15436
Zhejiang,Male,Preschool education,1172
Zhejiang,Male,Primary School,377234
Zhejiang,Male,Junior high school,942739
Zhejiang,Male,High School,388738
Zhejiang,Male,College (Associate Degree),235997
Zhejiang,Male,Bachelor's degree,203634
Zhejiang,Male,Master's,20978
Zhejiang,Male,Doctorate,2886
Anhui,Male,Never attended school,22014
Anhui,Male,Preschool education,916
Anhui,Male,Primary School,272351
Anhui,Male,Junior high school,784611
Anhui,Male,High School,281655
Anhui,Male,College (Associate Degree),177155
Anhui,Male,Bachelor's degree,129791
Anhui,Male,Master's,12387
Anhui,Male,Doctorate,1621
Fujian,Male,Never attended school,6096
Fujian,Male,Preschool education,578
Fujian,Male,Primary School,208101
Fujian,Male,Junior high school,536812
Fujian,Male,High School,219830
Fujian,Male,College (Associate Degree),118912
Fujian,Male,Bachelor's degree,112130
Fujian,Male,Master's,8215
Fujian,Male,Doctorate,1280
Jiangxi,Male,Never attended school,4786
Jiangxi,Male,Preschool education,408
Jiangxi,Male,Primary School,197051
Jiangxi,Male,Junior high school,660969
Jiangxi,Male,High School,254134
Jiangxi,Male,College (Associate Degree),124215
Jiangxi,Male,Bachelor's degree,83321
Jiangxi,Male,Master's,6260
Jiangxi,Male,Doctorate,975
Shandong,Male,Never attended school,22185
Shandong,Male,Preschool education,1058
Shandong,Male,Primary School,358225
Shandong,Male,Junior high school,1345533
Shandong,Male,High School,515999
Shandong,Male,College (Associate Degree),312013
Shandong,Male,Bachelor's degree,230039
Shandong,Male,Master's,22341
Shandong,Male,Doctorate,2992
Henan,Male,Never attended school,16005
Henan,Male,Preschool education,1096
Henan,Male,Primary School,295660
Henan,Male,Junior high school,1242294
Henan,Male,High School,465867
Henan,Male,College (Associate Degree),232852
Henan,Male,Bachelor's degree,141538
Henan,Male,Master's,11991
Henan,Male,Doctorate,1764
Hubei,Male,Never attended school,6813
Hubei,Male,Preschool education,762
Hubei,Male,Primary School,231162
Hubei,Male,Junior high school,813091
Hubei,Male,High School,395630
Hubei,Male,College (Associate Degree),200310
Hubei,Male,Bachelor's degree,139992
Hubei,Male,Master's,16429
Hubei,Male,Doctorate,3116
Hunan,Male,Never attended school,5678
Hunan,Male,Preschool education,942
Hunan,Male,Primary School,218460
Hunan,Male,Junior high school,859094
Hunan,Male,High School,436216
