age_group,gender,education_level,education_group,count
16-19 years old,Male,,,623
20-24 years old,Male,,,2285
25-29 years old,Male,,,4349
30-34 years old,Male,,,8467
35-39 years old,Male,,,10926
40-44 years old,Male,,,15742
45-49 years old,Male,,,26429
50-54 years old,Male,,,35349
55-59 years old,Male,,,29550
60-64 years old,Male,,,34408
65-69 years old,Male,,,44679
70-74 years old,Male,,,29903
75 years and above,Male,,,25098
16-19 years old,Female,,,568
20-24 years old,Female,,,2386
25-29 years old,Female,,,4886
30-34 years old,Female,,,10739
35-39 years old,Female,,,16728
40-44 years old,Female,,,29915
45-49 years old,Female,,,59307
50-54 years old,Female,,,84118
55-59 years old,Female,,,82269
60-64 years old,Female,,,86255
65-69 years old,Female,,,107089
70-74 years old,Female,,,60259
75 years and above,Female,,,45279
16-19 years old,Male,,,236
20-24 years old,Male,,,428
25-29 years old,Male,,,540
30-34 years old,Male,,,757
35-39 years old,Male,,,634
40-44 years old,Male,,,700
45-49 years old,Male,,,1231
50-54 years old,Male,,,1860
55-59 years old,Male,,,1703
60-64 years old,Male,,,1808
65-69 years old,Male,,,2399
70-74 years old,Male,,,1689
75 years and above,Male,,,1449
16-19 years old,Female,,,224
20-24 years old,Female,,,393
25-29 years old,Female,,,479
30-34 years old,Female,,,704
35-39 years old,Female,,,610
40-44 years old,Female,,,918
45-49 years old,Female,,,1788
50-54 years old,Female,,,2865
55-59 years old,Female,,,2854
60-64 years old,Female,,,3181
65-69 years old,Female,,,4063
70-74 years old,Female,,,2406
75 years and above,Female,,,1837
16-19 years old,Male,,,16803
20-24 years old,Male,,,57977
25-29 years old,Male,,,117697
30-34 years old,Male,,,240003
35-39 years old,Male,,,270088
40-44 years old,Male,,,427652
45-49 years old,Male,,,785914
50-54 years old,Male,,,1103485
55-59 years old,Male,,,837667
60-64 years old,Male,,,617785
65-69 years old,Male,,,663432
70-74 years old,Male,,,344555
75 years and above,Male,,,176849
16-19 years old,Female,,,10937
20-24 years old,Female,,,38083
25-29 years old,Female,,,80646
30-34 years old,Female,,,191106
35-39 years old,Female,,,252032
40-44 years old,Female,,,446452
45-49 years old,Female,,,843138
50-54 years old,Female,,,1056689
55-59 years old,Female,,,780430
60-64 years old,Female,,,515907
65-69 years old,Female,,,498011
70-74 years old,Female,,,217768
75 years and above,Female,,,103773
16-19 years old,Male,,,259787
20-24 years old,Male,,,816122
25-29 years old,Male,,,1439437
30-34 years old,Male,,,2352849
35-39 years old,Male,,,2112565
40-44 years old,Male,,,2115964
45-49 years old,Male,,,2692768
50-54 years old,Male,,,2656211
55-59 years old,Male,,,1779501
60-64 years old,Male,,,681085
65-69 years old,Male,,,429385
70-74 years old,Male,,,138839
75 years and above,Male,,,54516
16-19 years old,Female,,,136214
20-24 years old,Female,,,440747
25-29 years old,Female,,,829449
30-34 years old,Female,,,1547188
35-39 years old,Female,,,1466935
40-44 years old,Female,,,1518794
45-49 years old,Female,,,1867925
50-54 years old,Female,,,1427547
55-59 years old,Female,,,782840
60-64 years old,Female,,,253551
65-69 years old,Female,,,135854
70-74 years old,Female,,,38080
75 years and above,Female,,,14313
16-19 years old,Male,,,162196
20-24 years old,Male,,,585953
25-29 years old,Male,,,933095
30-34 years old,Male,,,1267310
35-39 years old,Male,,,902061
40-44 years old,Male,,,822580
45-49 years old,Male,,,842314
50-54 years old,Male,,,696750
55-59 years old,Male,,,623247
60-64 years old,Male,,,202499
65-69 years old,Male,,,78978
70-74 years old,Male,,,18825
75 years and above,Male,,,9002
16-19 years old,Female,,,100339
20-24 years old,Female,,,350160
25-29 years old,Female,,,544459
30-34 years old,Female,,,794890
35-39 years old,Female,,,594431
40-44 years old,Female,,,551987
45-49 years old,Female,,,524046
50-54 years old,Female,,,254009
55-59 years old,Female,,,139187
60-64 years old,Female,,,50229
65-69 years old,Female,,,15684
70-74 years old,Female,,,3705
75 years and above,Female,,,2032
16-19 years old,Male,,,35659
20-24 years old,Male,,,499329
25-29 years old,Male,,,810100
30-34 years old,Male,,,972207
35-39 years old,Male,,,625818
40-44 years old,Male,,,457357
45-49 years old,Male,,,407775
50-54 years old,Male,,,291973
55-59 years old,Male,,,205506
60-64 years old,Male,,,19255
65-69 years old,Male,,,8593
70-74 years old,Male,,,3081
75 years and above,Male,,,1954
16-19 years old,Female,,,33327
20-24 years old,Female,,,491034
25-29 years old,Female,,,679870
30-34 years old,Female,,,771042
35-39 years old,Female,,,490317
40-44 years old,Female,,,358395
45-49 years old,Female,,,288362
50-54 years old,Female,,,135151
55-59 years old,Female,,,31024
60-64 years old,Female,,,4987
65-69 years old,Female,,,2350
70-74 years old,Female,,,708
75 years and above,Female,,,528
16-19 years old,Male,,,6683
20-24 years old,Male,,,252094
25-29 years old,Male,,,665393
30-34 years old,Male,,,835279
35-39 years old,Male,,,630781
40-44 years old,Male,,,391651
45-49 years old,Male,,,316362
50-54 years old,Male,,,229950
55-59 years old,Male,,,148755
60-64 years old,Male,,,8349
65-69 years old,Male,,,3146
70-74 years old,Male,,,1001
75 years and above,Male,,,987
16-19 years old,Female,,,7262
20-24 years old,Female,,,308665
25-29 years old,Female,,,714728
30-34 years old,Female,,,786017
35-39 years old,Female,,,540009
40-44 years old,Female,,,321328
45-49 years old,Female,,,220272
50-54 years old,Female,,,118991
55-59 years old,Female,,,26839
60-64 years old,Female,,,2154
65-69 years old,Female,,,975
70-74 years old,Female,,,290
75 years and above,Female,,,292
16-19 years old,Male,,,45
20-24 years old,Male,,,5665
25-29 years old,Male,,,63269
30-34 years old,Male,,,98426
35-39 years old,Male,,,84811
40-44 years old,Male,,,52074
45-49 years old,Male,,,34101
50-54 years old,Male,,,22028
55-59 years old,Male,,,15638
60-64 years old,Male,,,1084
65-69 years old,Male,,,314
70-74 years old,Male,,,80
75 years and above,Male,,,60
16-19 years old,Female,,,41
20-24 years old,Female,,,9236
25-29 years old,Female,,,85860
30-34 years old,Female,,,111313
35-39 years old,Female,,,77158
40-44 years old,Female,,,36680
45-49 years old,Female,,,18159
50-54 years old,Female,,,8977
55-59 years old,Female,,,3114
60-64 years old,Female,,,229
65-69 years old,Female,,,85
70-74 years old,Female,,,24
75 years and above,Female,,,14
16-19 years old,Male,,,12
20-24 years old,Male,,,274
25-29 years old,Male,,,3613
30-34 years old,Male,,,12417
35-39 years old,Male,,,13147
40-44 years old,Male,,,10518
45-49 years old,Male,,,7242
50-54 years old,Male,,,5007
55-59 years old,Male,,,4198
60-64 years old,Male,,,600
65-69 years old,Male,,,106
70-74 years old,Male,,,22
75 years and above,Male,,,21
16-19 years old,Female,,,2
20-24 years old,Female,,,242
25-29 years old,Female,,,3224
30-34 years old,Female,,,8570
35-39 years old,Female,,,8521
40-44 years old,Female,,,6380
45-49 years old,Female,,,3784
50-54 years old,Female,,,1792
55-59 years old,Female,,,864
60-64 years old,Female,,,83
65-69 years old,Female,,,27
70-74 years old,Female,,,1
75 years and above,Female,,,4
