timestamp,value_1,value_2,value_3,value_4,value_5
2024-05-30 12:52:29,19.83,8.81,0.44,22.14,9.84
2024-05-30 10:26:26,32.8,24.85,0.76,25.15,19.05
2024-05-30 00:13:42,37.14,37.3,1.0,47.04,47.25
2024-05-29 17:34:29,33.4,25.81,0.77,25.05,19.36
2024-05-29 15:45:10,39.47,46.75,1.18,31.58,37.4
2024-05-29 15:29:51,34.4,36.43,1.06,34.4,36.43
2024-05-29 15:04:19,37.04,40.46,1.09,39.51,43.16
2024-05-29 14:40:29,34.31,38.7,1.13,44.03,49.67
2024-05-29 13:52:59,32.8,35.15,1.07,25.15,26.95
2024-05-29 13:30:35,35.38,40.1,1.13,37.74,42.77
2024-05-29 13:20:56,40.13,44.54,1.11,28.76,31.92
2024-05-29 13:02:17,39.6,37.47,0.95,28.38,26.85
2024-05-29 10:28:46,32.11,32.72,1.02,25.15,25.63
2024-05-29 10:10:43,20.2,2.85,0.14,16.16,2.28
2024-05-29 10:01:35,31.14,23.9,0.77,24.91,19.12
2024-05-28 14:06:05,37.6,43.33,1.15,44.49,51.27
2024-05-28 13:46:20,40.22,45.67,1.14,18.1,20.55
2024-05-28 13:07:42,32.8,35.96,1.1,25.15,27.57
2024-05-28 13:02:44,32.8,35.03,1.07,25.15,26.86
2024-05-28 12:55:09,33.55,36.67,1.09,25.16,27.5
2024-05-28 12:53:32,32.11,34.25,1.07,25.15,26.83
2024-05-28 12:46:26,32.82,35.49,1.08,25.16,27.21
2024-05-28 12:27:44,37.79,41.69,1.1,27.08,29.88
2024-05-28 12:24:58,22.19,18.07,0.81,25.15,20.48
2024-05-28 12:18:41,28.4,26.98,0.95,31.71,30.13
2024-05-28 11:55:56,34.84,36.89,1.06,37.74,39.96
2024-05-28 11:33:16,36.5,38.39,1.05,30.42,31.99
2024-05-28 11:20:45,38.02,40.49,1.06,44.36,47.24
2024-05-28 11:12:59,37.5,40.06,1.07,38.12,40.73
2024-05-28 10:36:15,38.8,40.03,1.03,29.1,30.02
2024-05-28 10:25:24,33.97,35.2,1.04,62.85,65.12
2024-05-28 10:13:30,33.11,33.88,1.02,31.45,32.19
2024-05-28 07:56:12,39.31,37.97,0.97,51.76,49.99
2024-05-28 07:32:51,31.44,29.48,0.94,25.15,23.58
2024-05-28 07:28:26,31.43,28.23,0.9,18.86,16.94
2024-05-28 07:13:54,27.83,24.48,0.88,15.77,13.87
2024-05-28 07:09:46,31.44,28.01,0.89,25.15,22.41
2024-05-28 06:41:05,37.22,34.98,0.94,34.74,32.65
2024-05-28 06:30:44,38.6,35.0,0.91,45.03,40.83
2024-05-28 05:25:34,17.12,4.13,0.24,18.26,4.41
2024-05-27 22:33:04,39.27,35.15,0.89,41.89,37.49
2024-05-27 21:33:32,38.01,34.59,0.91,58.91,53.62
2024-05-27 21:22:54,33.53,34.69,1.03,25.15,26.02
2024-05-27 21:19:04,33.53,34.92,1.04,25.15,26.19
2024-05-27 21:15:13,35.36,36.18,1.02,37.72,38.59
2024-05-27 21:03:52,32.33,33.7,1.04,18.86,19.66
2024-05-27 20:53:19,34.81,35.93,1.03,30.17,31.14
2024-05-27 20:41:46,33.52,31.23,0.93,25.14,23.42
2024-05-27 19:58:31,30.97,27.4,0.88,35.62,31.51
2024-05-27 19:32:07,33.51,31.45,0.94,25.13,23.59
2024-05-27 10:36:46,21.55,14.85,0.69,25.14,17.33
2024-05-27 10:23:34,31.44,20.78,0.66,25.15,16.62
2024-05-27 10:17:51,36.32,25.73,0.71,15.74,11.15
2024-05-27 10:02:26,32.06,31.37,0.98,25.11,24.57
2024-05-27 10:00:21,37.93,36.63,0.97,48.04,46.4
2024-05-27 09:57:50,32.82,34.57,1.05,25.16,26.5
2024-05-27 09:53:03,36.58,38.0,1.04,35.36,36.73
2024-05-27 09:45:02,34.3,34.95,1.02,37.73,38.45
2024-05-27 09:39:56,32.74,31.18,0.95,37.65,35.86
