row_id,transaction_instance,date,amount,payment_method
2,1,2023/2/1,1400.0,Online Banking
2,2,2023/2/1,700.0,Cash
3,1,2023/3/1,2100.0,Other
3,2,2023/3/1,600.0,Other
4,1,2023/4/1,2500.0,Online Banking
4,2,2023/4/1,500.0,Online Banking
5,1,2023/5/1,2700.0,Cash
5,2,2023/5/1,400.0,Cash
6,1,2023/6/1,1900.0,Online Banking
6,2,2023/6/1,750.0,Cash
7,1,2023/7/1,1600.0,Other
7,2,2023/7/1,850.0,Other
8,1,2023/8/1,1700.0,Online Banking
8,2,2023/8/1,550.0,Online Banking
9,1,2023/9/1,2200.0,Cash
9,2,2023/9/1,950.0,Cash
10,1,2023/10/1,2400.0,Online Banking
10,2,2023/10/1,1000.0,Cash
11,1,2023/11/1,2900.0,Other
11,2,2023/11/1,1200.0,Other
12,1,2023/12/1,3000.0,Online Banking
12,2,2023/12/1,1400.0,Online Banking
13,1,2024/1/1,2828.79,Cash
13,2,2024/1/1,1187.88,Cash
14,1,2024/2/1,2935.78,Online Banking
14,2,2024/2/1,1246.27,Cash
15,1,2024/3/1,3042.77,Other
15,2,2024/3/1,1304.66,Other
16,1,2024/4/1,3149.77,Online Banking
16,2,2024/4/1,1363.05,Online Banking
17,1,2024/5/1,3256.76,Cash
17,2,2024/5/1,1421.45,Cash
18,1,2024/6/1,3363.75,Online Banking
18,2,2024/6/1,1479.84,Cash
19,1,2024/7/1,,Other
19,2,2024/7/1,153823.0,Other
