country_or_region_cn,country_or_region_en,year,gni_per_capita
World,World,1990,4080.0
High-income countries,High Income,1990,18375.0
OECD High-Income Countries,High Income: OECD,1990,19059.0
Non-OECD High-Income Countries,High Income: nonOECD,1990,8538.0
Middle-income countries,Middle Income,1990,892.0
Lower-middle-income countries,Lower Middle Income,1990,520.0
Upper-middle-income countries,Upper Middle Income,1990,1207.0
Lower-middle-income countries,Low and Middle Income,1990,820.0
East Asia and Pacific,East Asia and Pacific,1990,425.0
Latin America and the Caribbean,Latin America and Caribbean,1990,2254.0
Middle East and North African Countries,Middle East and North Africa,1990,1296.0
South Asia,South Asia,1990,377.0
Sub-Saharan Africa,Sub-Saharan Africa,1990,587.0
Low-income countries,Low Income,1990,287.0
Least developed regions,Least Developed Countries,1990,310.0
Heavily Indebted Poor Countries,Heavily Indebted Poor Countries,1990,358.0
China,China,1990,330.0
"Hong Kong, China","Hong Kong, China",1990,12660.0
"Macau, China","Macao, China",1990,8530.0
Albania,Albania,1990,680.0
Algeria,Algeria,1990,2420.0
Angola,Angola,1990,740.0
Antigua and Barbuda,Antigua and Barbuda,1990,5710.0
Argentina,Argentina,1990,3180.0
Australia,Australia,1990,17420.0
Austria,Austria,1990,20080.0
Bahamas,Bahamas,1990,12000.0
Bahrain,Bahrain,1990,7260.0
Bangladesh,Bangladesh,1990,290.0
Barbados,Barbados,1990,6570.0
Belgium,Belgium,1990,18960.0
Belize,Belize,1990,2210.0
Benin,Benin,1990,360.0
Bhutan,Bhutan,1990,580.0
Bolivia,Bolivia,1990,740.0
Botswana,Botswana,1990,2540.0
Brazil,Brazil,1990,2700.0
Brunei,Brunei Darussalam,1990,12790.0
Bulgaria,Bulgaria,1990,2260.0
Burkina Faso,Burkina Faso,1990,310.0
Burundi,Burundi,1990,210.0
Cameroon,Cameroon,1990,910.0
Canada,Canada,1990,20150.0
The Cape Verde Islands,Cape Verde,1990,960.0
China - Africa,Central African Rep.,1990,470.0
Zha De,Chad,1990,260.0
Chile,Chile,1990,2250.0
Colombia,Colombia,1990,1260.0
Comoros,Comoros,1990,530.0
Democratic Republic of the Congo,"Congo, Dem. Rep.",1990,230.0
Congo (Brazzaville),"Congo, Rep.",1990,910.0
Costa Rica,Costa Rica,1990,2340.0
Côte d'Ivoire,Cote D'Ivoire,1990,740.0
Cuba,Cuba,1990,2660.0
Cyprus,Cyprus,1990,9510.0
Denmark,Denmark,1990,24120.0
Dominica,Dominica,1990,2300.0
Dominica,Dominican Rep.,1990,870.0
Ecuador,Ecuador,1990,900.0
Egypt,Egypt,1990,750.0
El Salvador,El Salvador,1990,890.0
Equatorial Guinea,Equatorial Guinea,1990,330.0
Estonia,Estonia,1990,3190.0
Ethiopia,Ethiopia,1990,250.0
Fiji,Fiji,1990,1790.0
Finland,Finland,1990,25220.0
France,France,1990,20160.0
