region,period,metric_type,value
Zhuzhou City,5567,165,112
Zhuzhou City,5567,429,280
Zhuzhou City,5567,9568,9437
Zhuzhou City,3993,371,87
Zhuzhou City,3993,726,230
Zhuzhou City,3993,16244,6989
Zhuzhou City,8289,292,259
Zhuzhou City,8289,765,833
Zhuzhou City,8289,21469,23483
Zhuzhou City,20612,1772,859
Zhuzhou City,20612,4770,2303
Zhuzhou City,20612,137344,74600
Zhuzhou City,53744,4561,2691
Zhuzhou City,53744,13850,10113
Zhuzhou City,53744,415908,330263
Zhuzhou City,70264,8079,4583
Zhuzhou City,70264,32570,20020
Zhuzhou City,70264,1012998,699126
Zhuzhou City,33994,3839,2373
Zhuzhou City,33994,17006,11107
Zhuzhou City,33994,524068,400666
Xiangtan City,5567,165,172
Xiangtan City,5567,429,418
Xiangtan City,5567,9568,8391
Xiangtan City,3993,371,132
Xiangtan City,3993,726,244
Xiangtan City,3993,16244,5738
Xiangtan City,8289,292,319
Xiangtan City,8289,765,763
Xiangtan City,8289,21469,22199
Xiangtan City,20612,1772,968
Xiangtan City,20612,4770,2562
Xiangtan City,20612,137344,72008
Xiangtan City,53744,4561,2373
Xiangtan City,53744,13850,7308
Xiangtan City,53744,415908,234286
Xiangtan City,70264,8079,4372
Xiangtan City,70264,32570,17953
Xiangtan City,70264,1012998,581195
Xiangtan City,33994,3839,1514
Xiangtan City,33994,17006,7023
Xiangtan City,33994,524068,225055
Hengyang City,5567,165,331
Hengyang City,5567,429,633
Hengyang City,5567,9568,17280
Hengyang City,3993,371,324
Hengyang City,3993,726,676
Hengyang City,3993,16244,18722
Hengyang City,8289,292,734
Hengyang City,8289,765,1632
Hengyang City,8289,21469,46217
Hengyang City,20612,1772,1856
Hengyang City,20612,4770,4626
Hengyang City,20612,137344,138245
Hengyang City,53744,4561,4492
Hengyang City,53744,13850,14309
Hengyang City,53744,415908,469466
Hengyang City,70264,8079,8960
Hengyang City,70264,32570,33921
Hengyang City,70264,1012998,1123511
Hengyang City,33994,3839,3744
Hengyang City,33994,17006,16023
Hengyang City,33994,524068,549543
Shaoyang City,5567,165,857
Shaoyang City,5567,429,1882
Shaoyang City,5567,9568,52509
Shaoyang City,3993,371,657
Shaoyang City,3993,726,1665
Shaoyang City,3993,16244,48587
Shaoyang City,8289,292,1142
Shaoyang City,8289,765,2775
Shaoyang City,8289,21469,86007
Shaoyang City,20612,1772,2587
Shaoyang City,20612,4770,6493
Shaoyang City,20612,137344,199188
Shaoyang City,53744,4561,5995
Shaoyang City,53744,13850,17555
Shaoyang City,53744,415908,555619
Shaoyang City,70264,8079,6092
Shaoyang City,70264,32570,20604
Shaoyang City,70264,1012998,692922
Shaoyang City,33994,3839,3588
Shaoyang City,33994,17006,13632
Shaoyang City,33994,524068,488876
Yueyang City,5567,165,236
Yueyang City,5567,429,716
Yueyang City,5567,9568,17647
Yueyang City,3993,371,122
Yueyang City,3993,726,387
Yueyang City,3993,16244,10259
Yueyang City,8289,292,312
Yueyang City,8289,765,931
Yueyang City,8289,21469,27453
Yueyang City,20612,1772,1274
Yueyang City,20612,4770,3983
Yueyang City,20612,137344,107477
Yueyang City,53744,4561,3963
Yueyang City,53744,13850,12681
Yueyang City,53744,415908,387900
Yueyang City,70264,8079,6177
Yueyang City,70264,32570,23147
Yueyang City,70264,1012998,706919
Yueyang City,33994,3839,2775
Yueyang City,33994,17006,12040
Yueyang City,33994,524068,373343
Changde City,5567,165,102
Changde City,5567,429,219
Changde City,5567,9568,8364
Changde City,3993,371,163
Changde City,3993,726,387
Changde City,3993,16244,13227
Changde City,8289,292,305
Changde City,8289,765,704
Changde City,8289,21469,26013
Changde City,20612,1772,1340
Changde City,20612,4770,3266
Changde City,20612,137344,113770
Changde City,53744,4561,5892
Changde City,53744,13850,15669
Changde City,53744,415908,590877
Changde City,70264,8079,7393
Changde City,70264,32570,22254
Changde City,70264,1012998,826456
Changde City,33994,3839,3596
Changde City,33994,17006,11587
Changde City,33994,524068,466727
Zhangjiajie City,5567,165,117
Zhangjiajie City,5567,429,270
Zhangjiajie City,5567,9568,8870
Zhangjiajie City,3993,371,128
Zhangjiajie City,3993,726,324
Zhangjiajie City,3993,16244,10888
Zhangjiajie City,8289,292,290
Zhangjiajie City,8289,765,695
Zhangjiajie City,8289,21469,25418
Zhangjiajie City,20612,1772,550
Zhangjiajie City,20612,4770,1471
Zhangjiajie City,20612,137344,50692
Zhangjiajie City,53744,4561,1237
Zhangjiajie City,53744,13850,3916
Zhangjiajie City,53744,415908,140470
Zhangjiajie City,70264,8079,1367
Zhangjiajie City,70264,32570,5261
Zhangjiajie City,70264,1012998,177193
Zhangjiajie City,33994,3839,1021
Zhangjiajie City,33994,17006,4522
Zhangjiajie City,33994,524068,156527
Yiyang City,5567,165,139
Yiyang City,5567,429,416
Yiyang City,5567,9568,9334
Yiyang City,3993,371,146
Yiyang City,3993,726,463
Yiyang City,3993,16244,10442
Yiyang City,8289,292,284
Yiyang City,8289,765,941
Yiyang City,8289,21469,22673
Yiyang City,20612,1772,1117
Yiyang City,20612,4770,3367
Yiyang City,20612,137344,90022
Yiyang City,53744,4561,3999
Yiyang City,53744,13850,13014
Yiyang City,53744,415908,387319
Yiyang City,70264,8079,4875
Yiyang City,70264,32570,19333
Yiyang City,70264,1012998,582729
Yiyang City,33994,3839,2349
