age_group,sex,occupation,count
    16-19,,"Government agencies, party and mass organizations, enterprise, and institution heads",32
    20-24,,"Government agencies, party and mass organizations, enterprise, and institution heads",123
    25-29,,"Government agencies, party and mass organizations, enterprise, and institution heads",276
    30-34,,"Government agencies, party and mass organizations, enterprise, and institution heads",493
    35-39,,"Government agencies, party and mass organizations, enterprise, and institution heads",732
    40-44,,"Government agencies, party and mass organizations, enterprise, and institution heads",810
    45-49,,"Government agencies, party and mass organizations, enterprise, and institution heads",535
    50-54,,"Government agencies, party and mass organizations, enterprise, and institution heads",479
    55-59,,"Government agencies, party and mass organizations, enterprise, and institution heads",235
    60-64,,"Government agencies, party and mass organizations, enterprise, and institution heads",64
    65-69,,"Government agencies, party and mass organizations, enterprise, and institution heads",35
70 and above,,"Government agencies, party and mass organizations, enterprise, and institution heads",20
    16-19,,"Government agencies, party and mass organizations, enterprise, and institution heads",22
    20-24,,"Government agencies, party and mass organizations, enterprise, and institution heads",71
    25-29,,"Government agencies, party and mass organizations, enterprise, and institution heads",175
    30-34,,"Government agencies, party and mass organizations, enterprise, and institution heads",345
    35-39,,"Government agencies, party and mass organizations, enterprise, and institution heads",545
    40-44,,"Government agencies, party and mass organizations, enterprise, and institution heads",632
    45-49,,"Government agencies, party and mass organizations, enterprise, and institution heads",422
    50-54,,"Government agencies, party and mass organizations, enterprise, and institution heads",401
    55-59,,"Government agencies, party and mass organizations, enterprise, and institution heads",205
    60-64,,"Government agencies, party and mass organizations, enterprise, and institution heads",48
    65-69,,"Government agencies, party and mass organizations, enterprise, and institution heads",26
70 and above,,"Government agencies, party and mass organizations, enterprise, and institution heads",16
    16-19,,"Government agencies, party and mass organizations, enterprise, and institution heads",10
    20-24,,"Government agencies, party and mass organizations, enterprise, and institution heads",52
    25-29,,"Government agencies, party and mass organizations, enterprise, and institution heads",101
    30-34,,"Government agencies, party and mass organizations, enterprise, and institution heads",148
    35-39,,"Government agencies, party and mass organizations, enterprise, and institution heads",187
    40-44,,"Government agencies, party and mass organizations, enterprise, and institution heads",178
    45-49,,"Government agencies, party and mass organizations, enterprise, and institution heads",113
    50-54,,"Government agencies, party and mass organizations, enterprise, and institution heads",78
    55-59,,"Government agencies, party and mass organizations, enterprise, and institution heads",30
    60-64,,"Government agencies, party and mass organizations, enterprise, and institution heads",16
    65-69,,"Government agencies, party and mass organizations, enterprise, and institution heads",9
70 and above,,"Government agencies, party and mass organizations, enterprise, and institution heads",4
    16-19,,Professional and technical personnel,347
    20-24,,Professional and technical personnel,1753
    25-29,,Professional and technical personnel,2709
    30-34,,Professional and technical personnel,3269
    35-39,,Professional and technical personnel,3418
    40-44,,Professional and technical personnel,3227
    45-49,,Professional and technical personnel,2129
    50-54,,Professional and technical personnel,1995
    55-59,,Professional and technical personnel,1012
    60-64,,Professional and technical personnel,368
    65-69,,Professional and technical personnel,245
70 and above,,Professional and technical personnel,119
    16-19,,Professional and technical personnel,166
    20-24,,Professional and technical personnel,726
    25-29,,Professional and technical personnel,1215
    30-34,,Professional and technical personnel,1607
    35-39,,Professional and technical personnel,1787
    40-44,,Professional and technical personnel,1723
    45-49,,Professional and technical personnel,1209
    50-54,,Professional and technical personnel,1262
    55-59,,Professional and technical personnel,763
    60-64,,Professional and technical personnel,250
    65-69,,Professional and technical personnel,175
70 and above,,Professional and technical personnel,88
    16-19,,Professional and technical personnel,181
    20-24,,Professional and technical personnel,1027
    25-29,,Professional and technical personnel,1494
    30-34,,Professional and technical personnel,1662
    35-39,,Professional and technical personnel,1631
    40-44,,Professional and technical personnel,1504
    45-49,,Professional and technical personnel,920
    50-54,,Professional and technical personnel,733
    55-59,,Professional and technical personnel,249
    60-64,,Professional and technical personnel,118
    65-69,,Professional and technical personnel,70
70 and above,,Professional and technical personnel,31
    16-19,,clerical staff and related personnel,176
    20-24,,clerical staff and related personnel,880
    25-29,,clerical staff and related personnel,1539
    30-34,,clerical staff and related personnel,1795
    35-39,,clerical staff and related personnel,1847
    40-44,,clerical staff and related personnel,1879
    45-49,,clerical staff and related personnel,1149
    50-54,,clerical staff and related personnel,975
    55-59,,clerical staff and related personnel,461
    60-64,,clerical staff and related personnel,83
    65-69,,clerical staff and related personnel,37
70 and above,,clerical staff and related personnel,21
    16-19,,clerical staff and related personnel,111
    20-24,,clerical staff and related personnel,504
    25-29,,clerical staff and related personnel,990
    30-34,,clerical staff and related personnel,1178
    35-39,,clerical staff and related personnel,1195
    40-44,,clerical staff and related personnel,1280
    45-49,,clerical staff and related personnel,830
    50-54,,clerical staff and related personnel,809
    55-59,,clerical staff and related personnel,437
    60-64,,clerical staff and related personnel,75
    65-69,,clerical staff and related personnel,27
70 and above,,clerical staff and related personnel,15
    16-19,,clerical staff and related personnel,65
    20-24,,clerical staff and related personnel,376
    25-29,,clerical staff and related personnel,549
    30-34,,clerical staff and related personnel,617
    35-39,,clerical staff and related personnel,652
    40-44,,clerical staff and related personnel,599
    45-49,,clerical staff and related personnel,319
    50-54,,clerical staff and related personnel,166
    55-59,,clerical staff and related personnel,24
    60-64,,clerical staff and related personnel,8
    65-69,,clerical staff and related personnel,10
70 and above,,clerical staff and related personnel,6
    16-19,,Commercial and service industry personnel,2490
    20-24,,Commercial and service industry personnel,5245
    25-29,,Commercial and service industry personnel,5458
    30-34,,Commercial and service industry personnel,7180
    35-39,,Commercial and service industry personnel,8244
    40-44,,Commercial and service industry personnel,6645
    45-49,,Commercial and service industry personnel,3649
    50-54,,Commercial and service industry personnel,2581
    55-59,,Commercial and service industry personnel,1185
    60-64,,Commercial and service industry personnel,485
    65-69,,Commercial and service industry personnel,206
70 and above,,Commercial and service industry personnel,131
    16-19,,Commercial and service industry personnel,966
    20-24,,Commercial and service industry personnel,2283
    25-29,,Commercial and service industry personnel,2580
    30-34,,Commercial and service industry personnel,3541
    35-39,,Commercial and service industry personnel,4153
    40-44,,Commercial and service industry personnel,3348
    45-49,,Commercial and service industry personnel,2091
    50-54,,Commercial and service industry personnel,1664
    55-59,,Commercial and service industry personnel,816
    60-64,,Commercial and service industry personnel,335
    65-69,,Commercial and service industry personnel,148
70 and above,,Commercial and service industry personnel,86
    16-19,,Commercial and service industry personnel,1524
    20-24,,Commercial and service industry personnel,2962
    25-29,,Commercial and service industry personnel,2878
    30-34,,Commercial and service industry personnel,3639
    35-39,,Commercial and service industry personnel,4091
    40-44,,Commercial and service industry personnel,3297
    45-49,,Commercial and service industry personnel,1558
    50-54,,Commercial and service industry personnel,917
    55-59,,Commercial and service industry personnel,369
    60-64,,Commercial and service industry personnel,150
    65-69,,Commercial and service industry personnel,58
70 and above,,Commercial and service industry personnel,45
    16-19,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",6995
    20-24,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",13251
    25-29,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",13891
    30-34,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",23194
    35-39,,"Agriculture, forestry, animal husbandry, fishery, and water conservancy production personnel",32820
