school_name,cohort,metric_type,value
Xiamen University Affiliated High School,A,enrolled,435
Xiamen University Affiliated High School,A,graduated,360
Xiamen University Affiliated High School,A,admitted_to_key_universities,313
Xiamen University Affiliated High School,B,enrolled,311
Xiamen University Affiliated High School,B,graduated,122
Xiamen University Affiliated High School,B,admitted_to_key_universities,119
Zhangzhou Liren School,A,enrolled,786
Zhangzhou Liren School,A,graduated,610
Zhangzhou Liren School,A,admitted_to_key_universities,551
Zhangzhou Liren School,B,enrolled,547
Zhangzhou Liren School,B,graduated,235
Zhangzhou Liren School,B,admitted_to_key_universities,226
Zhangzhou Experimental Middle School,A,enrolled,527
Zhangzhou Experimental Middle School,A,graduated,403
Zhangzhou Experimental Middle School,A,admitted_to_key_universities,404
Zhangzhou Experimental Middle School,B,enrolled,394
Zhangzhou Experimental Middle School,B,graduated,123
Zhangzhou Experimental Middle School,B,admitted_to_key_universities,113
Zhangzhou No.1 Middle School,A,enrolled,775
Zhangzhou No.1 Middle School,A,graduated,527
Zhangzhou No.1 Middle School,A,admitted_to_key_universities,570
Zhangzhou No.1 Middle School,B,enrolled,547
Zhangzhou No.1 Middle School,B,graduated,205
Zhangzhou No.1 Middle School,B,admitted_to_key_universities,193
Zhangpu No.1 High School,A,enrolled,803
Zhangpu No.1 High School,A,graduated,546
Zhangpu No.1 High School,A,admitted_to_key_universities,492
Zhangpu No.1 High School,B,enrolled,483
Zhangpu No.1 High School,B,graduated,311
Zhangpu No.1 High School,B,admitted_to_key_universities,298
Zhangzhou Zhengxing School,A,enrolled,732
Zhangzhou Zhengxing School,A,graduated,441
Zhangzhou Zhengxing School,A,admitted_to_key_universities,500
Zhangzhou Zhengxing School,B,enrolled,494
Zhangzhou Zhengxing School,B,graduated,232
Zhangzhou Zhengxing School,B,admitted_to_key_universities,215
Shi Shang Zhangzhou Campus,A,enrolled,327
Shi Shang Zhangzhou Campus,A,graduated,188
Shi Shang Zhangzhou Campus,A,admitted_to_key_universities,203
Shi Shang Zhangzhou Campus,B,enrolled,202
Shi Shang Zhangzhou Campus,B,graduated,124
Shi Shang Zhangzhou Campus,B,admitted_to_key_universities,116
Longhai No.1 High School,A,enrolled,705
Longhai No.1 High School,A,graduated,349
Longhai No.1 High School,A,admitted_to_key_universities,485
Longhai No.1 High School,B,enrolled,460
Longhai No.1 High School,B,graduated,220
Longhai No.1 High School,B,admitted_to_key_universities,197
Zhangzhou Foreign Language School,A,enrolled,430
Zhangzhou Foreign Language School,A,graduated,167
Zhangzhou Foreign Language School,A,admitted_to_key_universities,321
Zhangzhou Foreign Language School,B,enrolled,284
Zhangzhou Foreign Language School,B,graduated,109
Zhangzhou Foreign Language School,B,admitted_to_key_universities,72
Pinghe Zhengxing School,A,enrolled,797
Pinghe Zhengxing School,A,graduated,295
Pinghe Zhengxing School,A,admitted_to_key_universities,471
Pinghe Zhengxing School,B,enrolled,409
Pinghe Zhengxing School,B,graduated,326
Pinghe Zhengxing School,B,admitted_to_key_universities,254
Yunxiao No.1 High School,A,enrolled,709
Yunxiao No.1 High School,A,graduated,245
Yunxiao No.1 High School,A,admitted_to_key_universities,493
Yunxiao No.1 High School,B,enrolled,469
Yunxiao No.1 High School,B,graduated,216
Yunxiao No.1 High School,B,admitted_to_key_universities,170
Zhangzhou Liren School,A,enrolled,286
Zhangzhou Liren School,A,graduated,87
Zhangzhou Liren School,A,admitted_to_key_universities,207
Zhangzhou Liren School,B,enrolled,164
Zhangzhou Liren School,B,graduated,79
Zhangzhou Liren School,B,admitted_to_key_universities,49
Zhao'an No.1 High School,A,enrolled,705
Zhao'an No.1 High School,A,graduated,161
