region,education_level,sex,count
Whole Country,Never attended school,Male,14455827
Whole Country,Never attended school,Female,34140110
Whole Country,Preschool education,Male,27868882
Whole Country,Preschool education,Female,25486963
Whole Country,Elementary School,Male,164893183
Whole Country,Elementary School,Female,184765550
Whole Country,Junior high school,Male,263448804
Whole Country,Junior high school,Female,223646206
Whole Country,High School,Male,116996970
Whole Country,High School,Female,95212952
Whole Country,College (Associate Degree),Male,58727560
Whole Country,College (Associate Degree),Female,53575442
Whole Country,Bachelor's degree,Male,47637012
Whole Country,Bachelor's degree,Female,46519060
Whole Country,Master's degree students,Male,4721323
Whole Country,Master's degree students,Female,4766905
Whole Country,Doctoral degree students,Male,774020
Whole Country,Doctoral degree students,Female,503329
Beijing,Never attended school,Male,99043
Beijing,Never attended school,Female,200977
Beijing,Preschool education,Male,311609
Beijing,Preschool education,Female,291683
Beijing,Elementary School,Male,1083828
Beijing,Elementary School,Female,1215608
Beijing,Junior high school,Male,2835520
Beijing,Junior high school,Female,2263269
Beijing,High School,Male,1998990
Beijing,High School,Female,1852760
Beijing,College (Associate Degree),Male,1473704
Beijing,College (Associate Degree),Female,1454703
Beijing,Bachelor's degree,Male,2353594
Beijing,Bachelor's degree,Female,2417901
Beijing,Master's degree students,Male,616649
Beijing,Master's degree students,Female,646366
Beijing,Doctoral degree students,Male,137675
Beijing,Doctoral degree students,Female,90191
Tianjin,Never attended school,Male,77563
Tianjin,Never attended school,Female,167818
Tianjin,Preschool education,Male,204887
Tianjin,Preschool education,Female,189645
Tianjin,Elementary School,Male,1071316
Tianjin,Elementary School,Female,1164282
Tianjin,Junior high school,Male,2441338
Tianjin,Junior high school,Female,2036533
Tianjin,High School,Male,1283238
Tianjin,High School,Female,1173634
Tianjin,College (Associate Degree),Male,799341
Tianjin,College (Associate Degree),Female,722574
Tianjin,Bachelor's degree,Male,974316
Tianjin,Bachelor's degree,Female,975383
Tianjin,Master's degree students,Male,109833
Tianjin,Master's degree students,Female,123695
Tianjin,Doctoral degree students,Male,16983
Tianjin,Doctoral degree students,Female,13418
Hebei,Never attended school,Male,477744
Hebei,Never attended school,Female,1107695
Hebei,Preschool education,Male,1589403
Hebei,Preschool education,Female,1449301
Hebei,Elementary School,Male,8581062
Hebei,Elementary School,Female,9820942
Hebei,Junior high school,Male,15793154
Hebei,Junior high school,Female,14013839
Hebei,High School,Male,5555492
Hebei,High School,Female,4785971
Hebei,College (Associate Degree),Male,2649100
Hebei,College (Associate Degree),Female,2621523
Hebei,Bachelor's degree,Male,1773591
Hebei,Bachelor's degree,Female,1935474
Hebei,Master's degree students,Male,116564
Hebei,Master's degree students,Female,144386
Hebei,Doctoral degree students,Male,12913
Hebei,Doctoral degree students,Female,11358
Shanxi,Never attended school,Male,192641
Shanxi,Never attended school,Female,365604
Shanxi,Preschool education,Male,586288
Shanxi,Preschool education,Female,557682
Shanxi,Elementary School,Male,3135342
Shanxi,Elementary School,Female,3675152
Shanxi,Junior high school,Male,7211213
Shanxi,Junior high school,Female,6388295
Shanxi,High School,Male,3138030
Shanxi,High School,Female,2617922
Shanxi,College (Associate Degree),Male,1692381
Shanxi,College (Associate Degree),Female,1570648
Shanxi,Bachelor's degree,Male,1245712
Shanxi,Bachelor's degree,Female,1324236
Shanxi,Master's degree students,Male,87607
Shanxi,Master's degree students,Female,118816
Shanxi,Doctoral degree students,Male,10618
Shanxi,Doctoral degree students,Female,10462
Inner Mongolia,Never attended school,Male,269547
Inner Mongolia,Never attended school,Female,631656
Inner Mongolia,Preschool education,Male,353091
Inner Mongolia,Preschool education,Female,327689
