accession_id,replicate_id,value
P18428,1,21.7316919221507
P18428,2,21.0126354498161
P18428,3,20.6463196286673
P18428,4,22.798080963412
P18428,5,21.6954050282151
P18428,6,22.8774571437302
P18428,7,22.5033909761574
P18428,8,21.1501017768033
P18428,9,20.8967433308606
P18428,10,22.9378486379785
P18428,11,23.0742434005113
P18428,12,19.0981554833946
P18428,13,22.4203920331969
P18428,14,20.9569517908021
P18428,15,21.2041890239872
P00738,1,30.402024089372
P00738,2,29.7142719863722
P00738,3,30.3969309009964
P00738,4,28.6860886718063
P00738,5,29.8034122178335
P00738,6,30.7546969328005
P00738,7,30.8456546663369
P00738,8,30.0394394836038
P00738,9,29.6164749484999
P00738,10,29.7676978442718
P00738,11,29.0478605406144
P00738,12,30.0347252176797
P00738,13,30.1497685130189
P00738,14,29.4769385220344
P00738,15,29.2281406902518
Q06033,1,20.7837272529872
Q06033,2,19.7340513304069
Q06033,3,19.7290630570847
Q06033,4,21.1531982216752
Q06033,5,22.0414305578156
Q06033,6,21.7958636859689
Q06033,7,21.0169932255769
Q06033,8,19.5781736465742
Q06033,9,20.1377116390155
Q06033,10,20.3458123680429
Q06033,11,18.4527801552418
Q06033,12,21.4831091956129
Q06033,13,18.2810697301617
Q06033,14,20.0293141909627
Q06033,15,21.6210913861726
P0DJI8,1,20.1338295528862
P0DJI8,2,
P0DJI8,3,19.7132556063341
P0DJI8,4,21.3564369248754
P0DJI8,5,19.0737074932378
P0DJI8,6,21.8531191533972
P0DJI8,7,23.8346068394371
P0DJI8,8,22.7573948928311
P0DJI8,9,
P0DJI8,10,18.1597038376015
P0DJI8,11,21.7525848178841
P0DJI8,12,
P0DJI8,13,20.0718237033591
P0DJI8,14,22.8101565981477
P0DJI8,15,24.6630233770225
P02748,1,23.3659966404123
P02748,2,23.3397369400323
P02748,3,22.576416991998
P02748,4,23.317551728622
P02748,5,23.4024958267993
P02748,6,24.0652964766573
P02748,7,23.8124499665618
P02748,8,23.0185051552366
P02748,9,23.7227575108275
P02748,10,23.4993573660519
P02748,11,22.1926480016445
P02748,12,22.49843242108
P02748,13,22.7442105435855
P02748,14,22.8621923788761
P02748,15,23.309663970512
P01011,1,26.0329034836436
P01011,2,26.2818359569762
P01011,3,26.1801603288601
P01011,4,27.4704946689161
P01011,5,26.3892285203018
P01011,6,26.5145008523124
P01011,7,27.1458876901249
P01011,8,25.2559471634464
P01011,9,25.0828591561782
P01011,10,25.5912648351332
P01011,11,25.3953871733347
P01011,12,25.8338833818168
P01011,13,25.109087771922
P01011,14,26.020939597401
P01011,15,26.5379367656384
P08514,1,19.1054891070936
P08514,2,
P08514,3,17.4269362746374
P08514,4,21.0757454936707
P08514,5,18.4698882014923
P08514,6,19.2654731212644
P08514,7,17.6716930900999
P08514,8,20.1486751774076
P08514,9,20.5208526759954
P08514,10,18.2957599677618
P08514,11,18.3896565445305
P08514,12,18.8785239559673
P08514,13,18.3013532902188
P08514,14,17.0557908145659
P08514,15,17.5337403600776
P04040,1,17.171724117133
P04040,2,17.9415176348059
P04040,3,17.3324562007738
P04040,4,21.2138897511566
P04040,5,17.6159744081589
P04040,6,
P04040,7,
P04040,8,18.9222185260989
P04040,9,19.2395798838764
P04040,10,18.3504385424783
P04040,11,18.1142608668404
P04040,12,17.3167234662085
P04040,13,
P04040,14,19.3785658100006
P04040,15,18.6885235209588
P05106,1,18.3058569084932
P05106,2,
P05106,3,15.5297050598154
P05106,4,20.4990166658399
P05106,5,17.7450440050345
P05106,6,17.9865420397533
P05106,7,16.5368239355388
P05106,8,19.1584962829415
P05106,9,18.9244239941561
P05106,10,17.6979856357359
P05106,11,18.1567447656158
P05106,12,17.1260591160707
P05106,13,18.7378018753513
P05106,14,17.2670060899952
P05106,15,18.2822468491332
P04275,1,27.3359437962519
P04275,2,25.4113165036904
P04275,3,25.4095048853187
P04275,4,26.1409244522651
P04275,5,22.7929681804816
P04275,6,25.7112747940775
P04275,7,24.9774920089267
P04275,8,25.363392075113
P04275,9,26.0985049000173
P04275,10,24.8955050214687
P04275,11,23.9113195668639
P04275,12,25.4676836533553
P04275,13,24.3131980363578
P04275,14,23.7350022807886
P04275,15,25.1253403127209
P02675,1,30.855564502096
P02675,2,30.9745274771259
P02675,3,30.2001105696243
P02675,4,31.1786653448444
P02675,5,31.1630897801999
P02675,6,31.087209033233
P02675,7,31.1023073618423
P02675,8,29.9148472334455
P02675,9,30.2733097561705
P02675,10,30.0872722718873
P02675,11,30.0554313104849
P02675,12,30.8750357598138
P02675,13,30.0632969417569
P02675,14,29.9676047758067
