project_name,sub_item_project_name,construction_company,registered_constructor,sampling_time,specimen_number,batch_id,serial_number,date,cumulative_time_d,daily_average_temperature_c,cumulative_temperature_c
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,1,2011.9.26,1,20,16
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,2,24,2011.10.19,24,20,484
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,2,2011.9.27,2,19,35
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,2,25,2011.10.20,25,17,501
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,3,2011.9.28,3,21,56
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,2,26,2011.10.21,26,18,519
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,4,2011.9.29,4,20,76
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,2,27,2011.10.22,27,21,540
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,1,5,2011.9.30,5,19,95
Chengdu Qibinjiang Chengxiang Agricultural Comprehensive Service Station,Same Conditions,"Chengdu Sanpeng Construction Engineering Co., Ltd.",Hu Huafu,2011.9.25,Specimen Number,2,28,2011.10.23,28,19,559
