section_header,subsection_header,category_cn,category_en,year,percentage
,,Primary Industry,Primary Industry,2015.0,8.9
,,Primary Industry,Primary Industry,2018.0,7.4
,,Primary Industry,Primary Industry,2019.0,7.3
,,Primary Industry,Primary Industry,2020.0,7.4
,,Primary Industry,Primary Industry,2021.0,7.3
,,Primary Industry,Primary Industry,2022.0,7.2
,,Primary Industry,Primary Industry,2023.0,7.1
,,Second Industry,Secondary Industry,2015.0,44.9
,,Second Industry,Secondary Industry,2018.0,41.3
,,Second Industry,Secondary Industry,2019.0,39.9
,,Second Industry,Secondary Industry,2020.0,39.1
,,Second Industry,Secondary Industry,2021.0,39.6
,,Second Industry,Secondary Industry,2022.0,39.5
,,Second Industry,Secondary Industry,2023.0,39.1
,,Tertiary Industry,Tertiary Industry,2015.0,46.2
,,Tertiary Industry,Tertiary Industry,2018.0,51.3
,,Tertiary Industry,Tertiary Industry,2019.0,52.8
,,Tertiary Industry,Tertiary Industry,2020.0,53.5
,,Tertiary Industry,Tertiary Industry,2021.0,53.1
,,Tertiary Industry,Tertiary Industry,2022.0,53.3
,,Tertiary Industry,Tertiary Industry,2023.0,53.8
By Gender,,Male,Male,2015.0,50.521992974123
By Gender,,Male,Male,2018.0,50.199203187251
By Gender,,Male,Male,2019.0,49.7991967871486
By Gender,,Male,Male,2020.0,50.6587062712784
By Gender,,Male,Male,2021.0,50.7631708517971
By Gender,,Male,Male,2022.0,50.7035324215291
By Gender,,Male,Male,2023.0,50.5284994566828
By Gender,,Female,Female,2015.0,49.478007025877
By Gender,,Female,Female,2018.0,49.800796812749
By Gender,,Female,Female,2019.0,50.2008032128514
By Gender,,Female,Female,2020.0,49.3412937287216
By Gender,,Female,Female,2021.0,49.2368291482029
By Gender,,Female,Female,2022.0,49.2964675784709
By Gender,,Female,Female,2023.0,49.4715005433172
By Age,,0-14 Years Old,Aged 0-14,2015.0,16.6
By Age,,0-14 Years Old,Aged 0-14,2018.0,18.08
By Age,,0-14 Years Old,Aged 0-14,2019.0,18.0
By Age,,0-14 Years Old,Aged 0-14,2020.0,18.78
By Age,,0-14 Years Old,Aged 0-14,2021.0,18.42
By Age,,0-14 Years Old,Aged 0-14,2022.0,17.9
By Age,,0-14 Years Old,Aged 0-14,2023.0,17.3
By Age,,15-64 Years Old,Aged 15-64,2015.0,71.2
By Age,,15-64 Years Old,Aged 15-64,2018.0,66.88
By Age,,15-64 Years Old,Aged 15-64,2019.0,66.2
By Age,,15-64 Years Old,Aged 15-64,2020.0,66.09
By Age,,15-64 Years Old,Aged 15-64,2021.0,65.66
By Age,,15-64 Years Old,Aged 15-64,2022.0,65.4
By Age,,15-64 Years Old,Aged 15-64,2023.0,65.3
By Age,,65 years old and above,Aged 65 and Over,2015.0,12.2
By Age,,65 years old and above,Aged 65 and Over,2018.0,15.04
By Age,,65 years old and above,Aged 65 and Over,2019.0,15.8
By Age,,65 years old and above,Aged 65 and Over,2020.0,15.13
By Age,,65 years old and above,Aged 65 and Over,2021.0,15.92
By Age,,65 years old and above,Aged 65 and Over,2022.0,16.7
By Age,,65 years old and above,Aged 65 and Over,2023.0,17.4
By rural and urban areas,,Rural population,Agricultural Structure,2015.0,43.03
By rural and urban areas,,Rural population,Agricultural Structure,2018.0,38.54
By rural and urban areas,,Rural population,Agricultural Structure,2019.0,38.14
By rural and urban areas,,Rural population,Agricultural Structure,2020.0,36.95
By rural and urban areas,,Rural population,Agricultural Structure,2021.0,36.06
By rural and urban areas,,Rural population,Agricultural Structure,2022.0,35.4559131891931
By rural and urban areas,,Rural population,Agricultural Structure,2023.0,34.47
By rural and urban areas,,Urban population,Non-agricultural Structure,2015.0,56.97
By rural and urban areas,,Urban population,Non-agricultural Structure,2018.0,61.46
By rural and urban areas,,Urban population,Non-agricultural Structure,2019.0,61.86
By rural and urban areas,,Urban population,Non-agricultural Structure,2020.0,63.05
By rural and urban areas,,Urban population,Non-agricultural Structure,2021.0,63.94
By rural and urban areas,,Urban population,Non-agricultural Structure,2022.0,64.5440868108069
By rural and urban areas,,Urban population,Non-agricultural Structure,2023.0,65.53
Three. Proportion of Social Employed Personnel,,Primary Industry,Primary Industry,2015.0,31.1
Three. Proportion of Social Employed Personnel,,Primary Industry,Primary Industry,2018.0,27.3
Three. Proportion of Social Employed Personnel,,Primary Industry,Primary Industry,2019.0,26.0
Three. Proportion of Social Employed Personnel,,Primary Industry,Primary Industry,2020.0,24.9
Three. Proportion of Social Employed Personnel,,Primary Industry,Primary Industry,2021.0,24.0
