country_region_cn,country_region_en,trade_category,value_usd_10k
Asia,Asia,total,22206804.54
ASEAN,Asean,total,9242917.122
China Hong Kong,Hong kong,total,929567.977
Japan,Japan,total,2664738.373
South Korea,Republic of Korea,total,3727867.564
China (Taiwan Province),Taiwan,total,851118.5628
Malaysia,Malaysia,total,4651746.615
Indonesia,Indonesia,total,911207.8223
Singapore,Singapore,total,818164.373
India,India,total,1006669.687
Thailand,Thailand,total,957390.2628
Africa,Africa,total,2887131.511
South Africa,South Africa,total,262696.6064
Europe,Europe,total,9162612.203
European Union,EU,total,4233327.331
Germany,Germany,total,860802.1142
France,France,total,336247.1458
Italy,Italy,total,393996.8443
Netherlands,Netherlands,total,914885.2888
Spain,Spain,total,346374.9763
Sweden,Sweden,total,104163.1552
Belgium,Belgium,total,230739.4636
Switzerland,Switzerland,total,125773.8704
Russia,Russia,total,3704171.668
Latin America,Latin America,total,4665760.003
Argentina,Argentina,total,167303.4056
Brazil,Brazil,total,2004822.012
Chile,Chile,total,497493.051
Mexico,Mexico,total,840754.1885
Panama,Panama,total,88253.8787
North America,North America,total,5453365.7
United States,United States,total,4647844.952
Canada,Canada,total,791030.7206
Oceania,Oceanic,total,2061038.567
Australia,Australia,total,1793907.493
New Zealand,New Zealand,total,196379.0744
Asia,Asia,exports,13266797.39
ASEAN,Asean,exports,4188933.181
China Hong Kong,Hong kong,exports,907513.9103
Japan,Japan,exports,1985753.525
South Korea,Republic of Korea,exports,2496805.83
China (Taiwan Province),Taiwan,exports,213749.3018
Malaysia,Malaysia,exports,910020.0108
Indonesia,Indonesia,exports,586192.5321
Singapore,Singapore,exports,671728.1718
India,India,exports,813120.7641
Thailand,Thailand,exports,563253.5791
Africa,Africa,exports,2004230.841
South Africa,South Africa,exports,202097.3642
Europe,Europe,exports,5234115.769
European Union,EU,exports,3345418.059
Germany,Germany,exports,595853.5647
France,France,exports,256650.3399
Italy,Italy,exports,288101.8124
Netherlands,Netherlands,exports,840543.5054
Spain,Spain,exports,286714.9609
Sweden,Sweden,exports,56847.0827
Belgium,Belgium,exports,210363.1306
Switzerland,Switzerland,exports,24605.1173
Russia,Russia,exports,1016595.771
Latin America,Latin America,exports,2230440.533
Argentina,Argentina,exports,82690.7166
Brazil,Brazil,exports,497045.4431
Chile,Chile,exports,163369.3883
Mexico,Mexico,exports,760352.2072
Panama,Panama,exports,75227.7448
North America,North America,exports,4100926.109
United States,United States,exports,3579400.877
Canada,Canada,exports,521264.8811
Oceania,Oceanic,exports,779619.251
Australia,Australia,exports,654921.0762
New Zealand,New Zealand,exports,73823.9916
Asia,Asia,imports,8940007.155
ASEAN,Asean,imports,5053983.941
China Hong Kong,Hong kong,imports,22054.0667
Japan,Japan,imports,678984.8487
South Korea,Republic of Korea,imports,1231061.735
China (Taiwan Province),Taiwan,imports,637369.261
Malaysia,Malaysia,imports,3741726.604
Indonesia,Indonesia,imports,325015.2902
Singapore,Singapore,imports,146436.2012
India,India,imports,193548.9229
Thailand,Thailand,imports,394136.6837
Africa,Africa,imports,882900.6696
South Africa,South Africa,imports,60599.2422
Europe,Europe,imports,3928496.434
European Union,EU,imports,887909.2723
Germany,Germany,imports,264948.5495
France,France,imports,79596.8059
Italy,Italy,imports,105895.0319
Netherlands,Netherlands,imports,74341.7834
Spain,Spain,imports,59660.0154
Sweden,Sweden,imports,47316.0725
Belgium,Belgium,imports,20376.333
Switzerland,Switzerland,imports,101168.7531
Russia,Russia,imports,2687575.897
Latin America,Latin America,imports,2435319.471
Argentina,Argentina,imports,84612.689
Brazil,Brazil,imports,1507776.569
Chile,Chile,imports,334123.6627
Mexico,Mexico,imports,80401.9813
Panama,Panama,imports,13026.1339
North America,North America,imports,1352439.591
United States,United States,imports,1068444.075
Canada,Canada,imports,269765.8395
Oceania,Oceanic,imports,1281419.316
Australia,Australia,imports,1138986.417
New Zealand,New Zealand,imports,122555.0828
