region_full,region_short,year,growth_rate
Ji'nan City,Jinan,2018.0,8.5
Qingdao City,Qingdao,2018.0,21.8
Zibo City,Zibo,2018.0,15.8
Zaozhuang City,Zaozhuang,2018.0,-21.3
Dongying City,Dongying,2018.0,-9.6
Yantai City,Yantai,2018.0,2.9
Weifang City,Weifang,2018.0,8.9
Jining City,Jining,2018.0,2.6
Tai'an City,Tai'an,2018.0,-6.4
Weihai City,Weihai,2018.0,7.1
Rizhao City,Rizhao,2018.0,-3.6
Laiwu City,Laiwu,2018.0,5.9
Linyi City,Linyi,2018.0,9.5
Dezhou City,Dezhou,2018.0,12.3
Liaocheng City,Liaocheng,2018.0,-5.7
Binzhou City,Binzhou,2018.0,-21.5
Heze City,Heze,2018.0,4.5
Ji'nan City,Jinan,2019.0,-10.9
Qingdao City,Qingdao,2019.0,20.9
Zibo City,Zibo,2019.0,-45.3
Zaozhuang City,Zaozhuang,2019.0,-32.3
Dongying City,Dongying,2019.0,-45.7
Yantai City,Yantai,2019.0,6.4
Weifang City,Weifang,2019.0,-31.8
Jining City,Jining,2019.0,-8.8
Tai'an City,Tai'an,2019.0,-33.0
Weihai City,Weihai,2019.0,-21.9
Rizhao City,Rizhao,2019.0,-13.7
Linyi City,Linyi,2019.0,-36.9
Dezhou City,Dezhou,2019.0,-18.8
Liaocheng City,Liaocheng,2019.0,-47.2
Binzhou City,Binzhou,2019.0,-29.9
Heze City,Heze,2019.0,-5.2
Ji'nan City,Jinan,2020.0,3.9
Qingdao City,Qingdao,2020.0,13.0
Zibo City,Zibo,2020.0,7.8
Zaozhuang City,Zaozhuang,2020.0,2.7
Dongying City,Dongying,2020.0,7.0
Yantai City,Yantai,2020.0,3.6
Weifang City,Weifang,2020.0,11.8
Jining City,Jining,2020.0,10.3
Tai'an City,Tai'an,2020.0,-4.1
Weihai City,Weihai,2020.0,-5.9
Rizhao City,Rizhao,2020.0,26.6
Linyi City,Linyi,2020.0,8.3
Dezhou City,Dezhou,2020.0,-2.9
Liaocheng City,Liaocheng,2020.0,0.9
Binzhou City,Binzhou,2020.0,7.2
Heze City,Heze,2020.0,15.5
Ji'nan City,Jinan,2021.0,24.9
Qingdao City,Qingdao,2021.0,8.3
Zibo City,Zibo,2021.0,24.1
Zaozhuang City,Zaozhuang,2021.0,-2.2
Dongying City,Dongying,2021.0,26.6
Yantai City,Yantai,2021.0,0.8
Weifang City,Weifang,2021.0,12.7
Jining City,Jining,2021.0,10.2
Tai'an City,Tai'an,2021.0,-21.6
Weihai City,Weihai,2021.0,8.9
Rizhao City,Rizhao,2021.0,6.1
Linyi City,Linyi,2021.0,17.2
Dezhou City,Dezhou,2021.0,-15.6
Liaocheng City,Liaocheng,2021.0,5.0
Binzhou City,Binzhou,2021.0,10.7
Heze City,Heze,2021.0,6.5
Ji'nan City,Jinan,2022.0,-0.6
Qingdao City,Qingdao,2022.0,2.3
Zibo City,Zibo,2022.0,-2.6
Zaozhuang City,Zaozhuang,2022.0,9.1
Dongying City,Dongying,2022.0,-9.8
Yantai City,Yantai,2022.0,1.4
Weifang City,Weifang,2022.0,10.1
Jining City,Jining,2022.0,-14.5
Tai'an City,Tai'an,2022.0,17.4
Weihai City,Weihai,2022.0,-17.0
Rizhao City,Rizhao,2022.0,-15.4
Linyi City,Linyi,2022.0,3.6
Dezhou City,Dezhou,2022.0,13.1
Liaocheng City,Liaocheng,2022.0,12.2
Binzhou City,Binzhou,2022.0,5.6
Heze City,Heze,2022.0,19.9
Ji'nan City,Jinan,2023.0,-21.8
Qingdao City,Qingdao,2023.0,4.5
Zibo City,Zibo,2023.0,13.0
Zaozhuang City,Zaozhuang,2023.0,6.7
Dongying City,Dongying,2023.0,13.4
Yantai City,Yantai,2023.0,-0.6
Weifang City,Weifang,2023.0,-0.2
Jining City,Jining,2023.0,3.7
Tai'an City,Tai'an,2023.0,10.6
Weihai City,Weihai,2023.0,6.1
Rizhao City,Rizhao,2023.0,-1.7
Linyi City,Linyi,2023.0,11.1
Dezhou City,Dezhou,2023.0,16.4
Liaocheng City,Liaocheng,2023.0,4.6
Binzhou City,Binzhou,2023.0,11.5
Heze City,Heze,2023.0,9.5
