sector_group_cn,sector_group_en,sector_cn,sector_en,metric,value
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Agriculture,Farming,investments_in_fixed_assets,5.4
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Forestry,Forestry,investments_in_fixed_assets,-53.0
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Livestock industry,Animal Husbandry,investments_in_fixed_assets,-3.2
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery",Fishing,Fishery,investments_in_fixed_assets,20.4
"(1) Agriculture, Forestry, Animal Husbandry, and Fishery","Farming, Forestry, Animal Husbandry and Fishery","Agriculture, Forestry, Animal Husbandry, Fishery and Auxiliary Activities","Services for Farming, Forestry, Animal",investments_in_fixed_assets,0.3
(2) Mining Industry,Mining ,Coal Mining and Washing Industry,Mining and Washing of Coal,investments_in_fixed_assets,-9.1
(2) Mining Industry,Mining ,Petroleum and Natural Gas Extraction Industry,Extraction of Petroleum and Natural Gas,investments_in_fixed_assets,9.8
(2) Mining Industry,Mining ,Iron and Steel Metal Ore Mining and Dressing Industry,Mining and Dressing of Ferrous Metal Ores,investments_in_fixed_assets,-31.2
(2) Mining Industry,Mining ,Non-ferrous Metal Ore Mining and Dressing Industry,Mining and Dressing of Nonferrous Metals Ores,investments_in_fixed_assets,190.9
(2) Mining Industry,Mining ,Non-metallic Mineral Mining and Dressing Industry,Mining and Dressing of Nonmetal Ores,investments_in_fixed_assets,38.2
(2) Mining Industry,Mining ,Mining and auxiliary activities,Mining Specialties and Auxiliary Activities,investments_in_fixed_assets,193.1
(2) Mining Industry,Mining ,Other Mining Industries,Mining and Dressing of Other Ores,investments_in_fixed_assets,2109.7
(3) Manufacturing Industry,Manufacture,Agricultural and sideline food processing industry,Processing of Farm and Sideline Food,investments_in_fixed_assets,19.8
(3) Manufacturing Industry,Manufacture,Food Manufacturing Industry,Manufacture of Food,investments_in_fixed_assets,14.5
(3) Manufacturing Industry,Manufacture,"Alcoholic Drinks, Beverages, and Refined Tea Manufacturing","Manufacture of Wine, Drinks and Refined Tea",investments_in_fixed_assets,21.5
(3) Manufacturing Industry,Manufacture,Tobacco Product Manufacturing,Tobacco Products,investments_in_fixed_assets,-14.7
(3) Manufacturing Industry,Manufacture,"Leather, Fur, Feather and Their Products","Manufacture of Leather, Fur, Feather & Its Products",investments_in_fixed_assets,-3.2
(3) Manufacturing Industry,Manufacture,"Wood Processing and Wood, Bamboo, Rattan, and Palm;","Timber Processing, Bamboo, Cane,",investments_in_fixed_assets,5.1
(3) Manufacturing Industry,Manufacture,Furniture Manufacturing Industry,Manufacture of Furniture,investments_in_fixed_assets,4.6
(3) Manufacturing Industry,Manufacture,Papermaking and Paper Product Industry,Papermaking and Paper Products,investments_in_fixed_assets,-15.3
(3) Manufacturing Industry,Manufacture,Printing and Reproduction of Recorded Media Industry,"Printing, Reproduction of Recording Media",investments_in_fixed_assets,-6.7
(3) Manufacturing Industry,Manufacture,"Cultural and Educational, Arts and Crafts, Sports, and Entertainment","Manufacture of Culture, Education,Arts and Crafts,",investments_in_fixed_assets,-19.1
(3) Manufacturing Industry,Manufacture,"Petroleum, Coal, and Other Fuel Processing Industry","Processing of Oil, Coal and Other Fuel",investments_in_fixed_assets,20.6
(3) Manufacturing Industry,Manufacture,Chemical Raw Materials and Chemical Products Manufacturing,Manufacture of Raw Chemical Materials,investments_in_fixed_assets,20.6
(3) Manufacturing Industry,Manufacture,Pharmaceutical Manufacturing,Manufacture of Medicines,investments_in_fixed_assets,20.6
(3) Manufacturing Industry,Manufacture,Chemical Fiber Manufacturing Industry,Manufacture of Chemical Fibers,investments_in_fixed_assets,7.0
(3) Manufacturing Industry,Manufacture,Rubber and Plastic Products Industry,Manufacture of Rubber and Plastic,investments_in_fixed_assets,-12.1
(3) Manufacturing Industry,Manufacture,Non-metallic Mineral Products Industry,Nonmetal Mineral Products,investments_in_fixed_assets,0.1
(3) Manufacturing Industry,Manufacture,Ferroalloy Smelting and Rolling Industry,Smelting and Pressing of Ferrous Metals,investments_in_fixed_assets,-37.0
(3) Manufacturing Industry,Manufacture,Non-ferrous Metal Smelting and Rolling Processing Industry,Smelting and Pressing of Nonferrous Metals,investments_in_fixed_assets,-11.1
(3) Manufacturing Industry,Manufacture,Metal Products Industry,Manufacture of Metal Products,investments_in_fixed_assets,18.3
(3) Manufacturing Industry,Manufacture,General Equipment Manufacturing Industry,Manufacture of General Purpose Machinery,investments_in_fixed_assets,-16.0
(3) Manufacturing Industry,Manufacture,Special-purpose Equipment Manufacturing Industry,Manufacture of Special Purpose Machinery,investments_in_fixed_assets,22.5
(3) Manufacturing Industry,Manufacture,Automobile Manufacturing Industry,Manufacture of Automotive,investments_in_fixed_assets,9.2
(3) Manufacturing Industry,Manufacture,"Railways, Ships, Aerospace and","Manufacture of Railroad,Marine,Aerospace and",investments_in_fixed_assets,-18.9
(3) Manufacturing Industry,Manufacture,Electromechanical and Equipment Manufacturing Industry,Manufacture of Electrical  Machinery & Equipment,investments_in_fixed_assets,20.7
(3) Manufacturing Industry,Manufacture,"Computer, Communication, and Other Electronics","Manufacture of Computer, Communications and",investments_in_fixed_assets,24.4
(3) Manufacturing Industry,Manufacture,Instrument and Meter Manufacturing Industry,Manufacture of Measuring Instrument,investments_in_fixed_assets,154.3
(3) Manufacturing Industry,Manufacture,Other Manufacturing,Other Manufacture,investments_in_fixed_assets,-36.8
(3) Manufacturing Industry,Manufacture,Comprehensive utilization industry of waste resources,Comprehensive Utilization of Waste,investments_in_fixed_assets,-28.5
(3) Manufacturing Industry,Manufacture,"Metal Products, Machinery, and Equipment","Metal Products, Machinery and Equipment",investments_in_fixed_assets,-23.6
"(4) Electricity, Heat, Gas, and Water","   Production and Supply of Electric, Heat, Gas and ","Electricity, Heat Production and Supply Industry",Production and Supply of Electric Power,investments_in_fixed_assets,38.5
"(4) Electricity, Heat, Gas, and Water","   Production and Supply of Electric, Heat, Gas and ",Gas Production and Supply Industry,Production and Supply of Gas,investments_in_fixed_assets,35.0
"(4) Electricity, Heat, Gas, and Water","   Production and Supply of Electric, Heat, Gas and ",Water Production and Supply Industry,Production and Supply of Tap Water,investments_in_fixed_assets,30.1
(5) Construction Industry,Construction,House Building Construction,Building Construction,investments_in_fixed_assets,-36.8
(5) Construction Industry,Construction,Civil Engineering Construction Industry,Civil Engineering Construction,investments_in_fixed_assets,186.9
(5) Construction Industry,Construction,Construction and Installation Industry,Construction Installment,investments_in_fixed_assets,-0.4
(5) Construction Industry,Construction,Building Decoration and Other Building Industries,Construction Decoration and Others,investments_in_fixed_assets,1519.2
(6) Wholesale and Retail Trade,Wholesale and Retail Trade,Wholesale industry,Wholesale,investments_in_fixed_assets,9.9
(6) Wholesale and Retail Trade,Wholesale and Retail Trade,Retail industry,Retail Trade,investments_in_fixed_assets,-7.3
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Railway Transportation Industry,Railway Transport,investments_in_fixed_assets,-9.8
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Road Transportation Industry,Road Transport,investments_in_fixed_assets,29.8
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Water Transport Industry,Waterway Transport,investments_in_fixed_assets,-39.8
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Aviation Transportation Industry,Air Transport,investments_in_fixed_assets,-1.7
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Pipeline Transportation Industry,Pipeline Transport,investments_in_fixed_assets,25.4
"(7) Transportation, Warehousing, and Postal Services","Transport, Storage and Postal Services",Multimodal Transport and Freight Agency Industry,Multimodal transport and Transportation agency,investments_in_fixed_assets,-7.7
