organization_status_cn,organization_status_en,year,count
Enterprise,Enterprises,2015,1048470
Public Institution,Institutions,2015,40919
Organizational Unit,Agencies & Organizations,2015,12411
Social Organizations,Social Groups,2015,15919
Private Non-enterprise Units,Private Non-enterprise Units,2015,16098
Foundation,Foundation,2015,81
Resident Committee,Neighborhood Committee,2015,7507
Village Committee,Village Committee,2015,73947
Other Organizations,Others,2015,54565
Enterprise,Enterprises,2016,1344176
Public Institution,Institutions,2016,44903
Organizational Unit,Agencies & Organizations,2016,12826
Social Organizations,Social Groups,2016,18819
Private Non-enterprise Units,Private Non-enterprise Units,2016,19740
Foundation,Foundation,2016,99
Resident Committee,Neighborhood Committee,2016,7323
Village Committee,Village Committee,2016,73909
Farmers' Professional Cooperatives,Professional Farmers,2016,110936
Other Organizations,Others,2016,19334
Enterprise,Enterprises,2017,1675975
Public Institution,Institutions,2017,48350
Organizational Unit,Agencies & Organizations,2017,12304
Social Organizations,Social Groups,2017,20929
Private Non-enterprise Units,Private Non-enterprise Units,2017,24624
Foundation,Foundation,2017,115
Resident Committee,Neighborhood Committee,2017,7048
Village Committee,Village Committee,2017,73453
Farmers' Professional Cooperatives,Professional Farmers,2017,136031
Other Organizations,Others,2017,15961
Enterprise,Enterprises,2018,1547260
Public Institution,Institutions,2018,50681
Organizational Unit,Agencies & Organizations,2018,12465
Social Organizations,Social Groups,2018,13337
Private Non-enterprise Units,Private Non-enterprise Units,2018,28723
Foundation,Foundation,2018,116
Resident Committee,Neighborhood Committee,2018,7307
Village Committee,Village Committee,2018,71411
Farmers' Professional Cooperatives,Professional Farmers,2018,58750
Other Organizations,Others,2018,11251
Enterprise,Enterprises,2019,1982468
Public Institution,Institutions,2019,47378
Organizational Unit,Agencies & Organizations,2019,12213
Social Organizations,Social Groups,2019,17384
Private Non-enterprise Units,Private Non-enterprise Units,2019,34781
Foundation,Foundation,2019,153
Resident Committee,Neighborhood Committee,2019,7463
Village Committee,Village Committee,2019,73870
Farmers' Professional Cooperatives,Professional Farmers,2019,122477
Other Organizations,Others,2019,11163
Enterprise,Enterprises,2020,2483474
Public Institution,Institutions,2020,47480
Organizational Unit,Agencies & Organizations,2020,12417
Social Organizations,Social Groups,2020,18876
Private Non-enterprise Units,Private Non-enterprise Units,2020,39907
Foundation,Foundation,2020,185
Resident Committee,Neighborhood Committee,2020,7424
Village Committee,Village Committee,2020,73589
Farmers' Professional Cooperatives,Professional Farmers,2020,148883
Other Organizations,Others,2020,10191
Enterprise,Enterprises,2021,2928948
Public Institution,Institutions,2021,39744
Organizational Unit,Agencies & Organizations,2021,10835
Social Organizations,Social Groups,2021,14015
Private Non-enterprise Units,Private Non-enterprise Units,2021,34220
Foundation,Foundation,2021,195
Resident Committee,Neighborhood Committee,2021,6905
Village Committee,Village Committee,2021,67156
Farmers' Professional Cooperatives,Professional Farmers,2021,151584
Other Organizations,Others,2021,7823
Enterprise,Enterprises,2022,3202941
Public Institution,Institutions,2022,40425
Organizational Unit,Agencies & Organizations,2022,11087
Social Organizations,Social Groups,2022,16478
Private Non-enterprise Units,Private Non-enterprise Units,2022,40781
Foundation,Foundation,2022,239
Resident Committee,Neighborhood Committee,2022,6924
Village Committee,Village Committee,2022,65294
Farmers' Professional Cooperatives,Professional Farmers,2022,154682
Other Organizations,Others,2022,8054
