section_number,section_title,unit,item,year,value
,,,Male,1953,2431.1397
,,,Male,1964,2790.4495
,,,Male,1982,3773.7424
,,,Male,1990,4291.3185
,,,Male,2000,4554.206
,,,Male,2010,4844.6944
,,,Male,2020,5143.2931
,,,Female,1953,2456.5151
,,,Female,1964,2759.1724
,,,Female,1982,3668.163
,,,Female,1990,4147.8919
,,,Female,2000,4442.9729
,,,Female,2010,4734.5775
,,,Female,2020,5009.452
,Household Families,Ten Thousand Households,Household Families (Ten Thousand Households),1953,0.0
,Household Families,Ten Thousand Households,Household Families (Ten Thousand Households),1964,0.0
,Household Families,Ten Thousand Households,Household Families (Ten Thousand Households),1982,1733.5456
,Household Families,Ten Thousand Households,Household Families (Ten Thousand Households),1990,2187.4449
,Household Families,Ten Thousand Households,Household Families (Ten Thousand Households),2000,2670.9328
,Household Families,Ten Thousand Households,Household Families (Ten Thousand Households),2010,3010.5454
,Household Families,Ten Thousand Households,Household Families (Ten Thousand Households),2020,3518.4241
,Average Household Size,persons,Average Household Size (persons),1982,4.2
,Average Household Size,persons,Average Household Size (persons),1990,3.75
,Average Household Size,persons,Average Household Size (persons),2000,3.22
,Average Household Size,persons,Average Household Size (persons),2010,2.98
,Average Household Size,persons,Average Household Size (persons),2020,2.7
,Number of Ethnic Groups,Units,Number of Ethnic Groups (Units),1953,17.0
,Number of Ethnic Groups,Units,Number of Ethnic Groups (Units),1964,32.0
,Number of Ethnic Groups,Units,Number of Ethnic Groups (Units),1982,39.0
,Number of Ethnic Groups,Units,Number of Ethnic Groups (Units),1990,54.0
,Number of Ethnic Groups,Units,Number of Ethnic Groups (Units),2000,56.0
,Number of Ethnic Groups,Units,Number of Ethnic Groups (Units),2010,56.0
,Number of Ethnic Groups,Units,Number of Ethnic Groups (Units),2020,56.0
,Han Population,"10,000 people","Han Population (10,000 people)",1953,4862.4003
,Han Population,"10,000 people","Han Population (10,000 people)",1964,5520.0442
,Han Population,"10,000 people","Han Population (10,000 people)",1982,7401.144
,Han Population,"10,000 people","Han Population (10,000 people)",1990,8388.6204
,Han Population,"10,000 people","Han Population (10,000 people)",2000,8933.9046
,Han Population,"10,000 people","Han Population (10,000 people)",2010,9506.683
,Han Population,"10,000 people","Han Population (10,000 people)",2020,10062.2492
,Minority Population,"in 10,000s","Minority Population (in 10,000s)",1953,25.2386
,Minority Population,"in 10,000s","Minority Population (in 10,000s)",1964,29.5464
,Minority Population,"in 10,000s","Minority Population (in 10,000s)",1982,40.7408
,Minority Population,"in 10,000s","Minority Population (in 10,000s)",1990,50.59
,Minority Population,"in 10,000s","Minority Population (in 10,000s)",2000,63.2743
,Minority Population,"in 10,000s","Minority Population (in 10,000s)",2010,72.5868
,Minority Population,"in 10,000s","Minority Population (in 10,000s)",2020,90.4959
,University,Ten Thousand People,University (Ten Thousand People),1982,26.3176
,University,Ten Thousand People,University (Ten Thousand People),1990,82.2863
,University,Ten Thousand People,University (Ten Thousand People),2000,300.0752
,University,Ten Thousand People,University (Ten Thousand People),2010,832.8681
,University,Ten Thousand People,University (Ten Thousand People),2020,1460.347
,High School,"10,000 people","High School (10,000 people)",1982,438.7201
,High School,"10,000 people","High School (10,000 people)",1990,603.3615
,High School,"10,000 people","High School (10,000 people)",2000,994.6434
,High School,"10,000 people","High School (10,000 people)",2010,1332.2584
,High School,"10,000 people","High School (10,000 people)",2020,1455.2759
,Junior Middle School,Ten Thousand People,Junior Middle School (Ten Thousand People),1982,1316.966
,Junior Middle School,Ten Thousand People,Junior Middle School (Ten Thousand People),1990,2125.4691
,Junior Middle School,Ten Thousand People,Junior Middle School (Ten Thousand People),2000,3297.3455
,Junior Middle School,Ten Thousand People,Junior Middle School (Ten Thousand People),2010,3846.8023
,Junior Middle School,Ten Thousand People,Junior Middle School (Ten Thousand People),2020,3632.4213
,Primary School,Ten Thousand People,Primary School      (Ten Thousand People),1982,2510.8087
,Primary School,Ten Thousand People,Primary School      (Ten Thousand People),1990,3061.198
,Primary School,Ten Thousand People,Primary School      (Ten Thousand People),2000,2946.971
,Primary School,Ten Thousand People,Primary School      (Ten Thousand People),2010,2391.2234
,Primary School,Ten Thousand People,Primary School      (Ten Thousand People),2020,2405.456
,Illiterate and Semi-illiterate,Ten Thousand People,Illiterate and Semi-illiterate (Ten Thousand People),1982,2045.7244
,Illiterate and Semi-illiterate,Ten Thousand People,Illiterate and Semi-illiterate (Ten Thousand People),1990,1425.6068
,Illiterate and Semi-illiterate,Ten Thousand People,Illiterate and Semi-illiterate (Ten Thousand People),2000,765.4312
,Illiterate and Semi-illiterate,Ten Thousand People,Illiterate and Semi-illiterate (Ten Thousand People),2010,475.7257
,Illiterate and Semi-illiterate,Ten Thousand People,Illiterate and Semi-illiterate (Ten Thousand People),2020,330.828
