position_id,section,measurement_index,value_1,value_2,value_6
50,upper_half,0,16000,-325.0,
50,upper_half,1,14000,-2325.0,
50,upper_half,2,12000,-4325.0,
50,upper_half,3,10000,-6325.0,
50,upper_half,4,8000,-8325.0,
50,upper_half,5,6000,-1325.0,
50,upper_half,6,4000,-12325.0,
50,upper_half,7,2000,-14325.0,
mid-span,lower_half,0,-2000,,
mid-span,lower_half,1,-4000,,
mid-span,lower_half,2,-6000,,
mid-span,lower_half,3,-8000,,
mid-span,lower_half,4,-10000,,
mid-span,lower_half,5,-12000,,
mid-span,lower_half,6,-14000,,
mid-span,lower_half,7,-16000,,
