sample_id,sample_label,parameter_id,metric_type,value
5123001,Rice Hull 1,1,score,98.0
5123001,Rice Hull 1,1,rank,1.0
5123001,Rice Hull 1,2,score,97.0
5123001,Rice Hull 1,2,rank,1.0
5123001,Rice Hull 1,3,score,98.0
5123001,Rice Hull 1,3,rank,1.0
5123001,Rice Hull 1,4,score,92.0
5123001,Rice Hull 1,4,rank,2.0
5123001,Rice Hull 1,5,score,99.0
5123001,Rice Hull 1,5,rank,1.0
5123001,Rice Hull 1,6,score,89.0
5123001,Rice Hull 1,6,rank,4.0
5123001,Rice Hull 1,7,score,95.0
5123001,Rice Hull 1,7,rank,1.0
5123001,Rice Hull 1,8,score,95.4
5123001,Rice Hull 1,8,rank,1.0
5123002,Rice Hull 2,1,score,96.0
5123002,Rice Hull 2,1,rank,2.0
5123002,Rice Hull 2,2,score,88.0
5123002,Rice Hull 2,2,rank,4.0
5123002,Rice Hull 2,3,score,80.0
5123002,Rice Hull 2,3,rank,8.0
5123002,Rice Hull 2,4,score,79.0
5123002,Rice Hull 2,4,rank,9.0
5123002,Rice Hull 2,5,score,85.0
5123002,Rice Hull 2,5,rank,8.0
5123002,Rice Hull 2,6,score,96.0
5123002,Rice Hull 2,6,rank,1.0
5123002,Rice Hull 2,7,score,89.0
5123002,Rice Hull 2,7,rank,4.0
5123002,Rice Hull 2,8,score,85.5
5123002,Rice Hull 2,8,rank,7.0
5123003,Rice Hull 3,1,score,75.0
5123003,Rice Hull 3,1,rank,8.0
5123003,Rice Hull 3,2,score,72.0
5123003,Rice Hull 3,2,rank,9.0
5123003,Rice Hull 3,3,score,65.0
5123003,Rice Hull 3,3,rank,9.0
5123003,Rice Hull 3,4,score,85.0
5123003,Rice Hull 3,4,rank,6.0
5123003,Rice Hull 3,5,score,91.0
5123003,Rice Hull 3,5,rank,6.0
5123003,Rice Hull 3,6,score,89.0
5123003,Rice Hull 3,6,rank,4.0
5123003,Rice Hull 3,7,score,93.0
5123003,Rice Hull 3,7,rank,3.0
5123003,Rice Hull 3,8,score,81.6
5123003,Rice Hull 3,8,rank,9.0
5123004,Rice Hull 4,1,score,67.0
5123004,Rice Hull 4,1,rank,9.0
5123004,Rice Hull 4,2,score,85.0
5123004,Rice Hull 4,2,rank,5.0
5123004,Rice Hull 4,3,score,83.0
5123004,Rice Hull 4,3,rank,7.0
5123004,Rice Hull 4,4,score,86.0
5123004,Rice Hull 4,4,rank,5.0
5123004,Rice Hull 4,5,score,95.0
5123004,Rice Hull 4,5,rank,2.0
5123004,Rice Hull 4,6,score,95.0
5123004,Rice Hull 4,6,rank,2.0
5123004,Rice Hull 4,7,score,63.0
5123004,Rice Hull 4,7,rank,9.0
5123004,Rice Hull 4,8,score,85.3
5123004,Rice Hull 4,8,rank,8.0
5123005,Rice Hull 5,1,score,60.0
5123005,Rice Hull 5,1,rank,10.0
5123005,Rice Hull 5,2,score,59.0
5123005,Rice Hull 5,2,rank,10.0
5123005,Rice Hull 5,3,score,48.0
5123005,Rice Hull 5,3,rank,10.0
5123005,Rice Hull 5,4,score,58.0
5123005,Rice Hull 5,4,rank,10.0
5123005,Rice Hull 5,5,score,45.0
5123005,Rice Hull 5,5,rank,10.0
5123005,Rice Hull 5,6,score,61.0
5123005,Rice Hull 5,6,rank,10.0
5123005,Rice Hull 5,7,score,58.0
5123005,Rice Hull 5,7,rank,10.0
5123005,Rice Hull 5,8,score,57.2
5123005,Rice Hull 5,8,rank,10.0
5123006,Rice Hull 6,1,score,78.0
5123006,Rice Hull 6,1,rank,7.0
5123006,Rice Hull 6,2,score,85.0
5123006,Rice Hull 6,2,rank,5.0
5123006,Rice Hull 6,3,score,90.0
5123006,Rice Hull 6,3,rank,4.0
5123006,Rice Hull 6,4,score,87.0
5123006,Rice Hull 6,4,rank,4.0
5123006,Rice Hull 6,5,score,93.0
5123006,Rice Hull 6,5,rank,4.0
5123006,Rice Hull 6,6,score,79.0
5123006,Rice Hull 6,6,rank,9.0
5123006,Rice Hull 6,7,score,95.0
5123006,Rice Hull 6,7,rank,1.0
5123006,Rice Hull 6,8,score,88.3
5123006,Rice Hull 6,8,rank,4.0
5123007,Rice Hull 7,1,score,94.0
5123007,Rice Hull 7,1,rank,4.0
5123007,Rice Hull 7,2,score,96.0
5123007,Rice Hull 7,2,rank,2.0
5123007,Rice Hull 7,3,score,96.0
5123007,Rice Hull 7,3,rank,2.0
5123007,Rice Hull 7,4,score,93.0
5123007,Rice Hull 7,4,rank,1.0
5123007,Rice Hull 7,5,score,92.0
5123007,Rice Hull 7,5,rank,5.0
5123007,Rice Hull 7,6,score,81.0
5123007,Rice Hull 7,6,rank,8.0
5123007,Rice Hull 7,7,score,89.0
5123007,Rice Hull 7,7,rank,4.0
5123007,Rice Hull 7,8,score,92.2
5123007,Rice Hull 7,8,rank,2.0
5123008,Rice Hull 8,1,score,96.0
5123008,Rice Hull 8,1,rank,2.0
5123008,Rice Hull 8,2,score,89.0
5123008,Rice Hull 8,2,rank,3.0
5123008,Rice Hull 8,3,score,94.0
5123008,Rice Hull 8,3,rank,3.0
5123008,Rice Hull 8,4,score,92.0
5123008,Rice Hull 8,4,rank,2.0
5123008,Rice Hull 8,5,score,85.0
5123008,Rice Hull 8,5,rank,8.0
5123008,Rice Hull 8,6,score,86.0
5123008,Rice Hull 8,6,rank,6.0
5123008,Rice Hull 8,7,score,85.0
5123008,Rice Hull 8,7,rank,8.0
5123008,Rice Hull 8,8,score,90.8
5123008,Rice Hull 8,8,rank,3.0
5123009,Rice Hull 9,1,score,85.0
5123009,Rice Hull 9,1,rank,6.0
5123009,Rice Hull 9,2,score,85.0
5123009,Rice Hull 9,2,rank,5.0
5123009,Rice Hull 9,3,score,88.0
5123009,Rice Hull 9,3,rank,5.0
5123009,Rice Hull 9,4,score,84.0
5123009,Rice Hull 9,4,rank,7.0
5123009,Rice Hull 9,5,score,91.0
5123009,Rice Hull 9,5,rank,6.0
5123009,Rice Hull 9,6,score,91.0
5123009,Rice Hull 9,6,rank,3.0
5123009,Rice Hull 9,7,score,86.0
5123009,Rice Hull 9,7,rank,7.0
5123009,Rice Hull 9,8,score,87.4
5123009,Rice Hull 9,8,rank,5.0
