age_label,age_group,age_single_year,income_benefit_type,sex,count
nan,Total,,Unit: Person,Male,
nan,Under 45 years old,,Unit: Person,Male,
45,Under 45 years old,45.0,Unit: Person,Male,1029558
46,Under 45 years old,46.0,Unit: Person,Male,1123949
47,Under 45 years old,47.0,Unit: Person,Male,1176498
48,Under 45 years old,48.0,Unit: Person,Male,1202544
49,Under 45 years old,49.0,Unit: Person,Male,1241906
nan,Under 45 years old,,Unit: Person,Male,
50,Under 45 years old,50.0,Unit: Person,Male,1298030
51,Under 45 years old,51.0,Unit: Person,Male,1216599
52,Under 45 years old,52.0,Unit: Person,Male,1298846
53,Under 45 years old,53.0,Unit: Person,Male,1034436
54,Under 45 years old,54.0,Unit: Person,Male,1171891
nan,Under 45 years old,,Unit: Person,Male,
55,Under 45 years old,55.0,Unit: Person,Male,1144496
56,Under 45 years old,56.0,Unit: Person,Male,1111081
57,Under 45 years old,57.0,Unit: Person,Male,1290317
58,Under 45 years old,58.0,Unit: Person,Male,935259
59,Under 45 years old,59.0,Unit: Person,Male,504877
nan,Under 45 years old,,Unit: Person,Male,
60,Under 45 years old,60.0,Unit: Person,Male,630443
61,Under 45 years old,61.0,Unit: Person,Male,601597
62,Under 45 years old,62.0,Unit: Person,Male,765643
63,Under 45 years old,63.0,Unit: Person,Male,853241
64,Under 45 years old,64.0,Unit: Person,Male,760610
nan,Under 45 years old,,Unit: Person,Male,
65,Under 45 years old,65.0,Unit: Person,Male,794038
66,Under 45 years old,66.0,Unit: Person,Male,784337
67,Under 45 years old,67.0,Unit: Person,Male,701663
68,Under 45 years old,68.0,Unit: Person,Male,695588
69,Under 45 years old,69.0,Unit: Person,Male,581445
70,Under 45 years old,70.0,Unit: Person,Male,552550
71,Under 45 years old,71.0,Unit: Person,Male,537267
72,Under 45 years old,72.0,Unit: Person,Male,450625
73,Under 45 years old,73.0,Unit: Person,Male,425034
74,Under 45 years old,74.0,Unit: Person,Male,376416
nan,Under 45 years old,,Unit: Person,Male,
75,Under 45 years old,75.0,Unit: Person,Male,328485
76,Under 45 years old,76.0,Unit: Person,Male,312625
77,Under 45 years old,77.0,Unit: Person,Male,271017
78,Under 45 years old,78.0,Unit: Person,Male,252314
79,Under 45 years old,79.0,Unit: Person,Male,244753
nan,Under 45 years old,,Unit: Person,Male,
80,Under 45 years old,80.0,Unit: Person,Male,214196
81,Under 45 years old,81.0,Unit: Person,Male,175529
82,Under 45 years old,82.0,Unit: Person,Male,179490
83,Under 45 years old,83.0,Unit: Person,Male,153187
84,Under 45 years old,84.0,Unit: Person,Male,134217
nan,Under 45 years old,,Unit: Person,Male,
85,Under 45 years old,85.0,Unit: Person,Male,111113
86,Under 45 years old,86.0,Unit: Person,Male,93574
87,Under 45 years old,87.0,Unit: Person,Male,84218
88,Under 45 years old,88.0,Unit: Person,Male,61448
89,Under 45 years old,89.0,Unit: Person,Male,48554
nan,Under 45 years old,,Unit: Person,Male,
90,Under 45 years old,90.0,Unit: Person,Male,41051
91,Under 45 years old,91.0,Unit: Person,Male,27037
92,Under 45 years old,92.0,Unit: Person,Male,21980
93,Under 45 years old,93.0,Unit: Person,Male,15095
94,Under 45 years old,94.0,Unit: Person,Male,10274
nan,Under 45 years old,,Unit: Person,Male,
95,Under 45 years old,95.0,Unit: Person,Male,7523
96,Under 45 years old,96.0,Unit: Person,Male,5063
97,Under 45 years old,97.0,Unit: Person,Male,3306
98,Under 45 years old,98.0,Unit: Person,Male,2148
99,Under 45 years old,99.0,Unit: Person,Male,1536
nan,Under 45 years old,,Unit: Person,Male,
nan,Total,,Unit: Person,Female,
nan,Under 45 years old,,Unit: Person,Female,
45,Under 45 years old,45.0,Unit: Person,Female,977154
46,Under 45 years old,46.0,Unit: Person,Female,1073545
47,Under 45 years old,47.0,Unit: Person,Female,1121552
48,Under 45 years old,48.0,Unit: Person,Female,1152292
49,Under 45 years old,49.0,Unit: Person,Female,1187281
nan,Under 45 years old,,Unit: Person,Female,
50,Under 45 years old,50.0,Unit: Person,Female,1266799
51,Under 45 years old,51.0,Unit: Person,Female,1188360
52,Under 45 years old,52.0,Unit: Person,Female,1276675
53,Under 45 years old,53.0,Unit: Person,Female,1025010
54,Under 45 years old,54.0,Unit: Person,Female,1149534
nan,Under 45 years old,,Unit: Person,Female,
55,Under 45 years old,55.0,Unit: Person,Female,1131681
56,Under 45 years old,56.0,Unit: Person,Female,1112306
57,Under 45 years old,57.0,Unit: Person,Female,1277233
58,Under 45 years old,58.0,Unit: Person,Female,943836
59,Under 45 years old,59.0,Unit: Person,Female,529076
nan,Under 45 years old,,Unit: Person,Female,
60,Under 45 years old,60.0,Unit: Person,Female,635292
61,Under 45 years old,61.0,Unit: Person,Female,589893
62,Under 45 years old,62.0,Unit: Person,Female,753465
63,Under 45 years old,63.0,Unit: Person,Female,843128
64,Under 45 years old,64.0,Unit: Person,Female,779019
nan,Under 45 years old,,Unit: Person,Female,
65,Under 45 years old,65.0,Unit: Person,Female,807569
66,Under 45 years old,66.0,Unit: Person,Female,812955
67,Under 45 years old,67.0,Unit: Person,Female,734940
68,Under 45 years old,68.0,Unit: Person,Female,729689
69,Under 45 years old,69.0,Unit: Person,Female,618789
70,Under 45 years old,70.0,Unit: Person,Female,580091
71,Under 45 years old,71.0,Unit: Person,Female,554238
72,Under 45 years old,72.0,Unit: Person,Female,476409
73,Under 45 years old,73.0,Unit: Person,Female,449783
74,Under 45 years old,74.0,Unit: Person,Female,411234
nan,Under 45 years old,,Unit: Person,Female,
75,Under 45 years old,75.0,Unit: Person,Female,362263
76,Under 45 years old,76.0,Unit: Person,Female,339876
77,Under 45 years old,77.0,Unit: Person,Female,303470
78,Under 45 years old,78.0,Unit: Person,Female,285377
79,Under 45 years old,79.0,Unit: Person,Female,280328
nan,Under 45 years old,,Unit: Person,Female,
80,Under 45 years old,80.0,Unit: Person,Female,248148
81,Under 45 years old,81.0,Unit: Person,Female,211898
82,Under 45 years old,82.0,Unit: Person,Female,215605
83,Under 45 years old,83.0,Unit: Person,Female,190288
84,Under 45 years old,84.0,Unit: Person,Female,175192
nan,Under 45 years old,,Unit: Person,Female,
85,Under 45 years old,85.0,Unit: Person,Female,153627
86,Under 45 years old,86.0,Unit: Person,Female,133745
87,Under 45 years old,87.0,Unit: Person,Female,120714
88,Under 45 years old,88.0,Unit: Person,Female,92834
89,Under 45 years old,89.0,Unit: Person,Female,73991
nan,Under 45 years old,,Unit: Person,Female,
90,Under 45 years old,90.0,Unit: Person,Female,65023
91,Under 45 years old,91.0,Unit: Person,Female,45849
92,Under 45 years old,92.0,Unit: Person,Female,38954
93,Under 45 years old,93.0,Unit: Person,Female,27641
94,Under 45 years old,94.0,Unit: Person,Female,19942
nan,Under 45 years old,,Unit: Person,Female,
95,Under 45 years old,95.0,Unit: Person,Female,15926
96,Under 45 years old,96.0,Unit: Person,Female,11426
97,Under 45 years old,97.0,Unit: Person,Female,7661
98,Under 45 years old,98.0,Unit: Person,Female,5145
99,Under 45 years old,99.0,Unit: Person,Female,3892
nan,Under 45 years old,,Unit: Person,Female,
nan,Total,,Category_4,Male,
nan,Under 45 years old,,Category_4,Male,
45,Under 45 years old,45.0,Category_4,Male,935842
46,Under 45 years old,46.0,Category_4,Male,1017936
47,Under 45 years old,47.0,Category_4,Male,1060223
48,Under 45 years old,48.0,Category_4,Male,1078545
49,Under 45 years old,49.0,Category_4,Male,1106873
nan,Under 45 years old,,Category_4,Male,
50,Under 45 years old,50.0,Category_4,Male,1142744
51,Under 45 years old,51.0,Category_4,Male,1052369
52,Under 45 years old,52.0,Category_4,Male,1108834
53,Under 45 years old,53.0,Category_4,Male,869962
54,Under 45 years old,54.0,Category_4,Male,965995
nan,Under 45 years old,,Category_4,Male,
55,Under 45 years old,55.0,Category_4,Male,906162
56,Under 45 years old,56.0,Category_4,Male,849069
57,Under 45 years old,57.0,Category_4,Male,954315
58,Under 45 years old,58.0,Category_4,Male,672021
59,Under 45 years old,59.0,Category_4,Male,333180
nan,Under 45 years old,,Category_4,Male,
60,Under 45 years old,60.0,Category_4,Male,307806
61,Under 45 years old,61.0,Category_4,Male,271939
62,Under 45 years old,62.0,Category_4,Male,331517
63,Under 45 years old,63.0,Category_4,Male,362706
64,Under 45 years old,64.0,Category_4,Male,305467
nan,Under 45 years old,,Category_4,Male,
65,Under 45 years old,65.0,Category_4,Male,302943
66,Under 45 years old,66.0,Category_4,Male,281151
67,Under 45 years old,67.0,Category_4,Male,239456
68,Under 45 years old,68.0,Category_4,Male,223966
69,Under 45 years old,69.0,Category_4,Male,170334
70,Under 45 years old,70.0,Category_4,Male,142394
71,Under 45 years old,71.0,Category_4,Male,124934
72,Under 45 years old,72.0,Category_4,Male,95970
73,Under 45 years old,73.0,Category_4,Male,82127
74,Under 45 years old,74.0,Category_4,Male,65706
nan,Under 45 years old,,Category_4,Male,
75,Under 45 years old,75.0,Category_4,Male,52193
76,Under 45 years old,76.0,Category_4,Male,43762
77,Under 45 years old,77.0,Category_4,Male,33086
78,Under 45 years old,78.0,Category_4,Male,26562
79,Under 45 years old,79.0,Category_4,Male,21694
nan,Under 45 years old,,Category_4,Male,
80,Under 45 years old,80.0,Category_4,Male,15190
81,Under 45 years old,81.0,Category_4,Male,9742
82,Under 45 years old,82.0,Category_4,Male,8741
83,Under 45 years old,83.0,Category_4,Male,6411
84,Under 45 years old,84.0,Category_4,Male,4987
nan,Under 45 years old,,Category_4,Male,
85,Under 45 years old,85.0,Category_4,Male,3828
86,Under 45 years old,86.0,Category_4,Male,2794
87,Under 45 years old,87.0,Category_4,Male,2175
88,Under 45 years old,88.0,Category_4,Male,1404
89,Under 45 years old,89.0,Category_4,Male,1001
nan,Under 45 years old,,Category_4,Male,
90,Under 45 years old,90.0,Category_4,Male,707
91,Under 45 years old,91.0,Category_4,Male,390
92,Under 45 years old,92.0,Category_4,Male,289
93,Under 45 years old,93.0,Category_4,Male,202
94,Under 45 years old,94.0,Category_4,Male,149
nan,Under 45 years old,,Category_4,Male,
95,Under 45 years old,95.0,Category_4,Male,95
96,Under 45 years old,96.0,Category_4,Male,72
97,Under 45 years old,97.0,Category_4,Male,33
98,Under 45 years old,98.0,Category_4,Male,37
99,Under 45 years old,99.0,Category_4,Male,26
nan,Under 45 years old,,Category_4,Male,
nan,Total,,Category_4,Female,
nan,Under 45 years old,,Category_4,Female,
45,Under 45 years old,45.0,Category_4,Female,711338
46,Under 45 years old,46.0,Category_4,Female,772867
47,Under 45 years old,47.0,Category_4,Female,793837
48,Under 45 years old,48.0,Category_4,Female,796269
49,Under 45 years old,49.0,Category_4,Female,790971
nan,Under 45 years old,,Category_4,Female,
50,Under 45 years old,50.0,Category_4,Female,745227
51,Under 45 years old,51.0,Category_4,Female,649263
52,Under 45 years old,52.0,Category_4,Female,667753
53,Under 45 years old,53.0,Category_4,Female,513175
54,Under 45 years old,54.0,Category_4,Female,541490
nan,Under 45 years old,,Category_4,Female,
55,Under 45 years old,55.0,Category_4,Female,473459
56,Under 45 years old,56.0,Category_4,Female,427996
57,Under 45 years old,57.0,Category_4,Female,456521
58,Under 45 years old,58.0,Category_4,Female,327716
59,Under 45 years old,59.0,Category_4,Female,168058
nan,Under 45 years old,,Category_4,Female,
60,Under 45 years old,60.0,Category_4,Female,176826
61,Under 45 years old,61.0,Category_4,Female,151226
62,Under 45 years old,62.0,Category_4,Female,187550
63,Under 45 years old,63.0,Category_4,Female,204307
64,Under 45 years old,64.0,Category_4,Female,182320
nan,Under 45 years old,,Category_4,Female,
65,Under 45 years old,65.0,Category_4,Female,179688
66,Under 45 years old,66.0,Category_4,Female,168320
67,Under 45 years old,67.0,Category_4,Female,145235
68,Under 45 years old,68.0,Category_4,Female,134791
