respondent_id,item_id,value
1,1,5.0
2,1,5.0
3,1,5.0
4,1,5.0
5,1,5.0
6,1,5.0
7,1,5.0
8,1,5.0
9,1,5.0
10,1,0.0
11,1,5.0
12,1,5.0
13,1,5.0
14,1,5.0
15,1,5.0
16,1,5.0
17,1,5.0
18,1,5.0
19,1,5.0
20,1,5.0
21,1,5.0
22,1,5.0
23,1,5.0
24,1,5.0
25,1,5.0
26,1,0.0
27,1,0.0
28,1,5.0
29,1,0.0
30,1,5.0
31,1,5.0
32,1,5.0
33,1,5.0
34,1,5.0
35,1,5.0
36,1,5.0
37,1,5.0
38,1,5.0
39,1,5.0
40,1,5.0
41,1,5.0
42,1,5.0
43,1,5.0
44,1,5.0
45,1,5.0
46,1,5.0
47,1,0.0
48,1,5.0
49,1,5.0
50,1,0.0
51,1,5.0
52,1,5.0
53,1,5.0
54,1,5.0
55,1,0.0
56,1,0.0
57,1,5.0
58,1,5.0
59,1,0.0
60,1,5.0
61,1,0.0
62,1,0.0
63,1,5.0
64,1,0.0
65,1,0.0
66,1,0.0
67,1,0.0
68,1,0.0
69,1,0.0
70,1,5.0
71,1,5.0
72,1,5.0
73,1,0.0
74,1,5.0
75,1,5.0
76,1,5.0
77,1,0.0
78,1,5.0
79,1,0.0
80,1,5.0
81,1,5.0
82,1,5.0
83,1,5.0
84,1,0.0
85,1,5.0
86,1,5.0
87,1,5.0
88,1,5.0
89,1,5.0
90,1,5.0
91,1,0.0
92,1,5.0
93,1,5.0
94,1,0.0
95,1,5.0
96,1,5.0
97,1,5.0
98,1,5.0
99,1,0.0
100,1,5.0
1,2,5.0
2,2,5.0
3,2,5.0
4,2,5.0
5,2,5.0
6,2,5.0
7,2,5.0
8,2,5.0
9,2,5.0
10,2,5.0
11,2,5.0
12,2,5.0
13,2,5.0
14,2,5.0
15,2,5.0
16,2,5.0
17,2,5.0
18,2,5.0
19,2,5.0
20,2,5.0
21,2,5.0
22,2,5.0
23,2,5.0
24,2,5.0
25,2,5.0
26,2,5.0
27,2,5.0
28,2,5.0
29,2,5.0
