region,children_survived,count
Beijing,0,375622
Tianjin,0,214528
Hebei,0,682149
Shanxi,0,354285
Inner Mongolia,0,368101
Liaoning,0,832603
Jilin,0,426074
Heilongjiang,0,610605
Shanghai,0,442910
Jiangsu,0,1387100
Zhejiang,0,904217
Anhui,0,626204
Fujian,0,367537
Jiangxi,0,317801
Shandong,0,1167120
Henan,0,663955
Hubei,0,819653
Hunan,0,696288
Guangdong,0,930766
Guangxi,0,312424
Hainan,0,61778
Chongqing,0,453815
Sichuan,0,1202479
Guizhou,0,232458
Yunnan,0,379410
Tibet,0,20032
Shaanxi,0,417397
Gansu,0,203900
Qinghai,0,53398
Ningxia,0,65015
Xinjiang,0,235250
Beijing,1,121541
Tianjin,1,92823
Hebei,1,1018409
Shanxi,1,457836
Inner Mongolia,1,245481
Liaoning,1,269185
Jilin,1,167273
Heilongjiang,1,183579
Shanghai,1,137774
Jiangsu,1,705601
Zhejiang,1,729883
Anhui,1,746169
Fujian,1,524510
Jiangxi,1,651582
Shandong,1,1226301
Henan,1,1308056
Hubei,1,679231
Hunan,1,879656
Guangdong,1,1298330
Guangxi,1,483213
Hainan,1,102455
Chongqing,1,330732
Sichuan,1,899846
Guizhou,1,391130
Yunnan,1,652557
Tibet,1,24875
Shaanxi,1,449109
Gansu,1,310239
Qinghai,1,62191
Ningxia,1,78803
Xinjiang,1,218405
Beijing,2,11157
Tianjin,2,8408
Hebei,2,188828
Shanxi,2,93352
Inner Mongolia,2,36675
Liaoning,2,19811
Jilin,2,20389
Heilongjiang,2,21975
Shanghai,2,17781
Jiangsu,2,97699
Zhejiang,2,95645
Anhui,2,157495
Fujian,2,124962
Jiangxi,2,179694
Shandong,2,179082
Henan,2,334034
Hubei,2,101549
Hunan,2,151067
Guangdong,2,435994
Guangxi,2,181420
Hainan,2,38740
Chongqing,2,40342
Sichuan,2,119910
Guizhou,2,160787
Yunnan,2,129290
Tibet,2,11460
Shaanxi,2,81060
Gansu,2,87307
Qinghai,2,18655
Ningxia,2,29304
Xinjiang,2,94108
Beijing,3,1358
Tianjin,3,957
Hebei,3,25688
Shanxi,3,15975
Inner Mongolia,3,5559
Liaoning,3,2472
Jilin,3,3481
Heilongjiang,3,4229
Shanghai,3,2618
Jiangsu,3,15642
Zhejiang,3,14723
Anhui,3,27977
Fujian,3,23303
Jiangxi,3,32829
Shandong,3,26929
Henan,3,51250
Hubei,3,17529
Hunan,3,22729
Guangdong,3,135440
Guangxi,3,58434
Hainan,3,11920
Chongqing,3,5153
Sichuan,3,25297
Guizhou,3,50274
Yunnan,3,33490
Tibet,3,5432
Shaanxi,3,13301
Gansu,3,18564
Qinghai,3,4590
Ningxia,3,9771
Xinjiang,3,31611
Beijing,4,204
Tianjin,4,143
Hebei,4,4077
Shanxi,4,3092
Inner Mongolia,4,1130
Liaoning,4,333
Jilin,4,786
Heilongjiang,4,910
Shanghai,4,403
Jiangsu,4,3163
Zhejiang,4,2860
Anhui,4,5570
Fujian,4,5501
Jiangxi,4,7826
Shandong,4,4605
Henan,4,8794
Hubei,4,3898
Hunan,4,3918
Guangdong,4,54540
Guangxi,4,21123
Hainan,4,4329
Chongqing,4,989
Sichuan,4,10347
Guizhou,4,19549
Yunnan,4,11138
Tibet,4,5028
Shaanxi,4,2527
Gansu,4,5929
Qinghai,4,2133
Ningxia,4,3899
Xinjiang,4,15636
