year,economic_sector,geographic_scope,investment
1978,State-owned Economy,Urban,29.27
1978,Collective-owned Units,Urban,8.42
1978,State-owned Economy,Rural,1.78
1978,Individual Economy,,4.18
1978,Collective-owned Units,Rural,3.98
1979,State-owned Economy,Urban,31.62
1979,Collective-owned Units,Urban,18.97
1979,State-owned Economy,Rural,1.55
1979,Individual Economy,,10.76
1979,Collective-owned Units,Rural,10.41
1980,State-owned Economy,Urban,35.83
1980,Collective-owned Units,Urban,22.24
1980,State-owned Economy,Rural,3.12
1980,Individual Economy,,11.9
1980,Collective-owned Units,Rural,11.47
1981,State-owned Economy,Urban,29.63
1981,Collective-owned Units,Urban,32.08
1981,State-owned Economy,Rural,3.27
1981,Individual Economy,,17.89
1981,Collective-owned Units,Rural,17.28
1982,State-owned Economy,Urban,43.29
1982,Collective-owned Units,Urban,23.38
1982,State-owned Economy,Rural,4.38
1982,Individual Economy,,18.33
1982,Collective-owned Units,Rural,17.46
1983,State-owned Economy,Urban,49.11
1983,Collective-owned Units,Urban,19.19
1983,State-owned Economy,Rural,3.76
1983,Individual Economy,,28.16
1983,Collective-owned Units,Rural,26.48
1984,State-owned Economy,Urban,67.09
1984,Collective-owned Units,Urban,25.29
1984,State-owned Economy,Rural,5.01
1984,Individual Economy,,47.77
1984,Collective-owned Units,Rural,44.43
1985,State-owned Economy,Urban,100.42
1985,Collective-owned Units,Urban,30.21
1985,State-owned Economy,Rural,8.64
1985,Individual Economy,,63.7
1985,Collective-owned Units,Rural,58.51
1986,State-owned Economy,Urban,121.95
1986,Collective-owned Units,Urban,43.09
1986,State-owned Economy,Rural,11.95
1986,Individual Economy,,58.04
1986,Collective-owned Units,Rural,52.32
1987,State-owned Economy,Urban,155.65
1987,Collective-owned Units,Urban,78.75
1987,State-owned Economy,Rural,17.84
1987,Individual Economy,,63.37
1987,Collective-owned Units,Rural,56.05
1988,State-owned Economy,Urban,192.2
1988,Collective-owned Units,Urban,100.97
1988,State-owned Economy,Rural,35.46
1988,Individual Economy,,76.65
1988,Collective-owned Units,Rural,64.83
1989,State-owned Economy,Urban,162.3
1989,Collective-owned Units,Urban,69.68
1989,State-owned Economy,Rural,19.68
1989,Individual Economy,,73.56
1989,Collective-owned Units,Rural,62.0
1990,State-owned Economy,Urban,185.44
1990,Collective-owned Units,Urban,71.51
1990,State-owned Economy,Rural,18.63
1990,Individual Economy,,78.71
1990,Collective-owned Units,Rural,67.47
1991,State-owned Economy,Urban,234.04
1991,Collective-owned Units,Urban,104.73
1991,State-owned Economy,Rural,25.06
1991,Individual Economy,,101.05
1991,Collective-owned Units,Rural,85.73
1992,State-owned Economy,Urban,343.17
1992,Collective-owned Units,Urban,186.43
1992,State-owned Economy,Rural,42.27
1992,Individual Economy,,71.9
1992,Collective-owned Units,Rural,54.19
1993,State-owned Economy,Urban,476.26
1993,Collective-owned Units,Urban,245.9
1993,State-owned Economy,Rural,49.9
