metric,month,fahrenheit,celsius
Record high,Jan,76.0,24.0
Record high,Feb,86.0,30.0
Record high,Mar,96.0,36.0
Record high,Apr,96.0,36.0
Record high,May,95.0,35.0
Record high,Jun,104.0,40.0
Record high,Jul,111.0,44.0
Record high,Aug,109.0,43.0
Record high,Sep,105.0,41.0
Record high,Oct,96.0,36.0
Record high,Nov,90.0,32.0
Record high,Dec,78.0,26.0
Average high,Jan,46.2,7.9
Average high,Feb,50.4,10.2
Average high,Mar,59.1,15.1
Average high,Apr,68.7,20.4
Average high,May,75.5,24.2
Average high,Jun,83.5,28.6
Average high,Jul,88.7,31.5
Average high,Aug,89.4,31.9
Average high,Sep,80.8,27.1
Average high,Oct,70.3,21.3
Average high,Nov,59.2,15.1
Average high,Dec,48.0,8.9
Average low,Jan,26.1,-3.3
Average low,Feb,29.0,-1.7
Average low,Mar,37.8,3.2
Average low,Apr,46.9,8.3
Average low,May,55.7,13.2
Average low,Jun,64.1,17.8
Average low,Jul,68.7,20.4
Average low,Aug,67.7,19.8
Average low,Sep,58.9,14.9
Average low,Oct,47.6,8.7
Average low,Nov,39.2,4.0
Average low,Dec,28.1,-2.2
Record low,Jan,23.0,-31.0
Record low,Feb,24.0,-31.0
Record low,Mar,11.0,-24.0
Record low,Apr,18.0,-8.0
Record low,May,28.0,-2.0
Record low,Jun,41.0,5.0
Record low,Jul,48.0,9.0
Record low,Aug,44.0,7.0
Record low,Sep,29.0,-2.0
Record low,Oct,17.0,-8.0
Record low,Nov,5.0,-15.0
Record low,Dec,12.0,-24.0
Precipitation,Jan,1.99,50.5
Precipitation,Feb,2.43,61.7
Precipitation,Mar,3.54,89.9
Precipitation,Apr,4.05,102.9
Precipitation,May,4.99,126.7
Precipitation,Jun,4.59,116.6
Precipitation,Jul,3.18,80.8
Precipitation,Aug,2.75,69.9
Precipitation,Sep,4.43,112.5
Precipitation,Oct,3.83,97.3
Precipitation,Nov,4.19,106.4
Precipitation,Dec,2.73,69.3
Snowfallches,Jan,1.6,4.1
Snowfallches,Feb,2.0,5.1
Snowfallches,Mar,0.0,0.0
Snowfallches,Apr,0.0,0.0
Snowfallches,May,0.0,0.0
Snowfallches,Jun,0.0,0.0
Snowfallches,Jul,0.0,0.0
Snowfallches,Aug,0.0,0.0
Snowfallches,Sep,0.0,0.0
Snowfallches,Oct,0.0,0.0
Snowfallches,Nov,0.0,0.0
Snowfallches,Dec,0.7,1.8
Avg. precipitation days,Jan,5.4,
Avg. precipitation days,Feb,6.6,
Avg. precipitation days,Mar,8.2,
Avg. precipitation days,Apr,9.0,
Avg. precipitation days,May,11.2,
Avg. precipitation days,Jun,8.9,
Avg. precipitation days,Jul,7.0,
Avg. precipitation days,Aug,6.4,
Avg. precipitation days,Sep,7.6,
Avg. precipitation days,Oct,7.9,
Avg. precipitation days,Nov,7.0,
Avg. precipitation days,Dec,6.3,
Avg. snowy days,Jan,0.7,
Avg. snowy days,Feb,0.9,
Avg. snowy days,Mar,0.0,
Avg. snowy days,Apr,0.0,
Avg. snowy days,May,0.0,
Avg. snowy days,Jun,0.0,
Avg. snowy days,Jul,0.0,
Avg. snowy days,Aug,0.0,
Avg. snowy days,Sep,0.0,
Avg. snowy days,Oct,0.0,
Avg. snowy days,Nov,0.0,
Avg. snowy days,Dec,0.5,
