metric,period,value_f,value_c
Record high,Jan,76.0,24.0
Record high,Feb,80.0,27.0
Record high,Mar,89.0,32.0
Record high,Apr,98.0,37.0
Record high,May,111.0,44.0
Record high,Jun,111.0,44.0
Record high,Jul,114.0,46.0
Record high,Aug,111.0,44.0
Record high,Sep,112.0,44.0
Record high,Oct,104.0,40.0
Record high,Nov,87.0,31.0
Record high,Dec,78.0,26.0
Record high,Annual,114.0,46.0
Average high,Jan,55.4,13.0
Average high,Feb,61.5,16.4
Average high,Mar,65.9,18.8
Average high,Apr,71.1,21.7
Average high,May,78.0,25.6
Average high,Jun,84.4,29.1
Average high,Jul,89.0,31.7
Average high,Aug,88.8,31.6
Average high,Sep,86.6,30.3
Average high,Oct,78.3,25.7
Average high,Nov,65.4,18.6
Average high,Dec,56.0,13.3
Average high,Annual,73.4,23.0
Average low,Jan,37.6,3.1
Average low,Feb,41.1,5.1
Average low,Mar,43.3,6.3
Average low,Apr,45.8,7.7
Average low,May,50.3,10.2
Average low,Jun,54.0,12.2
Average low,Jul,56.0,13.3
Average low,Aug,56.0,13.3
Average low,Sep,54.5,12.5
Average low,Oct,49.8,9.9
Average low,Nov,42.7,5.9
Average low,Dec,37.9,3.3
Average low,Annual,47.4,8.6
Record low,Jan,18.0,8.0
Record low,Feb,24.0,4.0
Record low,Mar,20.0,7.0
Record low,Apr,29.0,2.0
Record low,May,35.0,2.0
Record low,Jun,31.0,1.0
Record low,Jul,40.0,4.0
Record low,Aug,40.0,4.0
Record low,Sep,39.0,4.0
Record low,Oct,32.0,0.0
Record low,Nov,21.0,6.0
Record low,Dec,15.0,9.0
Record low,Annual,15.0,9.0
Precipitation,Jan,4.77,121.2
Precipitation,Feb,4.04,102.6
Precipitation,Mar,3.09,78.5
Precipitation,Apr,1.39,35.3
Precipitation,May,0.55,14.0
Precipitation,Jun,0.17,4.3
Precipitation,Jul,0.02,0.5
Precipitation,Aug,0.06,1.5
Precipitation,Sep,0.24,6.1
Precipitation,Oct,1.3,33.0
Precipitation,Nov,2.75,69.9
Precipitation,Dec,4.3,109.2
Precipitation,Annual,22.68,576.1
Avg. precipitation days,Jan,11.0,
Avg. precipitation days,Feb,10.0,
Avg. precipitation days,Mar,9.0,
Avg. precipitation days,Apr,6.0,
Avg. precipitation days,May,3.0,
Avg. precipitation days,Jun,1.0,
Avg. precipitation days,Jul,0.0,
Avg. precipitation days,Aug,0.0,
Avg. precipitation days,Sep,1.0,
Avg. precipitation days,Oct,3.0,
Avg. precipitation days,Nov,7.0,
Avg. precipitation days,Dec,10.0,
Avg. precipitation days,Annual,60.0,
