section,group,item,census_year,value
,Population,Estimated residents on Census night,2016,"58,319"
,Population,Estimated residents on Census night,2021,"63,605"
,Population,Estimated residents on Census night,2026,"67,356"
,Population,LGA rank in terms of size within New South Wales,2016,n/c
,Population,LGA rank in terms of size within New South Wales,2021,19
,Population,LGA rank in terms of size within New South Wales,2026,n/c
,Population,% of New South Wales population,2016,n/c
,Population,% of New South Wales population,2021,n/c
,Population,% of New South Wales population,2026,0.97%
,Population,% of Australian population,2016,0.31%
,Population,% of Australian population,2021,0.32%
,Population,% of Australian population,2026,0.31%
Cultural and language diversity,"Ancestry,
top responses",English,2016,n/c
Cultural and language diversity,"Ancestry,
top responses",English,2021,n/c
Cultural and language diversity,"Ancestry,
top responses",English,2026,20.5%
Cultural and language diversity,"Ancestry,
top responses",Australian,2016,n/c
Cultural and language diversity,"Ancestry,
top responses",Australian,2021,n/c
Cultural and language diversity,"Ancestry,
top responses",Australian,2026,18.3%
Cultural and language diversity,"Ancestry,
top responses",Chinese,2016,n/c
Cultural and language diversity,"Ancestry,
top responses",Chinese,2021,n/c
Cultural and language diversity,"Ancestry,
top responses",Chinese,2026,14.5%
Cultural and language diversity,"Ancestry,
top responses",Irish,2016,n/c
Cultural and language diversity,"Ancestry,
top responses",Irish,2021,n/c
Cultural and language diversity,"Ancestry,
top responses",Irish,2026,7.4%
Cultural and language diversity,"Ancestry,
top responses",Scottish,2016,n/c
Cultural and language diversity,"Ancestry,
top responses",Scottish,2021,n/c
Cultural and language diversity,"Ancestry,
top responses",Scottish,2026,5.6%
Cultural and language diversity,"Language,
top responses
(other than English)",Cantonese,2016,6.7%
Cultural and language diversity,"Language,
top responses
(other than English)",Cantonese,2021,7.6%
Cultural and language diversity,"Language,
top responses
(other than English)",Cantonese,2026,7.5%
Cultural and language diversity,"Language,
top responses
(other than English)",Mandarin,2016,3.6%
Cultural and language diversity,"Language,
top responses
(other than English)",Mandarin,2021,5.5%
Cultural and language diversity,"Language,
top responses
(other than English)",Mandarin,2026,7.2%
Cultural and language diversity,"Language,
top responses
(other than English)",Korean,2016,1.7%
Cultural and language diversity,"Language,
top responses
(other than English)",Korean,2021,2.7%
Cultural and language diversity,"Language,
top responses
(other than English)",Korean,2026,3.6%
Cultural and language diversity,"Language,
top responses
(other than English)",Japanese,2016,2.4%
Cultural and language diversity,"Language,
top responses
(other than English)",Japanese,2021,2.4%
Cultural and language diversity,"Language,
top responses
(other than English)",Japanese,2026,2.3%
Cultural and language diversity,"Language,
top responses
(other than English)",Armenian,2016,n/c
Cultural and language diversity,"Language,
top responses
(other than English)",Armenian,2021,1.4%
Cultural and language diversity,"Language,
top responses
(other than English)",Armenian,2026,1.3%
Religious affiliation,"Religious affiliation,
top responses",No religion,2016,18.6%
Religious affiliation,"Religious affiliation,
top responses",No religion,2021,22.0%
Religious affiliation,"Religious affiliation,
top responses",No religion,2026,27.6%
Religious affiliation,"Religious affiliation,
top responses",Catholic,2016,26.1%
Religious affiliation,"Religious affiliation,
top responses",Catholic,2021,25.5%
Religious affiliation,"Religious affiliation,
top responses",Catholic,2026,25.0%
Religious affiliation,"Religious affiliation,
top responses",Anglican,2016,19.5%
Religious affiliation,"Religious affiliation,
top responses",Anglican,2021,17.6%
Religious affiliation,"Religious affiliation,
top responses",Anglican,2026,15.6%
Religious affiliation,"Religious affiliation,
top responses",Buddhism,2016,3.7%
Religious affiliation,"Religious affiliation,
top responses",Buddhism,2021,4.4%
Religious affiliation,"Religious affiliation,
top responses",Buddhism,2026,4.6%
Religious affiliation,"Religious affiliation,
top responses",Presbyterian and Reformed,2016,n/c
Religious affiliation,"Religious affiliation,
top responses",Presbyterian and Reformed,2021,n/c
Religious affiliation,"Religious affiliation,
top responses",Presbyterian and Reformed,2026,3.1%
Median weekly incomes,Personal income,Median weekly personal income,2016,n/c
Median weekly incomes,Personal income,Median weekly personal income,2021,A$728
Median weekly incomes,Personal income,Median weekly personal income,2026,A$858
Median weekly incomes,Personal income,% of Australian median income,2016,n/c
Median weekly incomes,Personal income,% of Australian median income,2021,156.2%
Median weekly incomes,Personal income,% of Australian median income,2026,148.7%
Median weekly incomes,Family income,Median weekly family income,2016,n/c
Median weekly incomes,Family income,Median weekly family income,2021,"A$1,667"
Median weekly incomes,Family income,Median weekly family income,2026,"A$2,479"
Median weekly incomes,Family income,% of Australian median income,2016,n/c
Median weekly incomes,Family income,% of Australian median income,2021,162.3%
Median weekly incomes,Family income,% of Australian median income,2026,167.4%
Median weekly incomes,Household income,Median weekly household income,2016,n/c
Median weekly incomes,Household income,Median weekly household income,2021,"A$2,066"
Median weekly incomes,Household income,Median weekly household income,2026,"A$1,996"
Median weekly incomes,Household income,% of Australian median income,2016,n/c
Median weekly incomes,Household income,% of Australian median income,2021,176.4%
Median weekly incomes,Household income,% of Australian median income,2026,161.8%
