year,title,translation,version,chart_position,chart_value
1988 / 89,Bring Me Edelweiss,,,1,1.0
1989,I Can't Get No... Edelweiss,,,1,
1992,Raumschiff Edelweiss,Starship Edelweiss,,1,1.0
1992,Planet Edelweiss,,,1,14.0
1993,Beam Me Up,,,1,
1993,Ski Instructor,,,1,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,1,
2001,Bring Me Edelweiss,,Remix,1,
1988 / 89,Bring Me Edelweiss,,,2,5.0
1989,I Can't Get No... Edelweiss,,,2,
1992,Raumschiff Edelweiss,Starship Edelweiss,,2,
1992,Planet Edelweiss,,,2,
1993,Beam Me Up,,,2,
1993,Ski Instructor,,,2,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,2,
2001,Bring Me Edelweiss,,Remix,2,
1988 / 89,Bring Me Edelweiss,,,3,7.0
1989,I Can't Get No... Edelweiss,,,3,
1992,Raumschiff Edelweiss,Starship Edelweiss,,3,
1992,Planet Edelweiss,,,3,
1993,Beam Me Up,,,3,
1993,Ski Instructor,,,3,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,3,
2001,Bring Me Edelweiss,,Remix,3,
1988 / 89,Bring Me Edelweiss,,,4,24.0
1989,I Can't Get No... Edelweiss,,,4,
1992,Raumschiff Edelweiss,Starship Edelweiss,,4,
1992,Planet Edelweiss,,,4,
1993,Beam Me Up,,,4,
1993,Ski Instructor,,,4,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,4,
2001,Bring Me Edelweiss,,Remix,4,
1988 / 89,Bring Me Edelweiss,,,5,2.0
1989,I Can't Get No... Edelweiss,,,5,
1992,Raumschiff Edelweiss,Starship Edelweiss,,5,7.0
1992,Planet Edelweiss,,,5,
1993,Beam Me Up,,,5,
1993,Ski Instructor,,,5,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,5,
2001,Bring Me Edelweiss,,Remix,5,
1988 / 89,Bring Me Edelweiss,,,6,1.0
1989,I Can't Get No... Edelweiss,,,6,
1992,Raumschiff Edelweiss,Starship Edelweiss,,6,8.0
1992,Planet Edelweiss,,,6,
1993,Beam Me Up,,,6,
1993,Ski Instructor,,,6,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,6,
2001,Bring Me Edelweiss,,Remix,6,
1988 / 89,Bring Me Edelweiss,,,7,2.0
1989,I Can't Get No... Edelweiss,,,7,
1992,Raumschiff Edelweiss,Starship Edelweiss,,7,19.0
1992,Planet Edelweiss,,,7,
1993,Beam Me Up,,,7,
1993,Ski Instructor,,,7,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,7,
2001,Bring Me Edelweiss,,Remix,7,
1988 / 89,Bring Me Edelweiss,,,8,1.0
1989,I Can't Get No... Edelweiss,,,8,
1992,Raumschiff Edelweiss,Starship Edelweiss,,8,25.0
1992,Planet Edelweiss,,,8,
1993,Beam Me Up,,,8,
1993,Ski Instructor,,,8,
1997,Edeltaler Hochzeitsmarsch,,Kein Sex vor der Ehe,8,
2001,Bring Me Edelweiss,,Remix,8,
