year,team,car_model,engine_spec,chassis_code,driver,grand_prix,result
1998,,,,,Giancarlo Fisichella,AUS,Ret
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,AUS,7
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,AUS,4
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,AUS,Ret
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,AUS,5
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,AUS,7
1998,,,,,Giancarlo Fisichella,BRA,6
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,BRA,4
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,BRA,Ret
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,BRA,7
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,BRA,2
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,BRA,Ret
1998,,,,,Giancarlo Fisichella,ARG,7
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,ARG,4
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,ARG,5
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,ARG,Ret
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,ARG,11
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,ARG,9
1998,,,,,Giancarlo Fisichella,SMR,Ret
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,SMR,Ret
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,SMR,5
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,SMR,6
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,SMR,7
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,SMR,9
1998,,,,,Giancarlo Fisichella,ESP,Ret
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,ESP,4
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,ESP,9
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,ESP,10
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,ESP,9
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,ESP,10
1998,,,,,Giancarlo Fisichella,MON,2
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,MON,Ret
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,MON,2
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,MON,Ret
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,MON,5
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,MON,12
1998,,,,,Giancarlo Fisichella,CAN,2
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,CAN,4
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,CAN,Ret
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,CAN,Ret
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,CAN,3
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,CAN,Ret
1998,,,,,Giancarlo Fisichella,FRA,9
1998,Mild Seven Benetton,Benetton B198,GC37-01 V10,B,Alexander Wurz,FRA,5
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Giancarlo Fisichella,FRA,7
1999,Mild Seven Benetton,Benetton B199,FB01 V10,B,Alexander Wurz,FRA,10
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Giancarlo Fisichella,FRA,3
2000,Mild Seven Benetton,Benetton B200,FB02 V10,B,Alexander Wurz,FRA,9
1998,,,,,Giancarlo Fisichella,GBR,5
