region,time_point,population
Africa,2010,313744000
Asia,2010,1899424000
Europe,2010,634026000
Latin America,2010,250452000
Northern America,2010,219570000
Oceania,2010,17657000
Africa,2015,277398000
Asia,2015,1701336000
Europe,2015,604401000
Latin America,2015,218300000
Northern America,2015,204152000
Oceania,2015,15888000
Africa,2020,36346000
Asia,2020,198088000
Europe,2020,29625000
Latin America,2020,1270000
Northern America,2020,15418000
Oceania,2020,1769000
Africa,2022,357283000
Asia,2022,2143118000
Europe,2022,655855000
Latin America,2022,284856000
Northern America,2022,231937000
Oceania,2022,19443000
Africa,2023,43539000
Asia,2023,243694000
Europe,2023,21829000
Latin America,2023,34404000
Northern America,2023,12367000
Oceania,2023,1786000
