rank,team,statistic_value,value
2,Palestra Itália-SP,30,29
3,Corinthians,30,26
4,Ypiranga-SP,30,25
5,AA São Bento,30,16
6,Santos,30,13
7,SC Internacional de São Paulo,30,11
8,Minas Gerais,30,10
9,AA das Palmeiras,30,6
10,Mackenzie,30,2
2,Palestra Itália-SP,18,18
3,Corinthians,18,18
4,Ypiranga-SP,18,18
5,AA São Bento,18,18
6,Santos,18,18
7,SC Internacional de São Paulo,18,15
8,Minas Gerais,18,15
9,AA das Palmeiras,18,15
10,Mackenzie,18,15
2,Palestra Itália-SP,14,14
3,Corinthians,14,12
4,Ypiranga-SP,14,11
5,AA São Bento,14,7
6,Santos,14,6
7,SC Internacional de São Paulo,14,3
8,Minas Gerais,14,4
9,AA das Palmeiras,14,3
10,Mackenzie,14,1
2,Palestra Itália-SP,2,1
3,Corinthians,2,2
4,Ypiranga-SP,2,3
5,AA São Bento,2,2
6,Santos,2,1
7,SC Internacional de São Paulo,2,5
8,Minas Gerais,2,2
9,AA das Palmeiras,2,0
10,Mackenzie,2,0
2,Palestra Itália-SP,2,3
3,Corinthians,2,4
4,Ypiranga-SP,2,4
5,AA São Bento,2,9
6,Santos,2,11
7,SC Internacional de São Paulo,2,7
8,Minas Gerais,2,9
9,AA das Palmeiras,2,12
10,Mackenzie,2,14
2,Palestra Itália-SP,62,59
3,Corinthians,62,51
4,Ypiranga-SP,62,56
5,AA São Bento,62,38
6,Santos,62,36
7,SC Internacional de São Paulo,62,26
8,Minas Gerais,62,18
9,AA das Palmeiras,62,27
10,Mackenzie,62,11
2,Palestra Itália-SP,19,21
3,Corinthians,19,16
4,Ypiranga-SP,19,34
5,AA São Bento,19,44
6,Santos,19,43
7,SC Internacional de São Paulo,19,44
8,Minas Gerais,19,49
9,AA das Palmeiras,19,57
10,Mackenzie,19,57
2,Palestra Itália-SP,43,38
3,Corinthians,43,35
4,Ypiranga-SP,43,22
5,AA São Bento,43,-6
6,Santos,43,-7
7,SC Internacional de São Paulo,43,-18
8,Minas Gerais,43,-31
9,AA das Palmeiras,43,-30
10,Mackenzie,43,-46
