rank,belt_variant,base_color,transition_state,full_belt_label
9th kyū,primary,Red,,Red belt
8th kyū,primary,Yellow,,Yellow belt
7th kyū,primary,Orang,,Orange belt
6th kyū,primary,Green,,Green belt
5th kyū,primary,Blu,,Blue belt
4th kyū,primary,Purp,,Purple belt
3rd kyū,primary,Brown,,Brown belt
2nd kyū,primary,Brown,Whi,Brown-White belt
1st kyū,primary,Brown,Black,Brown-Black belt
1st–8th dan,primary,Black,,Black belt
9th kyū,variant_1,Whi,,White belt
8th kyū,variant_1,Whi,,White belt
7th kyū,variant_1,Whi,,White belt
6th kyū,variant_1,Green,,Green belt
5th kyū,variant_1,Blu,,Blue belt
4th kyū,variant_1,Purp,,Purple belt
3rd kyū,variant_1,Brown,,Brown belt
2nd kyū,variant_1,Brown,,Brown belt
1st kyū,variant_1,Brown,,Brown belt
1st–8th dan,variant_1,Black,,Black belt
9th kyū,variant_2,Whi,,White belt
8th kyū,variant_2,Yellow,,Yellow belt
7th kyū,variant_2,Orang,,Orange belt
6th kyū,variant_2,Blu,,Blue belt
5th kyū,variant_2,Purp,,Purple belt
4th kyū,variant_2,Green B,,Green Belt
3rd kyū,variant_2,Brown,,Brown belt
2nd kyū,variant_2,Brown,,Brown belt
1st kyū,variant_2,Brown,,Brown belt
1st–8th dan,variant_2,Black,,Black belt
9th kyū,variant_3,Whi,,White belt
8th kyū,variant_3,Yellow,,Yellow belt
7th kyū,variant_3,Orang,,Orange belt
6th kyū,variant_3,Green,,Green belt
5th kyū,variant_3,Blu,,Blue belt
4th kyū,variant_3,Blu,,Blue belt
3rd kyū,variant_3,Brown,,Brown belt
2nd kyū,variant_3,Brown,,Brown belt
1st kyū,variant_3,Brown,,Brown belt
1st–8th dan,variant_3,Black,,Black belt
