tournament,edition,result,year_end_ranking
Australian Open,1,A,178
Australian Open,2,A,103
Australian Open,3,1R,494
Australian Open,4,A,31
Australian Open,5,2R,32
Australian Open,6,3R,15
Australian Open,7,2R,13
Australian Open,8,3R,18
Australian Open,9,W,5
Australian Open,10,2R,9
Australian Open,11,1R,23
Australian Open,12,2R,51
Australian Open,13,1R,
French Open,1,A,178
French Open,2,A,103
French Open,3,A,494
French Open,4,A,31
French Open,5,3R,32
French Open,6,A,15
French Open,7,2R,13
French Open,8,3R,18
French Open,9,3R,5
French Open,10,1R,9
French Open,11,SF,23
French Open,12,1R,51
French Open,13,2R,
Wimbledon,1,A,178
Wimbledon,2,2R,103
Wimbledon,3,A,494
Wimbledon,4,SF,31
Wimbledon,5,1R,32
Wimbledon,6,3R,15
Wimbledon,7,3R,13
Wimbledon,8,2R,18
Wimbledon,9,QF,5
Wimbledon,10,3R,9
Wimbledon,11,3R,23
Wimbledon,12,1R,51
Wimbledon,13,2R,
US Open,1,A,178
US Open,2,1R,103
US Open,3,A,494
US Open,4,1R,31
US Open,5,1R,32
US Open,6,QF,15
US Open,7,3R,13
US Open,8,3R,18
US Open,9,2R,5
US Open,10,SF,9
US Open,11,1R,23
US Open,12,2R,51
US Open,13,2R,
Win–Loss,1,0–0,178
Win–Loss,2,1–2,103
Win–Loss,3,0–1,494
Win–Loss,4,4–2,31
Win–Loss,5,3–4,32
Win–Loss,6,5–3,15
Win–Loss,7,6–4,13
Win–Loss,8,7–4,18
Win–Loss,9,12–3,5
Win–Loss,10,7–4,9
Win–Loss,11,6–4,23
Win–Loss,12,2–4,51
Win–Loss,13,3–4,
Indian Wells,1,A,178
Indian Wells,2,A,103
Indian Wells,3,A,494
Indian Wells,4,A,31
Indian Wells,5,2R,32
Indian Wells,6,2R,15
Indian Wells,7,1R,13
Indian Wells,8,F,18
Indian Wells,9,W,5
Indian Wells,10,F,9
Indian Wells,11,QF,23
Indian Wells,12,2R,51
Indian Wells,13,,
Miami,1,A,178
Miami,2,A,103
Miami,3,A,494
Miami,4,A,31
Miami,5,2R,32
Miami,6,QF,15
Miami,7,SF,13
Miami,8,1R,18
Miami,9,1R,5
Miami,10,W,9
Miami,11,1R,23
Miami,12,QF,51
Miami,13,,
Monte Carlo,1,A,178
Monte Carlo,2,A,103
Monte Carlo,3,A,494
Monte Carlo,4,A,31
Monte Carlo,5,2R,32
Monte Carlo,6,A,15
Monte Carlo,7,2R,13
Monte Carlo,8,2R,18
Monte Carlo,9,QF,5
Monte Carlo,10,QF,9
Monte Carlo,11,1R,23
Monte Carlo,12,1R,51
Monte Carlo,13,,
Rome,1,A,178
Rome,2,A,103
Rome,3,A,494
Rome,4,A,31
Rome,5,1R,32
Rome,6,1R,15
Rome,7,F,13
Rome,8,2R,18
Rome,9,2R,5
Rome,10,QF,9
Rome,11,1R,23
Rome,12,A,51
Rome,13,,
Madrid (Stuttgart),1,A,178
Madrid (Stuttgart),2,A,103
Madrid (Stuttgart),3,A,494
Madrid (Stuttgart),4,A,31
Madrid (Stuttgart),5,1R,32
Madrid (Stuttgart),6,1R,15
Madrid (Stuttgart),7,QF,13
Madrid (Stuttgart),8,1R,18
Madrid (Stuttgart),9,1R,5
Madrid (Stuttgart),10,2R,9
Madrid (Stuttgart),11,QF,23
Madrid (Stuttgart),12,1R,51
Madrid (Stuttgart),13,,
Canada,1,A,178
Canada,2,A,103
Canada,3,A,494
Canada,4,A,31
Canada,5,QF,32
Canada,6,F,15
Canada,7,2R,13
Canada,8,SF,18
Canada,9,2R,5
Canada,10,F,9
Canada,11,2R,23
Canada,12,A,51
Canada,13,,
Cincinnati,1,A,178
Cincinnati,2,A,103
Cincinnati,3,A,494
Cincinnati,4,A,31
Cincinnati,5,QF,32
Cincinnati,6,1R,15
Cincinnati,7,SF,13
Cincinnati,8,W,18
Cincinnati,9,F,5
Cincinnati,10,2R,9
Cincinnati,11,QF,23
Cincinnati,12,A,51
Cincinnati,13,,
Shanghai,1,Not Held,178
Shanghai,2,Not Held,103
Shanghai,3,Not Held,494
Shanghai,4,Not Held,31
Shanghai,5,Not Held,32
Shanghai,6,Not Held,15
Shanghai,7,Not Held,13
Shanghai,8,Not Held,18
Shanghai,9,Not Held,5
Shanghai,10,2R,9
Shanghai,11,1R,23
Shanghai,12,A,51
Shanghai,13,,
Paris,1,A,178
Paris,2,A,103
Paris,3,A,494
Paris,4,A,31
Paris,5,A,32
Paris,6,QF,15
Paris,7,1R,13
Paris,8,1R,18
Paris,9,QF,5
Paris,10,2R,9
Paris,11,F,23
Paris,12,1R,51
Paris,13,,
Hamburg,1,A,178
Hamburg,2,A,103
Hamburg,3,A,494
Hamburg,4,A,31
Hamburg,5,1R,32
Hamburg,6,1R,15
Hamburg,7,QF,13
Hamburg,8,SF,18
Hamburg,9,2R,5
Hamburg,10,NM1,9
Hamburg,11,NM1,23
Hamburg,12,NM1,51
Hamburg,13,NM1,
