game_number,date,opponent,score,venue,pitcher_role,pitcher_name,pitcher_stat,attendance,season_record,conference_record
72,June 15,Rice,17-5,Rosenblatt Stadium,starting_pitcher,Wilson,8-5,18108,43-29,6-2
72,June 15,Rice,17-5,Rosenblatt Stadium,relief_pitcher,Berry,8-5,18108,43-29,6-2
72,June 15,Rice,17-5,Rosenblatt Stadium,closer,none,none,18108,43-29,6-2
73,June 17,North Carolina,5-3,Rosenblatt Stadium,starting_pitcher,Breckley,3-2,23314,44-29,7-2
73,June 17,North Carolina,5-3,Rosenblatt Stadium,relief_pitcher,Warren,9-2,23314,44-29,7-2
73,June 17,North Carolina,5-3,Rosenblatt Stadium,closer,Burke,13,23314,44-29,7-2
74,June 21,North Carolina,4-3,Rosenblatt Stadium,starting_pitcher,White,13-3,18611,44-30,7-3
74,June 21,North Carolina,4-3,Rosenblatt Stadium,relief_pitcher,Miller,6-4,18611,44-30,7-3
74,June 21,North Carolina,4-3,Rosenblatt Stadium,closer,none,none,18611,44-30,7-3
75,June 22,North Carolina,6-1,Rosenblatt Stadium,starting_pitcher,Allison,4-5,15125,45-30,8-3
75,June 22,North Carolina,6-1,Rosenblatt Stadium,relief_pitcher,Moran,1-2,15125,45-30,8-3
75,June 22,North Carolina,6-1,Rosenblatt Stadium,closer,none,none,15125,45-30,8-3
76,June 23,Georgia,7-6,Rosenblatt Stadium,starting_pitcher,Harvil,2-1,19559,45-31,8-4
76,June 23,Georgia,7-6,Rosenblatt Stadium,relief_pitcher,Burke,4-6,19559,45-31,8-4
76,June 23,Georgia,7-6,Rosenblatt Stadium,closer,Fields,18,19559,45-31,8-4
77,June 24,Georgia,19-10,Rosenblatt Stadium,starting_pitcher,Sprague,6-2,17223,46-31,9-4
77,June 24,Georgia,19-10,Rosenblatt Stadium,relief_pitcher,Dodson,5-5,17223,46-31,9-4
77,June 24,Georgia,19-10,Rosenblatt Stadium,closer,Hower,1,17223,46-31,9-4
78,June 25,Georgia,6-1,Rosenblatt Stadium,starting_pitcher,Wilson,5-5,18932,47-31,10-4
78,June 25,Georgia,6-1,Rosenblatt Stadium,relief_pitcher,Moreau,4-4,18932,47-31,10-4
78,June 25,Georgia,6-1,Rosenblatt Stadium,closer,none,none,18932,47-31,10-4
