year,category,metric_id,value
2009,DEN,0,14
2009,DEN,1,30
2009,DEN,2,335
2009,DEN,3,1
2009,DEN,4,13
2009,DEN,5,71
2009,DEN,6,26
2009,DEN,7,621
2009,DEN,8,1
2009,DEN,9,0
2009,DEN,10,93
2010,DEN,0,16
2010,DEN,1,25
2010,DEN,2,298
2010,DEN,3,0
2010,DEN,4,12
2010,DEN,5,33
2010,DEN,6,5
2010,DEN,7,107
2010,DEN,8,0
2010,DEN,9,0
2010,DEN,10,33
2011,DEN,0,12
2011,DEN,1,12
2011,DEN,2,194
2011,DEN,3,1
2011,DEN,4,9
2011,DEN,5,85
2011,DEN,6,3
2011,DEN,7,47
2011,DEN,8,0
2011,DEN,9,0
2011,DEN,10,20
2012,SD,0,10
2012,SD,1,12
2012,SD,2,64
2012,SD,3,0
2012,SD,4,2
2012,SD,5,14
2012,SD,6,0
2012,SD,7,0
2012,SD,8,0
2012,SD,9,0
2012,SD,10,0
2013,SD,0,15
2013,SD,1,7
2013,SD,2,41
2013,SD,3,0
2013,SD,4,7
2013,SD,5,12
2013,SD,6,0
2013,SD,7,0
2013,SD,8,0
2013,SD,9,0
2013,SD,10,0
