year,group,indicator,value
2003,GB,8,15
2004,GB,8,11
2005,GB,8,5
2006,PIT,8,13
2007,PIT,8,15
2008,PIT,8,4
2008,IND,8,2
Career,,8,73
2003,GB,39,77
2004,GB,39,71
2005,GB,39,30
2006,PIT,39,60
2007,PIT,39,107
2008,PIT,39,2
2008,IND,39,8
Career,,39,394
2003,GB,184,420
2004,GB,184,359
2005,GB,184,105
2006,PIT,184,221
2007,PIT,184,499
2008,PIT,184,5
2008,IND,184,26
Career,,184,1819
2003,GB,4.7,6
2004,GB,4.7,5
2005,GB,4.7,4
2006,PIT,4.7,4
2007,PIT,4.7,5
2008,PIT,4.7,2
2008,IND,4.7,3
Career,,4.7,5
2003,GB,43,76
2004,GB,43,40
2005,GB,43,24
2006,PIT,43,48
2007,PIT,43,45
2008,PIT,43,3
2008,IND,43,8
Career,,43,76
2003,GB,1,2
2004,GB,1,2
2005,GB,1,2
2006,PIT,1,1
2007,PIT,1,5
2008,PIT,1,0
2008,IND,1,0
Career,,1,13
2003,GB,8,18
2004,GB,8,16
2005,GB,8,9
2006,PIT,8,9
2007,PIT,8,37
2008,PIT,8,2
2008,IND,8,1
Career,,8,100
2003,GB,1,4
2004,GB,1,0
2005,GB,1,1
2006,PIT,1,1
2007,PIT,1,1
2008,PIT,1,0
2008,IND,1,0
Career,,1,8
2003,GB,1,1
2004,GB,1,0
2005,GB,1,0
2006,PIT,1,0
2007,PIT,1,0
2008,PIT,1,0
2008,IND,1,0
Career,,1,2
