performance_level,wave,percentage
5,wave_1,15.3
4,wave_1,18.0
3,wave_1,23.0
2,wave_1,18.5
1,wave_1,25.3
5,wave_2,18.4
4,wave_2,17.5
3,wave_2,20.0
2,wave_2,14.3
1,wave_2,29.9
5,wave_3,18.0
4,wave_3,17.9
3,wave_3,20.2
2,wave_3,14.2
1,wave_3,29.8
5,wave_4,17.1
4,wave_4,18.5
3,wave_4,19.3
2,wave_4,12.7
1,wave_4,32.3
5,wave_5,17.0
4,wave_5,18.4
3,wave_5,19.5
2,wave_5,14.6
1,wave_5,30.4
5,wave_6,16.4
4,wave_6,19.3
3,wave_6,20.1
2,wave_6,15.0
1,wave_6,29.2
5,wave_7,18.9
4,wave_7,21.5
3,wave_7,18.8
2,wave_7,14.9
1,wave_7,26.0
