rank,driver,car_number,car_model,sponsor,criterion,score
1,Greg Crick,3,Dodge Viper GTS ACR,Crickcars.com,Acceleration,98.0
2,Bryce Washington,1 & 54,Porsche 996 GT3 Cup Car,ADRAD Radiator Experts,Acceleration,85.0
3,James Koundouris,69,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Acceleration,76.0
4,Theo Koundouris,19,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Acceleration,74.0
5,Sven Burchartz,90,Porsche 996 GT3,Cargraphic AG,Acceleration,32.0
6,David Wall,38,Porsche 996 GT3 RSR,RDS,Acceleration,32.0
7,John Teulan,88,"Ferrari 360 Challenge
Ferrari F430 Challenge",Industry Central - Stahlwille,Acceleration,47.0
8,Max Twigg,18 & 17,Porsche 996 GT3,"Twigg Waste Management
Luxton Plan",Acceleration,45.0
9,D'Arcy Russell,7,Dodge Viper GTS ACR,Dupont,Acceleration,34.0
10,David Reynolds,6 & 90,"Porsche 996 GT3 Cup Car
Porsche 996 GT3","Bob Jane T-marts
Cargraphics",Acceleration,
11,Allan Simonsen,4,"Ferrari 360 GT
Porsche 996 GT3 Cup Car","Consolidated Chemical Company
Dare Shots
Supabarn Supermarkets",Acceleration,104.0
12,Paul Bolinowsky,45,Porsche 996 GT3,Bolin Racing,Acceleration,24.0
13,Dave Stevens,43,"Porsche 996 GT3 Cup Car
Ferrari F430 Challenge","Bennanit
Secure Telecom",Acceleration,
14,Paul Tressider,23,Porsche 996 GT3 Cup Car,Wynn Tressider Management,Acceleration,29.0
15,Mark Eddy,12,Porsche 996 GT3R,Quarterback Shirts,Acceleration,41.0
16,Damien Flack,55,Porsche 996 GT3 Cup Car,Roock,Acceleration,
17,Matthew Turnbull,13,Porsche 996 GT3 Cup Car,PROMAT,Acceleration,43.0
18,Bill Pye,44,Porsche 996 GT3 Cup Car,"AutoHaus Hamilton
Property Solutions Group",Acceleration,
19,Anthony Skinner,46,Porsche 996 GT3,Travelplan Ski Holiday,Acceleration,52.0
20,Andrew Luxton,17 & 18,Porsche 996 GT3 Cup Car,"Luxton Plant
Twigg Waste Management",Acceleration,
21,John Kaias,77,Porsche 996 GT3 Cup Car,"ABCOR
Preston General Engine",Acceleration,53.0
22,Ian Palmer,20,Honda NSX,"Instant Fountains
Paluky Ho",Acceleration,25.0
23,Ross Lilley,51,Porsche 996 GT3 Cup Car,Loala Furniture International,Acceleration,29.0
24,Kevin Miller,2,Ferrari F430,Property Solutions Group,Acceleration,
25,Shaun Juniper,30,Porsche 996 GT3 Cup Car,Juniper Racing,Acceleration,
26,Peter Hackett,5,Lamborghini Diablo GTR,Team Lamborghini Australia,Acceleration,
27,Marc Cini,9,Porsche 996 GT3 Cup Car,Hallmarc,Acceleration,
28,Graeme Cook,91,Porsche 996 GT3 Cup Car,Container Solutions,Acceleration,27.0
29,Ash Samadi,55,Porsche 996 GT3 Cup Car,Rook,Acceleration,54.0
30,Greg Ward,14,Porsche 996 GT3 Cup Car,Greg Ward,Acceleration,
31,Peter Lucas,99,Lotus Elise Motorsport 200,Urban Developments,Acceleration,10.0
32,Stuart Kostera,70,Porsche 996 GT3 Cup Car,PHR Scuderia,Acceleration,
33,Paul Ryan,22,Lotus Exige,"Steel Force
Choice Petroleum",Acceleration,
34,Justin Levis,78,"Lotus Elise Motorsport 200
Porsche 996 GT3 Cup Car","CUE
AutoHaus Hamilton",Acceleration,
35,Dean Lindstrom,7,Dodge Viper GTS ACR,Dupont,Acceleration,
36,Maher Algadri,70,Porsche 996 GT3 Cup Car,PHR Scuderia,Acceleration,
37,Andre Morriss,6,Lotus Exige,Witches Chase Cheese Co,Acceleration,
38,Paul Pizzati,45,Porsche 996 GT3,Bolin Racing,Acceleration,
39,Neil Bryson,25,Ferrari 360 Challenge,Betterdeal.com.au,Acceleration,
40,Christian D'Agostin,45,Porsche 996 GT3,Bolin Racing,Acceleration,
41,Dean Fiore,9,Porsche 996 GT3 Cup Car,Hallmarc,Acceleration,
42,Blake Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Acceleration,
43,Malcolm Lynn,32,Porsche 996 GT3,Lynn Building Supplies,Acceleration,
44,Claude Giorgi,29,Porsche 996 GT3 Cup Car,Buildwise,Acceleration,
45,David Giugni,14,Porsche 996 GT3 Cup Car,Ech Ridge Wines,Acceleration,
46,Garth Rainsbury,66,Ferrari 360 Challenge,Speed Energy Drink,Acceleration,24.0
47,Scott Bargwanna,99,Lotus Elise Motorsport 200,Urban Developments,Acceleration,
48,Tim Poulton,56,Lotus Exige,Urban Arrangement,Acceleration,
49,Angela Coradine,86,Lotus Elise,Urban Arrangement,Acceleration,
50,Glenn Townsend,86,Lotus Elise,Urban Arrangement,Acceleration,
51,Andrew Fisher,6,Lotus Exige,Witches Chase Cheese Co,Acceleration,
52,Geoff Munday,10,Ford Mustang,Jim Beam Racing,Acceleration,8.0
1,Greg Crick,3,Dodge Viper GTS ACR,Crickcars.com,Braking,108.0
2,Bryce Washington,1 & 54,Porsche 996 GT3 Cup Car,ADRAD Radiator Experts,Braking,79.5
3,James Koundouris,69,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Braking,28.5
4,Theo Koundouris,19,Porsche 996 GT3 Cup Car,"Dare Shots
Supabarn Supermarkets",Braking,57.0
5,Sven Burchartz,90,Porsche 996 GT3,Cargraphic AG,Braking,18.0
6,David Wall,38,Porsche 996 GT3 RSR,RDS,Braking,37.5
7,John Teulan,88,"Ferrari 360 Challenge
Ferrari F430 Challenge",Industry Central - Stahlwille,Braking,48.0
8,Max Twigg,18 & 17,Porsche 996 GT3,"Twigg Waste Management
Luxton Plan",Braking,33.0
9,D'Arcy Russell,7,Dodge Viper GTS ACR,Dupont,Braking,31.5
10,David Reynolds,6 & 90,"Porsche 996 GT3 Cup Car
Porsche 996 GT3","Bob Jane T-marts
Cargraphics",Braking,90.0
11,Allan Simonsen,4,"Ferrari 360 GT
Porsche 996 GT3 Cup Car","Consolidated Chemical Company
Dare Shots
Supabarn Supermarkets",Braking,
12,Paul Bolinowsky,45,Porsche 996 GT3,Bolin Racing,Braking,30.0
13,Dave Stevens,43,"Porsche 996 GT3 Cup Car
Ferrari F430 Challenge","Bennanit
Secure Telecom",Braking,37.5
14,Paul Tressider,23,Porsche 996 GT3 Cup Car,Wynn Tressider Management,Braking,22.5
15,Mark Eddy,12,Porsche 996 GT3R,Quarterback Shirts,Braking,15.0
16,Damien Flack,55,Porsche 996 GT3 Cup Car,Roock,Braking,
17,Matthew Turnbull,13,Porsche 996 GT3 Cup Car,PROMAT,Braking,49.5
18,Bill Pye,44,Porsche 996 GT3 Cup Car,"AutoHaus Hamilton
Property Solutions Group",Braking,58.5
19,Anthony Skinner,46,Porsche 996 GT3,Travelplan Ski Holiday,Braking,18.0
20,Andrew Luxton,17 & 18,Porsche 996 GT3 Cup Car,"Luxton Plant
Twigg Waste Management",Braking,
