atomic_number,symbol,element_name,measurement_order,ionization_energy
,nan,nan,-2,23.0
,nan,nan,-2,24.0
,nan,nan,-2,25.0
,nan,nan,-2,26.0
,nan,nan,-2,27.0
,nan,nan,-2,28.0
,nan,nan,-2,29.0
,nan,nan,-2,30.0
,nan,nan,-2,36.0
,nan,nan,-2,42.0
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,-1,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,0,
,nan,nan,1,151440.0
,nan,nan,1,157700.0
,nan,nan,1,158600.0
,nan,nan,1,163000.0
,nan,nan,1,167400.0
,nan,nan,1,169400.0
,nan,nan,1,174100.0
,nan,nan,1,179100.0
,nan,nan,1,85300.0
,nan,nan,1,87000.0
,nan,nan,2,661050.0
,nan,nan,2,166090.0
,nan,nan,2,172500.0
,nan,nan,2,173600.0
,nan,nan,2,178100.0
,nan,nan,2,182700.0
,nan,nan,2,184900.0
,nan,nan,2,
,nan,nan,2,90400.0
,nan,nan,2,93400.0
,nan,nan,3,699144.0
,nan,nan,3,721870.0
,nan,nan,3,181380.0
,nan,nan,3,188100.0
,nan,nan,3,189300.0
,nan,nan,3,194000.0
,nan,nan,3,198800.0
,nan,nan,3,
,nan,nan,3,96300.0
,nan,nan,3,98420.0
,nan,nan,4,
,nan,nan,4,761733.0
,nan,nan,4,785450.0
,nan,nan,4,195200.0
,nan,nan,4,204500.0
,nan,nan,4,205600.0
,nan,nan,4,210500.0
,nan,nan,4,
,nan,nan,4,101400.0
,nan,nan,4,104400.0
,nan,nan,5,
,nan,nan,5,
,nan,nan,5,827067.0
,nan,nan,5,851800.0
,nan,nan,5,214100.0
,nan,nan,5,221400.0
,nan,nan,5,222700.0
,nan,nan,5,
,nan,nan,5,111100.0
,nan,nan,5,121900.0
,nan,nan,6,
,nan,nan,6,
,nan,nan,6,
,nan,nan,6,895161.0
,nan,nan,6,920870.0
,nan,nan,6,231490.0
,nan,nan,6,239100.0
,nan,nan,6,
,nan,nan,6,116290.0
,nan,nan,6,127700.0
,nan,nan,7,
,nan,nan,7,
,nan,nan,7,
,nan,nan,7,
,nan,nan,7,966023.0
,nan,nan,7,992718.0
,nan,nan,7,249660.0
,nan,nan,7,
,nan,nan,7,282500.0
,nan,nan,7,133800.0
,nan,nan,8,
,nan,nan,8,
,nan,nan,8,
,nan,nan,8,
,nan,nan,8,
,nan,nan,8,1039668.0
,nan,nan,8,1067358.0
,nan,nan,8,
,nan,nan,8,296200.0
,nan,nan,8,139800.0
,nan,nan,9,
,nan,nan,9,
,nan,nan,9,
,nan,nan,9,
,nan,nan,9,
,nan,nan,9,
,nan,nan,9,1116105.0
,nan,nan,9,
,nan,nan,9,311400.0
,nan,nan,9,148100.0
,nan,nan,10,
,nan,nan,10,
,nan,nan,10,
,nan,nan,10,
,nan,nan,10,
,nan,nan,10,
,nan,nan,10,
,nan,nan,10,
,nan,nan,10,326200.0
,nan,nan,10,154500.0
