year,subgroup_id,population
1801,1,16885
1811,1,20577
1821,1,24771
1831,1,26930
1841,1,30683
1851,1,32109
1861,1,40885
1871,1,57332
1881,1,94185
1801,1,16853
1811,1,19929
1821,1,23479
1831,1,26976
1841,1,34943
1851,1,35828
1861,1,42274
1871,1,46996
1881,1,51932
1801,1,6968
1811,1,8738
1821,1,9806
1831,1,11315
1841,1,12487
1851,1,12956
1861,1,15341
1871,1,21291
1881,1,27029
1801,1,9266
1811,1,10669
1821,1,12285
1831,1,13568
1841,1,15893
1851,1,18463
1861,1,23610
1871,1,30463
1881,1,35206
1801,1,171202
1811,1,214946
1821,1,272131
1831,1,341981
1841,1,399218
1851,1,480942
1861,1,551487
1871,1,604891
1881,1,622865
1801,1,73268
1811,1,92538
1821,1,119802
1831,1,151409
1841,1,185174
1851,1,239788
1861,1,312553
1871,1,381702
1881,1,482264
1801,1,40642
1811,1,54550
1821,1,70808
1831,1,87961
1841,1,122795
1851,1,169317
1861,1,223305
1871,1,350688
1881,1,524122
1801,1,215382
1811,1,272966
1821,1,339075
1831,1,427090
1841,1,513501
1851,1,641918
1861,1,773621
1871,1,902056
1881,1,1018337
1801,1,12743
1811,1,14409
1821,1,16966
1831,1,19204
1841,1,21298
1851,1,22107
1861,1,24795
1871,1,33069
1881,1,40400
1801,1,63832
1811,1,55484
1821,1,56174
1831,1,55778
1841,1,54626
1851,1,54702
1861,1,44400
1871,1,28093
1881,1,18851
1801,1,70676
1811,1,70489
1821,1,74765
1831,1,73442
1841,1,74758
1851,1,79096
1861,1,73125
1871,1,50733
1881,1,32389
1801,1,1907
1811,1,1796
1821,1,1546
1831,1,1271
1841,1,1708
1851,1,1398
1861,1,1272
1871,1,1138
1881,1,1011
1801,1,157890
1811,1,166438
1821,1,186584
1831,1,206116
1841,1,226241
1851,1,241450
1861,1,254463
1871,1,246592
1881,1,228993
1801,1,818129
1811,1,953774
1821,1,1144531
1831,1,1358130
1841,1,1574416
1851,1,1886576
1861,1,2206485
1871,1,2539765
1881,1,2920485
