sex_cn,sex_en,place_of_birth_cn,place_of_birth_en,year,number,percentage
男,Male,香港,Hong Kong,2011,11695,66.2
男,Male,香港,Hong Kong,2016,11036,65.4
男,Male,香港,Hong Kong,2021,10584,66.0
Male,Male,中國內地／澳門／台灣,The mainland of China / Macao / Taiwan,2011,5532,31.3
Male,Male,中國內地／澳門／台灣,The mainland of China / Macao / Taiwan,2016,5268,31.2
Male,Male,中國內地／澳門／台灣,The mainland of China / Macao / Taiwan,2021,4969,31.0
Male,Male,其他地方,Elsewhere,2011,438,2.5
Male,Male,其他地方,Elsewhere,2016,579,3.4
Male,Male,其他地方,Elsewhere,2021,477,3.0
女,Female,香港,Hong Kong,2011,29207,45.6
女,Female,香港,Hong Kong,2016,23569,41.7
女,Female,香港,Hong Kong,2021,21629,38.5
Female,Female,中國內地／澳門／台灣,The mainland of China / Macao / Taiwan,2011,31822,49.7
Female,Female,中國內地／澳門／台灣,The mainland of China / Macao / Taiwan,2016,30359,53.7
Female,Female,中國內地／澳門／台灣,The mainland of China / Macao / Taiwan,2021,31669,56.3
Female,Female,其他地方,Elsewhere,2011,3011,4.7
Female,Female,其他地方,Elsewhere,2016,2617,4.6
Female,Female,其他地方,Elsewhere,2021,2951,5.2
