income_band,year,sex,value_type,value
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,250.0
,2016,Male,percentage,4.8
,2016,Female,count,1272.0
,2016,Female,percentage,4.4
,2021,Male,count,180.0
,2021,Male,percentage,4.4
,2021,Female,count,682.0
,2021,Female,percentage,3.5
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,383.0
,2016,Male,percentage,7.3
,2016,Female,count,2174.0
,2016,Female,percentage,7.6
,2021,Male,count,95.0
,2021,Male,percentage,2.3
,2021,Female,count,180.0
,2021,Female,percentage,0.9
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,1047.0
,2016,Male,percentage,19.9
,2016,Female,count,6020.0
,2016,Female,percentage,21.0
,2021,Male,count,215.0
,2021,Male,percentage,5.2
,2021,Female,count,427.0
,2021,Female,percentage,2.2
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,1076.0
,2016,Male,percentage,20.5
,2016,Female,count,6096.0
,2016,Female,percentage,21.2
,2021,Male,count,449.0
,2021,Male,percentage,10.9
,2021,Female,count,2383.0
,2021,Female,percentage,12.1
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,791.0
,2016,Male,percentage,15.0
,2016,Female,count,3795.0
,2016,Female,percentage,13.2
,2021,Male,count,785.0
,2021,Male,percentage,19.0
,2021,Female,count,2882.0
,2021,Female,percentage,14.7
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,634.0
,2016,Male,percentage,12.1
,2016,Female,count,3846.0
,2016,Female,percentage,13.4
,2021,Male,count,1339.0
,2021,Male,percentage,32.5
,2021,Female,count,7995.0
,2021,Female,percentage,40.7
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,434.0
,2016,Male,percentage,8.3
,2016,Female,count,1479.0
,2016,Female,percentage,5.2
,2021,Male,count,379.0
,2021,Male,percentage,9.2
,2021,Female,count,2314.0
,2021,Female,percentage,11.8
,2011,Male,count,
,2011,Male,percentage,
,2011,Female,count,
,2011,Female,percentage,
,2016,Male,count,643.0
,2016,Male,percentage,12.2
,2016,Female,count,4024.0
,2016,Female,percentage,14.0
,2021,Male,count,681.0
,2021,Male,percentage,16.5
,2021,Female,count,2787.0
,2021,Female,percentage,14.2
