year_range,production_title,role,format
1995,Rumble,Marissa,1 episode of television series: Episode 4
1995,One for the Road,Jane,"1 episode of television series: ""Overdraft"""
1996,Karaoke,Club Barmaid,"2 episodes of television serial: ""Tuesday"" ""Friday"""
1996,Frontiers,Elizabeth Kirsten,Television mini-series
1997,Comedy Premieres: Cold Feet,Jenny Gifford,Television pilot
1997,The Bill,Rose Milne,"1 episode of television series: ""Black and Blue"""
1997,The Broker's Man,DS Wendy Atkins,"2 episodes of television series: ""Dangerous Bends Part 1"" ""Dangerous Bends Part 2"""
1997,Roseanna's Grave,Francesca,Feature film
1998,How Do You Want Me?,Sophie,"1 episode of television series: ""Woof"""
"1998–2001, 2003, 2016–present",Cold Feet,Jenny Gifford,"5 series of television series 1997–2001, 2003, 2016–"
1999,Sofa Melt,Host,Television chat show
2000,I Saw You,Grace Bingley,Television pilot
2000,The Announcement,Alex,Feature film
2001,The Green-Eyed Monster,Deanna,Television film
2002,I Saw You,Grace Bingley,Television series
2002,The Stretford Wives,Donna Massey,Television film
2002,Dead Gorgeous,Rose Bell,Television film
2003,Meg and Mog,Meg (voice),Television series
2003,Bedtime,Jill,1 series of television series
2004,Fungus the Bogeyman,Jane White,Television film
2005,Hustle,Sam Phillips,"1 episode of television series: ""Missions"""
2006,Bon Voyage,Linda Holder,2-part television film
2009–2010,Reggie Perrin,Nicola Perrin,2 series of television series
2009,My Brilliant Britain,Presenter,"1 episode of television series: Series 1, Episode 10"
2009,Monday Monday,Christine Frances,1 series of television series
2009,New Tricks,Anna Greening,"1 episode of television series: ""The War Against Drugs"""
2011,Moving On,Ann Murphy,"1 episode of television series: ""Poetry of Silence"""
2014–2015,Suspects,DI Martha Bellamy,4 series
2015,Burger Bar to Gourmet Star,"Herself, narrator",Channel 4 factual series
2015,The Delivery Man,Caitlin,Six-part comedy series
2016–2017,The One Show,"Herself, guest presenter",3 episodes
2017,Dragons' Den: Meet the New Dragons,Narrator,One-off episode
