club_name,locality_club,ground_name,locality_ground
Birkirkara,Birkirkara,Infetti Ground,Birkirkara
Floriana,Floriana,Victor Tedesco Stadium,Ħamrun
Hibernians,Paola,Hibernians Ground,Paola
Hamrun Spartans,Ħamrun,Victor Tedesco Stadium,Ħamrun
Marsaxlokk,Marsaxlokk,Marsaxlokk Ground,Marsaxlokk
Mosta,Mosta,Mosta Ground,Mosta
Mqabba,Mqabba,-,-
Qormi,Qormi,Thomaso Grounds,Qormi
Sliema Wanderers,Sliema,Tigné Point,Sliema
Tarxien Rainbows,Tarxien,Tarxien Ground,Tarxien
Valletta,Valletta,Salinos Ground,Valletta
